Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-03T23:15:59Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Aleksander Barkov,Winner,Florida Panthers,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:16:40Z,1,00:16,19:44,Missed Shot,n/a,-66.0,-4.0,Aleksander Barkov,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:17:16Z,1,00:52,19:08,Hit,n/a,15.0,-32.0,Noel Acciari,Hitter,Florida Panthers,Nikita Kucherov,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:17:35Z,1,01:11,18:49,Hit,n/a,58.0,-37.0,Mike Matheson,Hitter,Florida Panthers,Tyler Johnson,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:17:47Z,1,01:23,18:37,Shot,Wrist Shot,-13.0,34.0,Colton Sceviour,Shooter,Florida Panthers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:18:43Z,1,01:54,18:06,Penalty,Tripping,-15.0,24.0,Mikhail Sergachev,PenaltyOn,Tampa Bay Lightning,Mike Hoffman,DrewBy,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:19:17Z,1,01:54,18:06,Faceoff,n/a,-69.0,-22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:19:40Z,1,02:20,17:40,Giveaway,n/a,-4.0,29.0,Mike Hoffman,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:20:18Z,1,02:23,17:37,Faceoff,n/a,-20.0,-22.0,Yanni Gourde,Winner,Tampa Bay Lightning,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:20:19Z,1,02:37,17:23,Hit,n/a,85.0,23.0,Ondrej Palat,Hitter,Tampa Bay Lightning,Keith Yandle,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:20:23Z,1,02:42,17:18,Shot,Wrist Shot,38.0,36.0,Ryan McDonagh,Shooter,Tampa Bay Lightning,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:21:14Z,1,03:32,16:28,Blocked Shot,n/a,-64.0,0.0,Victor Hedman,Blocker,Tampa Bay Lightning,Aaron Ekblad,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:21:26Z,1,03:44,16:16,Giveaway,n/a,-39.0,-6.0,Anthony Cirelli,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:21:33Z,1,03:49,16:11,Shot,Wrist Shot,-58.0,24.0,Frank Vatrano,Shooter,Florida Panthers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:21:57Z,1,03:50,16:10,Faceoff,n/a,-69.0,22.0,Yanni Gourde,Winner,Tampa Bay Lightning,Jonathan Huberdeau,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:22:35Z,1,04:14,15:46,Hit,n/a,87.0,25.0,Tyler Johnson,Hitter,Tampa Bay Lightning,Mike Matheson,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:22:38Z,1,04:17,15:43,Shot,Wrist Shot,-47.0,-26.0,Jonathan Huberdeau,Shooter,Florida Panthers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:23:18Z,1,04:57,15:03,Takeaway,n/a,-83.0,38.0,Noel Acciari,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:23:28Z,1,05:02,14:58,Blocked Shot,n/a,-66.0,10.0,Ryan McDonagh,Blocker,Tampa Bay Lightning,Noel Acciari,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:23:38Z,1,05:18,14:42,Giveaway,n/a,93.0,-21.0,Sergei Bobrovsky,PlayerID,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:23:48Z,1,05:27,14:33,Shot,Tip-In,69.0,0.0,Luke Witkowski,Shooter,Tampa Bay Lightning,Sergei Bobrovsky,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:24:56Z,1,06:35,13:25,Blocked Shot,n/a,59.0,2.0,Frank Vatrano,Blocker,Florida Panthers,Mikhail Sergachev,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:25:10Z,1,06:39,13:21,Goal,Slap Shot,58.0,-31.0,Nikita Kucherov,Scorer,Tampa Bay Lightning,Mikhail Sergachev,Assist,Tampa Bay Lightning,Mathieu Joseph,Assist,Tampa Bay Lightning,Sergei Bobrovsky,Goalie,Florida Panthers
2019-10-03T23:25:49Z,1,06:39,13:21,Faceoff,n/a,0.0,0.0,Tyler Johnson,Winner,Tampa Bay Lightning,Vincent Trocheck,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:26:10Z,1,06:56,13:04,Shot,Wrist Shot,-49.0,-34.0,MacKenzie Weegar,Shooter,Florida Panthers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:28:14Z,1,06:56,13:04,Faceoff,n/a,-69.0,-22.0,Aleksander Barkov,Winner,Florida Panthers,Alex Killorn,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:28:40Z,1,07:00,13:00,Shot,Wrist Shot,-42.0,-34.0,Evgenii Dadonov,Shooter,Florida Panthers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T23:28:56Z,1,07:01,12:59,Faceoff,n/a,-69.0,-22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Aleksander Barkov,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
