Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-03T02:44:39Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jonathan Marchessault,Winner,Vegas Golden Knights,Logan Couture,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:45:31Z,1,00:08,19:52,Faceoff,n/a,69.0,22.0,Jonathan Marchessault,Winner,Vegas Golden Knights,Timo Meier,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:46:19Z,1,00:15,19:45,Faceoff,n/a,69.0,22.0,Lukas Radil,Winner,San Jose Sharks,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:46:54Z,1,00:29,19:31,Hit,n/a,97.0,12.0,Brayden McNabb,Hitter,Vegas Golden Knights,Tomas Hertl,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:47:03Z,1,00:37,19:23,Missed Shot,n/a,-48.0,-21.0,Nate Schmidt,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:47:07Z,1,00:42,19:18,Hit,n/a,53.0,38.0,Brayden McNabb,Hitter,Vegas Golden Knights,Tomas Hertl,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:47:11Z,1,00:47,19:13,Hit,n/a,71.0,39.0,Lukas Radil,Hitter,San Jose Sharks,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:47:32Z,1,01:08,18:52,Giveaway,n/a,94.0,11.0,Jon Merrill,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:47:35Z,1,01:08,18:52,Missed Shot,n/a,80.0,25.0,Joe Thornton,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:47:38Z,1,01:09,18:51,Shot,Wrist Shot,87.0,7.0,Kevin Labanc,Shooter,San Jose Sharks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:47:38Z,1,01:13,18:47,Hit,n/a,68.0,-38.0,Joe Thornton,Hitter,San Jose Sharks,Mark Stone,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:48:01Z,1,01:15,18:45,Faceoff,n/a,69.0,-22.0,Cody Glass,Winner,Vegas Golden Knights,Dylan Gambrell,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:48:24Z,1,01:36,18:24,Hit,n/a,90.0,-19.0,Barclay Goodrow,Hitter,San Jose Sharks,Shea Theodore,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:48:52Z,1,02:03,17:57,Missed Shot,n/a,85.0,-33.0,Danil Yurtaykin,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:48:58Z,1,02:08,17:52,Missed Shot,n/a,73.0,40.0,Timo Meier,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:49:00Z,1,02:11,17:49,Hit,n/a,91.0,-35.0,Nick Holden,Hitter,Vegas Golden Knights,Danil Yurtaykin,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:49:10Z,1,02:21,17:39,Hit,n/a,5.0,39.0,Timo Meier,Hitter,San Jose Sharks,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:49:19Z,1,02:31,17:29,Takeaway,n/a,18.0,21.0,Deryk Engelland,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:49:29Z,1,02:40,17:20,Hit,n/a,-31.0,-39.0,Brenden Dillon,Hitter,San Jose Sharks,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:49:47Z,1,02:48,17:12,Penalty,Tripping,-86.0,9.0,Brent Burns,PenaltyOn,San Jose Sharks,William Carrier,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:50:13Z,1,02:48,17:12,Faceoff,n/a,-69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Barclay Goodrow,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:50:26Z,1,02:54,17:06,Missed Shot,n/a,-80.0,-3.0,Cody Glass,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:51:01Z,1,03:31,16:29,Missed Shot,n/a,-57.0,-21.0,Mark Stone,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:51:17Z,1,03:45,16:15,Giveaway,n/a,-74.0,2.0,Marc-Edouard Vlasic,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:51:17Z,1,03:46,16:14,Goal,Wrist Shot,-66.0,-12.0,Mark Stone,Scorer,Vegas Golden Knights,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:51:58Z,1,03:46,16:14,Faceoff,n/a,0.0,0.0,Tomas Nosek,Winner,Vegas Golden Knights,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:52:08Z,1,03:57,16:03,Hit,n/a,92.0,37.0,Lukas Radil,Hitter,San Jose Sharks,Jon Merrill,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:52:28Z,1,04:17,15:43,Missed Shot,n/a,-52.0,-6.0,Tomas Nosek,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:52:40Z,1,04:29,15:31,Hit,n/a,-96.0,-15.0,Tomas Hertl,Hitter,San Jose Sharks,Ryan Reaves,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:52:52Z,1,04:40,15:20,Shot,Wrist Shot,-77.0,14.0,Tomas Nosek,Shooter,Vegas Golden Knights,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:53:08Z,1,04:57,15:03,Hit,n/a,40.0,39.0,Kevin Labanc,Hitter,San Jose Sharks,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:53:14Z,1,05:02,14:58,Blocked Shot,n/a,-52.0,-11.0,Dalton Prout,Blocker,San Jose Sharks,Reilly Smith,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:53:33Z,1,05:21,14:39,Goal,Wrist Shot,-79.0,-3.0,Reilly Smith,Scorer,Vegas Golden Knights,William Karlsson,Assist,Vegas Golden Knights,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a
2019-10-03T02:54:09Z,1,05:21,14:39,Faceoff,n/a,0.0,0.0,Logan Couture,Winner,San Jose Sharks,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:54:24Z,1,05:35,14:25,Shot,Backhand,-77.0,-1.0,Brandon Pirri,Shooter,Vegas Golden Knights,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:54:28Z,1,05:38,14:22,Hit,n/a,-68.0,39.0,Paul Stastny,Hitter,Vegas Golden Knights,Timo Meier,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:54:39Z,1,05:47,14:13,Penalty,Hooking,59.0,0.0,Brandon Pirri,PenaltyOn,Vegas Golden Knights,Timo Meier,DrewBy,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:55:12Z,1,05:47,14:13,Faceoff,n/a,69.0,22.0,Tomas Nosek,Winner,Vegas Golden Knights,Tomas Hertl,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:55:53Z,1,06:23,13:37,Shot,Snap Shot,69.0,20.0,Brent Burns,Shooter,San Jose Sharks,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:56:28Z,1,06:47,13:13,Penalty,Hooking,55.0,-21.0,Kevin Labanc,PenaltyOn,San Jose Sharks,Mark Stone,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:57:03Z,1,06:47,13:13,Faceoff,n/a,-69.0,-22.0,Cody Glass,Winner,Vegas Golden Knights,Joe Thornton,Loser,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:57:16Z,1,06:53,13:07,Giveaway,n/a,-22.0,-32.0,Max Pacioretty,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:57:57Z,1,07:34,12:26,Hit,n/a,-41.0,38.0,Reilly Smith,Hitter,Vegas Golden Knights,Timo Meier,Hittee,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:58:07Z,1,07:43,12:17,Giveaway,n/a,-91.0,-28.0,Mario Ferraro,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-03T02:58:17Z,1,07:53,12:07,Shot,Slap Shot,-58.0,-24.0,Jon Merrill,Shooter,Vegas Golden Knights,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
