Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-04T01:18:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Monahan,Winner,Calgary Flames,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:19:23Z,1,00:07,19:53,Faceoff,n/a,-69.0,-22.0,Gabriel Landeskog,Winner,Colorado Avalanche,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:19:49Z,1,00:10,19:50,Penalty,Interference,-69.0,-18.0,Sean Monahan,PenaltyOn,Calgary Flames,Mikko Rantanen,DrewBy,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:20:39Z,1,00:10,19:50,Faceoff,n/a,-69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:20:37Z,1,00:34,19:26,Shot,Wrist Shot,-82.0,26.0,Nathan MacKinnon,Shooter,Colorado Avalanche,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:20:52Z,1,00:49,19:11,Missed Shot,n/a,-83.0,-2.0,Gabriel Landeskog,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:20:53Z,1,00:50,19:10,Hit,n/a,-94.0,-9.0,Travis Hamonic,Hitter,Calgary Flames,Gabriel Landeskog,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:21:06Z,1,01:04,18:56,Missed Shot,n/a,-61.0,-18.0,Nazem Kadri,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:21:45Z,1,01:04,18:56,Faceoff,n/a,-69.0,-22.0,Mikael Backlund,Winner,Calgary Flames,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:21:57Z,1,01:18,18:42,Hit,n/a,-26.0,37.0,Noah Hanifin,Hitter,Calgary Flames,J.T. Compher,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:22:26Z,1,01:42,18:18,Faceoff,n/a,69.0,-22.0,J.T. Compher,Winner,Colorado Avalanche,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:22:58Z,1,01:58,18:02,Blocked Shot,n/a,-67.0,-9.0,Travis Hamonic,Blocker,Calgary Flames,J.T. Compher,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:23:11Z,1,02:11,17:49,Shot,Wrist Shot,-58.0,22.0,Andre Burakovsky,Shooter,Colorado Avalanche,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:23:21Z,1,02:21,17:39,Shot,Wrist Shot,-87.0,-5.0,Joonas Donskoi,Shooter,Colorado Avalanche,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:23:55Z,1,02:55,17:05,Takeaway,n/a,-69.0,11.0,Oliver Kylington,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:24:27Z,1,03:16,16:44,Blocked Shot,n/a,-84.0,7.0,Oliver Kylington,Blocker,Calgary Flames,Matt Calvert,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:24:49Z,1,03:16,16:44,Faceoff,n/a,-69.0,22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T01:24:50Z,1,03:24,16:36,Missed Shot,n/a,-35.0,33.0,Conor Timmins,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
