Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-04T00:14:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Matt Duchene,Winner,Nashville Predators,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:16:08Z,1,00:43,19:17,Shot,Wrist Shot,56.0,28.0,Filip Forsberg,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:16:15Z,1,00:49,19:11,Shot,Wrist Shot,77.0,11.0,Filip Forsberg,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:16:53Z,1,01:27,18:33,Takeaway,n/a,-70.0,-1.0,Dante Fabbro,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:17:30Z,1,02:04,17:56,Hit,n/a,94.0,-11.0,Colton Sissons,Hitter,Nashville Predators,Brad Hunt,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:18:02Z,1,02:23,17:37,Faceoff,n/a,69.0,-22.0,Kyle Turris,Winner,Nashville Predators,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:18:22Z,1,02:27,17:33,Shot,Slap Shot,29.0,-6.0,Ryan Ellis,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:18:33Z,1,02:27,17:33,Faceoff,n/a,69.0,-22.0,Kyle Turris,Winner,Nashville Predators,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:19:14Z,1,02:58,17:02,Missed Shot,n/a,-28.0,35.0,Jared Spurgeon,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:19:27Z,1,03:11,16:49,Hit,n/a,7.0,38.0,Ryan Hartman,Hitter,Minnesota Wild,Rocco Grimaldi,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:19:52Z,1,03:16,16:44,Faceoff,n/a,-69.0,22.0,Matt Duchene,Winner,Nashville Predators,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:20:17Z,1,03:31,16:29,Shot,Wrist Shot,81.0,-4.0,Filip Forsberg,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:20:30Z,1,03:32,16:28,Penalty,Hooking,73.0,5.0,Mats Zuccarello,PenaltyOn,Minnesota Wild,Matt Duchene,DrewBy,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:20:59Z,1,03:32,16:28,Faceoff,n/a,69.0,22.0,Matt Duchene,Winner,Nashville Predators,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:21:07Z,1,03:39,16:21,Shot,Wrist Shot,60.0,11.0,Viktor Arvidsson,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:21:09Z,1,03:41,16:19,Missed Shot,n/a,74.0,-26.0,Ryan Johansen,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:21:22Z,1,03:54,16:06,Blocked Shot,n/a,61.0,11.0,Jared Spurgeon,Blocker,Minnesota Wild,Filip Forsberg,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:21:54Z,1,04:25,15:35,Hit,n/a,94.0,-24.0,Matt Dumba,Hitter,Minnesota Wild,Matt Duchene,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:22:05Z,1,04:36,15:24,Hit,n/a,-43.0,-33.0,Filip Forsberg,Hitter,Nashville Predators,Marcus Foligno,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:22:17Z,1,04:38,15:22,Hit,n/a,-42.0,-28.0,Ryan Johansen,Hitter,Nashville Predators,Marcus Foligno,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:22:37Z,1,05:08,14:52,Giveaway,n/a,52.0,22.0,Craig Smith,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:23:02Z,1,05:34,14:26,Blocked Shot,n/a,57.0,13.0,Nick Seeler,Blocker,Minnesota Wild,Mikael Granlund,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:23:11Z,1,05:42,14:18,Blocked Shot,n/a,50.0,-21.0,Jordan Greenway,Blocker,Minnesota Wild,Mattias Ekholm,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:23:31Z,1,05:49,14:11,Blocked Shot,n/a,82.0,-8.0,Nick Seeler,Blocker,Minnesota Wild,Nick Bonino,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:23:32Z,1,05:52,14:08,Penalty,Holding,93.0,29.0,Nick Seeler,PenaltyOn,Minnesota Wild,Mikael Granlund,DrewBy,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:23:54Z,1,05:52,14:08,Faceoff,n/a,69.0,22.0,Matt Duchene,Winner,Nashville Predators,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:24:52Z,1,06:16,13:44,Giveaway,n/a,47.0,1.0,Filip Forsberg,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:25:03Z,1,06:27,13:33,Shot,Wrist Shot,72.0,26.0,Filip Forsberg,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:25:09Z,1,06:30,13:30,Blocked Shot,n/a,76.0,4.0,Luke Kunin,Blocker,Minnesota Wild,Viktor Arvidsson,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:25:41Z,1,06:30,13:30,Faceoff,n/a,69.0,22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Nick Bonino,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:26:00Z,1,06:54,13:06,Shot,Wrist Shot,64.0,-7.0,Craig Smith,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:29:44Z,1,06:55,13:05,Faceoff,n/a,20.0,22.0,Matt Duchene,Winner,Nashville Predators,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:30:29Z,1,07:36,12:24,Blocked Shot,n/a,75.0,2.0,Matt Dumba,Blocker,Minnesota Wild,Filip Forsberg,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:30:35Z,1,07:42,12:18,Shot,Backhand,75.0,9.0,Viktor Arvidsson,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:30:42Z,1,07:49,12:11,Shot,Wrist Shot,40.0,-8.0,Roman Josi,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:30:53Z,1,07:51,12:09,Shot,Tip-In,86.0,-3.0,Matt Duchene,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:33:12Z,1,07:52,12:08,Faceoff,n/a,69.0,-22.0,Colton Sissons,Winner,Nashville Predators,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:33:23Z,1,07:56,12:04,Blocked Shot,n/a,62.0,-20.0,Jared Spurgeon,Blocker,Minnesota Wild,Dante Fabbro,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:33:36Z,1,08:09,11:51,Giveaway,n/a,-28.0,-9.0,Austin Watson,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:33:56Z,1,08:29,11:31,Blocked Shot,n/a,61.0,10.0,Eric Staal,Blocker,Minnesota Wild,Mattias Ekholm,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:34:03Z,1,08:34,11:26,Shot,Wrist Shot,-71.0,36.0,Jared Spurgeon,Shooter,Minnesota Wild,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:34:25Z,1,08:34,11:26,Faceoff,n/a,-69.0,22.0,Mikko Koivu,Winner,Minnesota Wild,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:35:02Z,1,09:04,10:56,Hit,n/a,14.0,-37.0,Kevin Fiala,Hitter,Minnesota Wild,Mikael Granlund,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:35:29Z,1,09:16,10:44,Penalty,Slashing,-43.0,18.0,Roman Josi,PenaltyOn,Nashville Predators,Kevin Fiala,DrewBy,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:35:55Z,1,09:16,10:44,Faceoff,n/a,-69.0,-22.0,Colton Sissons,Winner,Nashville Predators,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:36:19Z,1,09:41,10:19,Giveaway,n/a,-38.0,-13.0,Matt Dumba,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:36:40Z,1,10:02,09:58,Takeaway,n/a,-47.0,20.0,Ryan Johansen,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:37:10Z,1,10:32,09:28,Shot,Slap Shot,-44.0,-23.0,Matt Dumba,Shooter,Minnesota Wild,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:37:27Z,1,10:35,09:25,Shot,Slap Shot,-60.0,16.0,Viktor Arvidsson,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:37:39Z,1,11:01,08:59,Missed Shot,n/a,-49.0,-17.0,Kevin Fiala,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:37:47Z,1,11:09,08:51,Blocked Shot,n/a,-48.0,-17.0,Austin Watson,Blocker,Nashville Predators,Brad Hunt,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:38:41Z,1,12:03,07:57,Missed Shot,n/a,59.0,-41.0,Kyle Turris,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:39:04Z,1,12:26,07:34,Missed Shot,n/a,82.0,-9.0,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:39:20Z,1,12:42,07:18,Giveaway,n/a,20.0,-10.0,Roman Josi,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:39:48Z,1,13:10,06:50,Blocked Shot,n/a,78.0,-17.0,Jonas Brodin,Blocker,Minnesota Wild,Matt Duchene,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:40:04Z,1,13:26,06:34,Takeaway,n/a,30.0,12.0,Mats Zuccarello,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:40:11Z,1,13:33,06:27,Shot,Wrist Shot,-35.0,-31.0,Mats Zuccarello,Shooter,Minnesota Wild,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:42:13Z,1,13:33,06:27,Faceoff,n/a,-69.0,-22.0,Eric Staal,Winner,Minnesota Wild,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:42:52Z,1,13:58,06:02,Blocked Shot,n/a,-43.0,18.0,Austin Watson,Blocker,Nashville Predators,Matt Dumba,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:43:00Z,1,14:06,05:54,Hit,n/a,-71.0,-38.0,Colton Sissons,Hitter,Nashville Predators,Zach Parise,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:43:10Z,1,14:16,05:44,Missed Shot,n/a,-74.0,-5.0,Mats Zuccarello,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:43:31Z,1,14:38,05:22,Giveaway,n/a,70.0,-38.0,Matt Dumba,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:43:37Z,1,14:44,05:16,Hit,n/a,72.0,38.0,Craig Smith,Hitter,Nashville Predators,Matt Dumba,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:43:44Z,1,14:50,05:10,Shot,Backhand,51.0,-17.0,Viktor Arvidsson,Shooter,Nashville Predators,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:45:40Z,1,14:50,05:10,Faceoff,n/a,69.0,-22.0,Ryan Johansen,Winner,Nashville Predators,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:46:16Z,1,14:59,05:01,Hit,n/a,96.0,-1.0,Ryan Johansen,Hitter,Nashville Predators,Kevin Fiala,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:46:32Z,1,15:15,04:45,Blocked Shot,n/a,66.0,-20.0,Jonas Brodin,Blocker,Minnesota Wild,Viktor Arvidsson,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:46:42Z,1,15:22,04:38,Hit,n/a,13.0,22.0,Jared Spurgeon,Hitter,Minnesota Wild,Roman Josi,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:47:12Z,1,15:24,04:36,Faceoff,n/a,20.0,22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Kyle Turris,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:47:29Z,1,15:35,04:25,Giveaway,n/a,36.0,-25.0,Nick Seeler,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:47:30Z,1,15:37,04:23,Blocked Shot,n/a,47.0,4.0,Joel Eriksson Ek,Blocker,Minnesota Wild,Calle Jarnkrok,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:47:39Z,1,15:45,04:15,Missed Shot,n/a,62.0,-24.0,Calle Jarnkrok,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:47:44Z,1,15:51,04:09,Hit,n/a,53.0,38.0,Marcus Foligno,Hitter,Minnesota Wild,Calle Jarnkrok,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:48:15Z,1,16:22,03:38,Blocked Shot,n/a,66.0,-23.0,Ryan Suter,Blocker,Minnesota Wild,Kyle Turris,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:48:18Z,1,16:24,03:36,Takeaway,n/a,81.0,-36.0,Joel Eriksson Ek,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:48:37Z,1,16:43,03:17,Missed Shot,n/a,-46.0,6.0,Luke Kunin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:48:48Z,1,16:54,03:06,Hit,n/a,-96.0,6.0,Luke Kunin,Hitter,Minnesota Wild,Dante Fabbro,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:49:29Z,1,17:35,02:25,Shot,Slap Shot,-39.0,31.0,Jared Spurgeon,Shooter,Minnesota Wild,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:50:08Z,1,17:37,02:23,Shot,Wrist Shot,-30.0,-38.0,Jonas Brodin,Shooter,Minnesota Wild,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:50:29Z,1,17:39,02:21,Faceoff,n/a,-69.0,-22.0,Mikko Koivu,Winner,Minnesota Wild,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:50:46Z,1,17:51,02:09,Takeaway,n/a,-60.0,36.0,Jason Zucker,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-04T00:50:49Z,1,17:54,02:06,Blocked Shot,n/a,-41.0,-28.0,Austin Watson,Blocker,Nashville Predators,Jonas Brodin,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
