Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-06T00:16:29Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:24:06Z,1,00:05,19:55,Faceoff,n/a,-20.0,22.0,Nico Hischier,Winner,New Jersey Devils,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:24:42Z,1,00:25,19:35,Blocked Shot,n/a,-66.0,1.0,Rasmus Ristolainen,Blocker,Buffalo Sabres,Taylor Hall,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:24:47Z,1,00:30,19:30,Hit,n/a,-94.0,39.0,Nico Hischier,Hitter,New Jersey Devils,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:24:54Z,1,00:37,19:23,Hit,n/a,-78.0,-38.0,Jack Eichel,Hitter,Buffalo Sabres,Taylor Hall,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:25:05Z,1,00:48,19:12,Hit,n/a,-35.0,34.0,P.K. Subban,Hitter,New Jersey Devils,Victor Olofsson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:25:34Z,1,01:06,18:54,Faceoff,n/a,69.0,22.0,Travis Zajac,Winner,New Jersey Devils,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:00Z,1,01:15,18:45,Shot,Wrist Shot,87.0,-5.0,Vladimir Sobotka,Shooter,Buffalo Sabres,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:05Z,1,01:20,18:40,Giveaway,n/a,97.0,5.0,Jeff Skinner,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:30Z,1,01:24,18:36,Faceoff,n/a,69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:42Z,1,01:28,18:32,Missed Shot,n/a,32.0,-29.0,Colin Miller,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:56Z,1,01:35,18:25,Penalty,Holding,76.0,-40.0,Will Butcher,PenaltyOn,New Jersey Devils,Jack Eichel,DrewBy,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:27:28Z,1,01:35,18:25,Faceoff,n/a,69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Blake Coleman,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:27:32Z,1,01:43,18:17,Shot,Snap Shot,71.0,-18.0,Jeff Skinner,Shooter,Buffalo Sabres,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:27:38Z,1,01:49,18:11,Missed Shot,n/a,66.0,18.0,Sam Reinhart,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:27:43Z,1,01:54,18:06,Shot,Wrist Shot,72.0,13.0,Jeff Skinner,Shooter,Buffalo Sabres,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:28:04Z,1,02:15,17:45,Missed Shot,n/a,58.0,-16.0,Victor Olofsson,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
