Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-05T23:24:05Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:24:26Z,1,00:11,19:49,Shot,Slap Shot,1.0,7.0,Thomas Chabot,Shooter,Ottawa Senators,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:24:34Z,1,00:18,19:42,Giveaway,n/a,88.0,-27.0,Tony DeAngelo,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:24:44Z,1,00:29,19:31,Hit,n/a,87.0,-38.0,Jean-Gabriel Pageau,Hitter,Ottawa Senators,Artemi Panarin,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:25:01Z,1,00:45,19:15,Shot,Wrist Shot,48.0,-37.0,Bobby Ryan,Shooter,Ottawa Senators,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:25:28Z,1,01:12,18:48,Hit,n/a,72.0,37.0,Brady Tkachuk,Hitter,Ottawa Senators,Jacob Trouba,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:25:52Z,1,01:36,18:24,Hit,n/a,-93.0,35.0,Mark Borowiecki,Hitter,Ottawa Senators,Vladislav Namestnikov,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:00Z,1,01:44,18:16,Shot,Wrist Shot,-30.0,-27.0,Libor Hajek,Shooter,New York Rangers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:17Z,1,02:01,17:59,Shot,Wrist Shot,-51.0,-35.0,Vladislav Namestnikov,Shooter,New York Rangers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:26Z,1,02:08,17:52,Shot,Wrist Shot,-8.0,22.0,Adam Fox,Shooter,New York Rangers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:26:40Z,1,02:09,17:51,Faceoff,n/a,-69.0,22.0,Chris Tierney,Winner,Ottawa Senators,Lias Andersson,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:27:10Z,1,02:30,17:30,Hit,n/a,5.0,-36.0,Brendan Smith,Hitter,New York Rangers,Nikita Zaitsev,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:27:32Z,1,02:35,17:25,Faceoff,n/a,69.0,-22.0,Lias Andersson,Winner,New York Rangers,Colin White,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:27:49Z,1,02:49,17:11,Hit,n/a,-98.0,25.0,Nikita Zaitsev,Hitter,Ottawa Senators,Lias Andersson,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:28:09Z,1,03:10,16:50,Shot,Wrap-around,89.0,-6.0,Brady Tkachuk,Shooter,Ottawa Senators,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:28:42Z,1,03:33,16:27,Hit,n/a,-25.0,37.0,Erik Brannstrom,Hitter,Ottawa Senators,Kaapo Kakko,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:28:50Z,1,03:48,16:12,Blocked Shot,n/a,-32.0,40.0,Erik Brannstrom,Blocker,Ottawa Senators,Jacob Trouba,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:29:14Z,1,03:48,16:12,Faceoff,n/a,-20.0,22.0,Chris Tierney,Winner,Ottawa Senators,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:29:29Z,1,03:59,16:01,Giveaway,n/a,83.0,23.0,Jacob Trouba,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:29:45Z,1,04:20,15:40,Giveaway,n/a,-89.0,-18.0,Scott Sabourin,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:29:51Z,1,04:26,15:34,Missed Shot,n/a,-40.0,-18.0,Libor Hajek,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:30:02Z,1,04:36,15:24,Shot,Slap Shot,-50.0,-33.0,Jacob Trouba,Shooter,New York Rangers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:30:12Z,1,04:36,15:24,Blocked Shot,n/a,-80.0,34.0,Tyler Ennis,Blocker,Ottawa Senators,Libor Hajek,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:30:12Z,1,04:37,15:23,Penalty,Interference,-70.0,8.0,Nikita Zaitsev,PenaltyOn,Ottawa Senators,Brett Howden,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:30:35Z,1,04:37,15:23,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:31:48Z,1,05:44,14:16,Shot,Wrist Shot,-40.0,-31.0,Jacob Trouba,Shooter,New York Rangers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:32:05Z,1,05:58,14:02,Blocked Shot,n/a,-61.0,18.0,Mark Borowiecki,Blocker,Ottawa Senators,Pavel Buchnevich,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:32:09Z,1,06:02,13:58,Shot,Wrist Shot,-40.0,6.0,Jacob Trouba,Shooter,New York Rangers,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:32:17Z,1,06:04,13:56,Goal,Wrist Shot,-81.0,3.0,Mika Zibanejad,Scorer,New York Rangers,Chris Kreider,Assist,New York Rangers,Jacob Trouba,Assist,New York Rangers,Craig Anderson,Goalie,Ottawa Senators
2019-10-05T23:33:15Z,1,06:04,13:56,Faceoff,n/a,0.0,0.0,Ryan Strome,Winner,New York Rangers,Chris Tierney,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
