Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-05T23:14:34Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nate Thompson,Winner,Montréal Canadiens,William Nylander,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:15:27Z,1,00:22,19:38,Giveaway,n/a,52.0,37.0,Jake Muzzin,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:15:48Z,1,00:31,19:29,Hit,n/a,15.0,-40.0,Jordan Weal,Hitter,Montréal Canadiens,Jake Muzzin,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:15:50Z,1,00:31,19:29,Faceoff,n/a,69.0,22.0,Phillip Danault,Winner,Montréal Canadiens,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:16:12Z,1,00:43,19:17,Shot,Tip-In,81.0,2.0,Tomas Tatar,Shooter,Montréal Canadiens,Michael Hutchinson,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:16:28Z,1,00:44,19:16,Faceoff,n/a,69.0,22.0,John Tavares,Winner,Toronto Maple Leafs,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:16:43Z,1,00:55,19:05,Missed Shot,n/a,63.0,-14.0,Brendan Gallagher,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:16:54Z,1,01:04,18:56,Hit,n/a,-98.0,20.0,Kasperi Kapanen,Hitter,Toronto Maple Leafs,Victor Mete,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:16:56Z,1,01:08,18:52,Goal,Wrist Shot,76.0,5.0,Max Domi,Scorer,Montréal Canadiens,Artturi Lehkonen,Assist,Montréal Canadiens,Brendan Gallagher,Assist,Montréal Canadiens,Michael Hutchinson,Goalie,Toronto Maple Leafs
2019-10-05T23:17:39Z,1,01:08,18:52,Faceoff,n/a,0.0,0.0,Alexander Kerfoot,Winner,Toronto Maple Leafs,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
