Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-05T23:16:01Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Lars Eller,Winner,Washington Capitals,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:16:56Z,1,00:14,19:46,Hit,n/a,-15.0,-36.0,Brock McGinn,Hitter,Carolina Hurricanes,Jonas Siegenthaler,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:17:04Z,1,00:22,19:38,Missed Shot,n/a,-64.0,21.0,Jakub Vrana,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:17:17Z,1,00:36,19:24,Blocked Shot,n/a,-69.0,-15.0,Brett Pesce,Blocker,Carolina Hurricanes,Jakub Vrana,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:17:26Z,1,00:44,19:16,Giveaway,n/a,94.0,-11.0,Dmitry Orlov,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:17:37Z,1,00:56,19:04,Missed Shot,n/a,84.0,12.0,Teuvo Teravainen,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:17:59Z,1,01:03,18:57,Shot,Slap Shot,87.0,-28.0,Nick Jensen,Shooter,Washington Capitals,James Reimer,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:18:07Z,1,01:04,18:56,Faceoff,n/a,-69.0,-22.0,Sebastian Aho,Winner,Carolina Hurricanes,Chandler Stephenson,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:18:37Z,1,01:13,18:47,Faceoff,n/a,69.0,22.0,Erik Haula,Winner,Carolina Hurricanes,Chandler Stephenson,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:19:13Z,1,01:30,18:30,Faceoff,n/a,69.0,22.0,Erik Haula,Winner,Carolina Hurricanes,Chandler Stephenson,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-05T23:19:33Z,1,01:35,18:25,Missed Shot,n/a,47.0,38.0,Jake Gardiner,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
