Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-06T21:08:04Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Gemel Smith,Winner,Tampa Bay Lightning,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:08:26Z,1,00:09,19:51,Hit,n/a,-48.0,-39.0,Erik Cernak,Hitter,Tampa Bay Lightning,Jordan Martinook,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:09:10Z,1,00:53,19:07,Takeaway,n/a,-38.0,-25.0,Andrei Svechnikov,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:09:13Z,1,00:58,19:02,Missed Shot,n/a,-43.0,21.0,Brett Pesce,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:09:21Z,1,01:06,18:54,Blocked Shot,n/a,-76.0,7.0,Victor Hedman,Blocker,Tampa Bay Lightning,Brock McGinn,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:11:18Z,1,01:08,18:52,Missed Shot,n/a,-56.0,17.0,Brock McGinn,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:09:51Z,1,01:14,18:46,Goal,Snap Shot,-39.0,22.0,Brett Pesce,Scorer,Carolina Hurricanes,Brock McGinn,Assist,Carolina Hurricanes,Andrei Svechnikov,Assist,Carolina Hurricanes,Curtis McElhinney,Goalie,Tampa Bay Lightning
2019-10-06T21:10:17Z,1,01:14,18:46,Faceoff,n/a,0.0,0.0,Sebastian Aho,Winner,Carolina Hurricanes,Steven Stamkos,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:10:34Z,1,01:34,18:26,Giveaway,n/a,-57.0,-39.0,Nikita Kucherov,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:10:45Z,1,01:43,18:17,Blocked Shot,n/a,-73.0,0.0,Mikhail Sergachev,Blocker,Tampa Bay Lightning,Nino Niederreiter,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:10:46Z,1,01:46,18:14,Takeaway,n/a,-33.0,2.0,Nino Niederreiter,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:11:09Z,1,01:49,18:11,Shot,Wrist Shot,-80.0,-17.0,Sebastian Aho,Shooter,Carolina Hurricanes,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:11:29Z,1,01:50,18:10,Faceoff,n/a,-69.0,-22.0,Erik Haula,Winner,Carolina Hurricanes,Tyler Johnson,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:11:46Z,1,02:15,17:45,Giveaway,n/a,88.0,-36.0,Jake Gardiner,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:11:49Z,1,02:15,17:45,Blocked Shot,n/a,69.0,11.0,Haydn Fleury,Blocker,Carolina Hurricanes,Kevin Shattenkirk,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:11:59Z,1,02:19,17:41,Giveaway,n/a,72.0,40.0,Martin Necas,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T21:12:03Z,1,02:22,17:38,Goal,Slap Shot,45.0,0.0,Tyler Johnson,Scorer,Tampa Bay Lightning,Victor Hedman,Assist,Tampa Bay Lightning,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a
