Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-06T03:05:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:10:32Z,1,00:05,19:55,Faceoff,n/a,69.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:11:12Z,1,00:30,19:30,Blocked Shot,n/a,54.0,-24.0,Drew Doughty,Blocker,Los Angeles Kings,James Neal,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:11:33Z,1,00:30,19:30,Faceoff,n/a,69.0,-22.0,Adrian Kempe,Winner,Los Angeles Kings,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:11:48Z,1,00:45,19:15,Giveaway,n/a,-96.0,-8.0,Mike Smith,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:12:01Z,1,00:53,19:07,Goal,Tip-In,81.0,9.0,Connor McDavid,Scorer,Edmonton Oilers,Leon Draisaitl,Assist,Edmonton Oilers,Oscar Klefbom,Assist,Edmonton Oilers,Jonathan Quick,Goalie,Los Angeles Kings
2019-10-06T02:12:50Z,1,00:53,19:07,Faceoff,n/a,0.0,0.0,Blake Lizotte,Winner,Los Angeles Kings,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:12:51Z,1,01:02,18:58,Hit,n/a,-96.0,13.0,Austin Wagner,Hitter,Los Angeles Kings,Matt Benning,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:13:13Z,1,01:24,18:36,Takeaway,n/a,-95.0,-12.0,Tyler Toffoli,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:13:24Z,1,01:28,18:32,Giveaway,n/a,-69.0,-10.0,Kris Russell,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:13:21Z,1,01:32,18:28,Blocked Shot,n/a,-65.0,-6.0,Kris Russell,Blocker,Edmonton Oilers,Sean Walker,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:13:35Z,1,01:46,18:14,Blocked Shot,n/a,-61.0,-7.0,Gaetan Haas,Blocker,Edmonton Oilers,Dustin Brown,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:13:53Z,1,01:51,18:09,Shot,Wrist Shot,-62.0,-30.0,Kyle Clifford,Shooter,Los Angeles Kings,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:14:21Z,1,01:53,18:07,Faceoff,n/a,-69.0,-22.0,Colby Cave,Winner,Edmonton Oilers,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:14:45Z,1,02:06,17:54,Shot,Snap Shot,-73.0,33.0,Matt Roy,Shooter,Los Angeles Kings,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:14:51Z,1,02:08,17:52,Hit,n/a,-55.0,-38.0,Trevor Lewis,Hitter,Los Angeles Kings,Patrick Russell,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:14:57Z,1,02:19,17:41,Shot,Snap Shot,69.0,-17.0,Patrick Russell,Shooter,Edmonton Oilers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:15:35Z,1,02:30,17:30,Faceoff,n/a,-20.0,-22.0,Adrian Kempe,Winner,Los Angeles Kings,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:15:59Z,1,02:49,17:11,Hit,n/a,93.0,-25.0,Zack Kassian,Hitter,Edmonton Oilers,Tobias Bjornfot,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:16:13Z,1,03:03,16:57,Hit,n/a,88.0,34.0,Drew Doughty,Hitter,Los Angeles Kings,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:16:39Z,1,03:29,16:31,Hit,n/a,78.0,39.0,Ben Hutton,Hitter,Los Angeles Kings,Connor McDavid,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:17:22Z,1,04:10,15:50,Giveaway,n/a,-60.0,-14.0,Mike Smith,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:17:27Z,1,04:13,15:47,Goal,Wrist Shot,-85.0,22.0,Dustin Brown,Scorer,Los Angeles Kings,Anze Kopitar,Assist,Los Angeles Kings,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a
2019-10-06T02:18:26Z,1,04:13,15:47,Faceoff,n/a,0.0,0.0,Blake Lizotte,Winner,Los Angeles Kings,Gaetan Haas,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:18:18Z,1,04:27,15:33,Hit,n/a,73.0,-37.0,Matt Roy,Hitter,Los Angeles Kings,Markus Granlund,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:18:33Z,1,04:41,15:19,Shot,Wrist Shot,17.0,3.0,Markus Granlund,Shooter,Edmonton Oilers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:18:46Z,1,04:53,15:07,Hit,n/a,-93.0,-32.0,Austin Wagner,Hitter,Los Angeles Kings,Joel Persson,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:19:01Z,1,05:04,14:56,Penalty,Slashing,64.0,12.0,Drew Doughty,PenaltyOn,Los Angeles Kings,Connor McDavid,DrewBy,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:19:34Z,1,05:04,14:56,Faceoff,n/a,69.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:21:24Z,1,05:08,14:52,Giveaway,n/a,76.0,28.0,Anze Kopitar,PlayerID,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:20:08Z,1,05:35,14:25,Hit,n/a,34.0,-23.0,Anze Kopitar,Hitter,Los Angeles Kings,Leon Draisaitl,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:20:25Z,1,05:59,14:01,Shot,Tip-In,76.0,-6.0,Leon Draisaitl,Shooter,Edmonton Oilers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:20:58Z,1,06:31,13:29,Hit,n/a,66.0,-38.0,Matt Roy,Hitter,Los Angeles Kings,Gaetan Haas,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:21:41Z,1,07:15,12:45,Shot,Snap Shot,55.0,26.0,Jujhar Khaira,Shooter,Edmonton Oilers,Jonathan Quick,Goalie,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:23:41Z,1,07:16,12:44,Faceoff,n/a,69.0,22.0,Anze Kopitar,Winner,Los Angeles Kings,Colby Cave,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:24:11Z,1,07:30,12:30,Hit,n/a,-94.0,17.0,Oscar Klefbom,Hitter,Edmonton Oilers,Sean Walker,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T02:24:23Z,1,07:42,12:18,Hit,n/a,95.0,-32.0,Sean Walker,Hitter,Los Angeles Kings,Patrick Russell,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
