Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-06T23:08:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Mark Letestu,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:09:36Z,1,00:22,19:38,Hit,n/a,94.0,25.0,Matt Martin,Hitter,New York Islanders,Anthony Bitetto,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:09:43Z,1,00:29,19:31,Hit,n/a,77.0,-34.0,Casey Cizikas,Hitter,New York Islanders,Adam Lowry,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:10:05Z,1,00:51,19:09,Takeaway,n/a,63.0,-17.0,Josh Bailey,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:10:17Z,1,01:03,18:57,Takeaway,n/a,96.0,-17.0,Neal Pionk,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:10:22Z,1,01:08,18:52,Giveaway,n/a,93.0,32.0,Ville Heinola,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:10:34Z,1,01:20,18:40,Missed Shot,n/a,-78.0,-16.0,Michael Dal Colle,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:11:00Z,1,01:46,18:14,Missed Shot,n/a,-81.0,12.0,Andrew Copp,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:11:05Z,1,01:51,18:09,Hit,n/a,-58.0,-38.0,Jordan Eberle,Hitter,New York Islanders,Carl Dahlstrom,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-06T23:11:38Z,1,02:24,17:36,Hit,n/a,93.0,22.0,Anthony Bitetto,Hitter,Winnipeg Jets,Anthony Beauvillier,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
