Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-09T00:10:04Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Tomas Hertl,Winner,San Jose Sharks,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:11:27Z,1,00:37,19:23,Giveaway,n/a,34.0,-5.0,Tomas Hertl,PlayerID,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:11:51Z,1,01:00,19:00,Missed Shot,n/a,54.0,-5.0,Viktor Arvidsson,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:12:16Z,1,01:25,18:35,Missed Shot,n/a,-55.0,5.0,Timo Meier,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:12:26Z,1,01:35,18:25,Takeaway,n/a,-8.0,-37.0,Craig Smith,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:12:29Z,1,01:39,18:21,Shot,Wrist Shot,64.0,-37.0,Ryan Ellis,Shooter,Nashville Predators,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:12:38Z,1,01:46,18:14,Shot,Wrist Shot,-72.0,-22.0,Joe Thornton,Shooter,San Jose Sharks,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:13:03Z,1,01:47,18:13,Faceoff,n/a,-69.0,-22.0,Joe Thornton,Winner,San Jose Sharks,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:13:11Z,1,01:52,18:08,Blocked Shot,n/a,-40.0,1.0,Nick Bonino,Blocker,Nashville Predators,Mario Ferraro,Shooter,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:13:52Z,1,02:10,17:50,Faceoff,n/a,69.0,-22.0,Dylan Gambrell,Winner,San Jose Sharks,Kyle Turris,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:14:14Z,1,02:27,17:33,Shot,Wrist Shot,14.0,-36.0,Yannick Weber,Shooter,Nashville Predators,Martin Jones,Goalie,San Jose Sharks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-09T00:14:45Z,1,02:27,17:33,Faceoff,n/a,69.0,-22.0,Dylan Gambrell,Winner,San Jose Sharks,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
