Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-10T23:07:31Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nico Hischier,Winner,New Jersey Devils,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:08:18Z,1,00:13,19:47,Giveaway,n/a,89.0,-36.0,Darnell Nurse,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:08:55Z,1,00:24,19:36,Penalty,Tripping,95.0,10.0,Darnell Nurse,PenaltyOn,Edmonton Oilers,Kyle Palmieri,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:09:08Z,1,00:24,19:36,Faceoff,n/a,69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Wayne Simmonds,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:09:38Z,1,00:44,19:16,Giveaway,n/a,21.0,7.0,P.K. Subban,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:10:08Z,1,01:14,18:46,Giveaway,n/a,42.0,-23.0,Taylor Hall,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:10:25Z,1,01:31,18:29,Hit,n/a,42.0,11.0,Jujhar Khaira,Hitter,Edmonton Oilers,Nico Hischier,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:10:40Z,1,01:47,18:13,Takeaway,n/a,50.0,-15.0,Riley Sheahan,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:00Z,1,02:06,17:54,Shot,Slap Shot,69.0,-24.0,Nico Hischier,Shooter,New Jersey Devils,Mikko Koskinen,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:16Z,1,02:08,17:52,Shot,Snap Shot,73.0,-11.0,Nikita Gusev,Shooter,New Jersey Devils,Mikko Koskinen,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:34Z,1,02:41,17:19,Takeaway,n/a,-45.0,32.0,Blake Coleman,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:44Z,1,02:50,17:10,Shot,Wrap-around,89.0,-2.0,Blake Coleman,Shooter,New Jersey Devils,Mikko Koskinen,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
