Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-10T23:05:28Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anthony Cirelli,Winner,Tampa Bay Lightning,Alexander Kerfoot,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:09:25Z,1,00:34,19:26,Faceoff,n/a,69.0,22.0,John Tavares,Winner,Toronto Maple Leafs,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:09:40Z,1,00:51,19:09,Hit,n/a,-69.0,38.0,Erik Cernak,Hitter,Tampa Bay Lightning,Kasperi Kapanen,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:09:47Z,1,00:58,19:02,Missed Shot,n/a,-33.0,33.0,Cody Ceci,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:10:05Z,1,01:12,18:48,Shot,Wrist Shot,15.0,-30.0,Anthony Cirelli,Shooter,Tampa Bay Lightning,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:10:49Z,1,01:34,18:26,Faceoff,n/a,-20.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:12Z,1,01:56,18:04,Shot,Backhand,-57.0,7.0,Mitchell Marner,Shooter,Toronto Maple Leafs,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:29Z,1,02:13,17:47,Hit,n/a,41.0,-37.0,Mitchell Marner,Hitter,Toronto Maple Leafs,Brayden Point,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:39Z,1,02:22,17:38,Missed Shot,n/a,80.0,-6.0,Brayden Point,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T23:11:48Z,1,02:28,17:32,Shot,Snap Shot,46.0,1.0,Steven Stamkos,Shooter,Tampa Bay Lightning,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
