Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-10T02:17:02Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jay Beagle,Winner,Vancouver Canucks,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:17:42Z,1,00:14,19:46,Hit,n/a,-93.0,-31.0,Jake Virtanen,Hitter,Vancouver Canucks,Sean Walker,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:17:54Z,1,00:25,19:35,Shot,Wrist Shot,42.0,-37.0,Sean Walker,Shooter,Los Angeles Kings,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:17:58Z,1,00:27,19:33,Shot,Deflected,84.0,-6.0,Kyle Clifford,Shooter,Los Angeles Kings,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:18:16Z,1,00:27,19:33,Faceoff,n/a,69.0,22.0,Adrian Kempe,Winner,Los Angeles Kings,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:18:31Z,1,00:34,19:26,Hit,n/a,31.0,-36.0,Tanner Pearson,Hitter,Vancouver Canucks,Drew Doughty,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:18:42Z,1,00:46,19:14,Hit,n/a,50.0,-39.0,Drew Doughty,Hitter,Los Angeles Kings,Tanner Pearson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:19:30Z,1,01:15,18:45,Faceoff,n/a,-69.0,-22.0,Elias Pettersson,Winner,Vancouver Canucks,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:19:42Z,1,01:24,18:36,Missed Shot,n/a,-64.0,16.0,Brock Boeser,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:19:45Z,1,01:26,18:34,Hit,n/a,-51.0,-36.0,Alexander Edler,Hitter,Vancouver Canucks,Dustin Brown,Hittee,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:20:16Z,1,01:58,18:02,Takeaway,n/a,-95.0,-34.0,J.T. Miller,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-10T02:20:20Z,1,02:02,17:58,Blocked Shot,n/a,-76.0,-7.0,Alec Martinez,Blocker,Los Angeles Kings,Alexander Edler,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
