Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-11T02:07:37Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Cody Glass,Winner,Vegas Golden Knights,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:08:41Z,1,00:18,19:42,Giveaway,n/a,-31.0,-3.0,Max Pacioretty,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:08:52Z,1,00:30,19:30,Giveaway,n/a,-95.0,13.0,Alex Goligoski,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:09:48Z,1,01:25,18:35,Giveaway,n/a,-45.0,-11.0,William Karlsson,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:10:09Z,1,01:46,18:14,Shot,Wrist Shot,54.0,-18.0,Nick Schmaltz,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:10:13Z,1,01:51,18:09,Shot,Backhand,77.0,4.0,Jordan Oesterle,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:10:24Z,1,02:02,17:58,Shot,Wrist Shot,-51.0,26.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:10:57Z,1,02:02,17:58,Faceoff,n/a,-20.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:11:22Z,1,02:23,17:37,Giveaway,n/a,51.0,-30.0,Jon Merrill,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:11:20Z,1,02:25,17:35,Shot,Wrist Shot,57.0,-36.0,Christian Fischer,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:11:51Z,1,02:55,17:05,Shot,Wrap-around,88.0,-6.0,Christian Fischer,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:12:02Z,1,03:00,17:00,Missed Shot,n/a,32.0,-12.0,Carl Soderberg,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:11:58Z,1,03:03,16:57,Hit,n/a,85.0,-40.0,Christian Fischer,Hitter,Arizona Coyotes,Jon Merrill,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:12:14Z,1,03:19,16:41,Shot,Wrist Shot,70.0,-30.0,Phil Kessel,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:12:21Z,1,03:21,16:39,Blocked Shot,n/a,45.0,21.0,Ryan Reaves,Blocker,Vegas Golden Knights,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:12:45Z,1,03:22,16:38,Faceoff,n/a,69.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Cody Glass,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:13:25Z,1,03:46,16:14,Penalty,Tripping,97.0,3.0,Barrett Hayton,PenaltyOn,Arizona Coyotes,Max Pacioretty,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:14:04Z,1,03:46,16:14,Faceoff,n/a,-69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:14:12Z,1,04:03,15:57,Missed Shot,n/a,-46.0,-9.0,Shea Theodore,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:14:14Z,1,04:04,15:56,Blocked Shot,n/a,-72.0,2.0,Oliver Ekman-Larsson,Blocker,Arizona Coyotes,Mark Stone,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:14:28Z,1,04:04,15:56,Faceoff,n/a,-69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:14:47Z,1,04:14,15:46,Giveaway,n/a,-56.0,19.0,Max Pacioretty,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:14:52Z,1,04:19,15:41,Shot,Backhand,78.0,3.0,Michael Grabner,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:15:20Z,1,04:47,15:13,Shot,Wrist Shot,-64.0,-5.0,Brandon Pirri,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:15:45Z,1,05:12,14:48,Shot,Slap Shot,-38.0,0.0,William Karlsson,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:16:29Z,1,05:13,14:47,Faceoff,n/a,-69.0,-22.0,Derek Stepan,Winner,Arizona Coyotes,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:16:34Z,1,05:35,14:25,Shot,Wrist Shot,-58.0,0.0,Brandon Pirri,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:17:38Z,1,05:36,14:24,Faceoff,n/a,-69.0,22.0,Brad Richardson,Winner,Arizona Coyotes,Ryan Reaves,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:17:20Z,1,05:43,14:17,Shot,Tip-In,-59.0,10.0,Ryan Reaves,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:17:48Z,1,05:43,14:17,Faceoff,n/a,-69.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Ryan Reaves,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:17:57Z,1,05:46,14:14,Shot,Wrist Shot,-49.0,27.0,Shea Theodore,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:18:07Z,1,05:47,14:13,Faceoff,n/a,-69.0,22.0,Derek Stepan,Winner,Arizona Coyotes,Ryan Reaves,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:18:35Z,1,06:10,13:50,Hit,n/a,-96.0,-23.0,William Carrier,Hitter,Vegas Golden Knights,Jakob Chychrun,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:18:50Z,1,06:24,13:36,Hit,n/a,37.0,-40.0,Ryan Reaves,Hitter,Vegas Golden Knights,Jakob Chychrun,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:19:18Z,1,06:52,13:08,Giveaway,n/a,-48.0,-37.0,Niklas Hjalmarsson,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:19:18Z,1,06:53,13:07,Blocked Shot,n/a,-73.0,-10.0,Alex Goligoski,Blocker,Arizona Coyotes,Brandon Pirri,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:19:59Z,1,07:11,12:49,Faceoff,n/a,-69.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Cody Glass,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:20:25Z,1,07:31,12:29,Takeaway,n/a,84.0,-34.0,Cody Glass,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:20:34Z,1,07:36,12:24,Giveaway,n/a,-40.0,-37.0,Nick Schmaltz,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:20:33Z,1,07:39,12:21,Shot,Wrist Shot,-50.0,-39.0,Max Pacioretty,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:20:55Z,1,07:54,12:06,Takeaway,n/a,-31.0,-38.0,Carl Soderberg,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:20:55Z,1,08:00,12:00,Goal,Wrist Shot,87.0,11.0,Conor Garland,Scorer,Arizona Coyotes,Carl Soderberg,Assist,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a
2019-10-11T02:21:43Z,1,08:00,12:00,Faceoff,n/a,0.0,0.0,Brad Richardson,Winner,Arizona Coyotes,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:21:48Z,1,08:10,11:50,Takeaway,n/a,97.0,-5.0,Brad Richardson,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:22:03Z,1,08:25,11:35,Hit,n/a,83.0,39.0,Brayden McNabb,Hitter,Vegas Golden Knights,Vinnie Hinostroza,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:22:14Z,1,08:36,11:24,Hit,n/a,-77.0,38.0,Alex Goligoski,Hitter,Arizona Coyotes,William Karlsson,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:22:40Z,1,08:42,11:18,Penalty,Interference,60.0,-39.0,Jon Merrill,PenaltyOn,Vegas Golden Knights,Vinnie Hinostroza,DrewBy,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:24:21Z,1,08:42,11:18,Faceoff,n/a,69.0,-22.0,Tomas Nosek,Winner,Vegas Golden Knights,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:25:16Z,1,09:25,10:35,Blocked Shot,n/a,59.0,9.0,Deryk Engelland,Blocker,Vegas Golden Knights,Phil Kessel,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:26:19Z,1,10:28,09:32,Shot,Wrist Shot,64.0,-25.0,Christian Fischer,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:26:27Z,1,10:36,09:24,Shot,Wrist Shot,90.0,33.0,Deryk Engelland,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:27:04Z,1,11:10,08:50,Takeaway,n/a,96.0,-12.0,Derek Stepan,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:27:06Z,1,11:15,08:45,Missed Shot,n/a,48.0,7.0,Alex Goligoski,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:28:59Z,1,11:16,08:44,Faceoff,n/a,69.0,-22.0,Nick Schmaltz,Winner,Arizona Coyotes,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:29:36Z,1,11:41,08:19,Blocked Shot,n/a,55.0,10.0,Valentin Zykov,Blocker,Vegas Golden Knights,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:29:47Z,1,11:41,08:19,Penalty,Hi-sticking,71.0,6.0,Christian Dvorak,PenaltyOn,Arizona Coyotes,Shea Theodore,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:30:15Z,1,11:41,08:19,Faceoff,n/a,-69.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:30:39Z,1,12:05,07:55,Giveaway,n/a,39.0,22.0,Malcolm Subban,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:31:01Z,1,12:27,07:33,Shot,Tip-In,-81.0,8.0,Max Pacioretty,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:31:05Z,1,12:30,07:30,Takeaway,n/a,-98.0,6.0,Niklas Hjalmarsson,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:31:21Z,1,12:47,07:13,Shot,Wrist Shot,-65.0,31.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:31:36Z,1,13:02,06:58,Shot,Backhand,-76.0,-3.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:31:36Z,1,13:04,06:56,Shot,Tip-In,-92.0,-10.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:31:52Z,1,13:17,06:43,Shot,Tip-In,-81.0,-1.0,Reilly Smith,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:32:01Z,1,13:26,06:34,Shot,Slap Shot,-50.0,25.0,Brandon Pirri,Shooter,Vegas Golden Knights,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:32:38Z,1,13:29,06:31,Faceoff,n/a,-20.0,22.0,Brad Richardson,Winner,Arizona Coyotes,Ryan Reaves,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:33:09Z,1,14:00,06:00,Blocked Shot,n/a,-70.0,5.0,Nick Holden,Blocker,Vegas Golden Knights,Jordan Oesterle,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:33:39Z,1,14:31,05:29,Missed Shot,n/a,22.0,36.0,Clayton Keller,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:34:19Z,1,15:11,04:49,Giveaway,n/a,58.0,9.0,Conor Garland,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:34:58Z,1,15:28,04:32,Blocked Shot,n/a,62.0,-8.0,Brayden McNabb,Blocker,Vegas Golden Knights,Conor Garland,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T02:34:58Z,1,15:40,04:20,Shot,Wrist Shot,79.0,-1.0,Carl Soderberg,Shooter,Arizona Coyotes,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
