Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-11T02:04:14Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:08:47Z,1,00:07,19:53,Hit,n/a,5.0,-38.0,Gabriel Landeskog,Hitter,Colorado Avalanche,Charlie McAvoy,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:08:58Z,1,00:18,19:42,Hit,n/a,94.0,35.0,Erik Johnson,Hitter,Colorado Avalanche,Brad Marchand,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:09:03Z,1,00:23,19:37,Giveaway,n/a,79.0,39.0,Zdeno Chara,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:09:57Z,1,01:17,18:43,Missed Shot,n/a,86.0,-6.0,Karson Kuhlman,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:10:17Z,1,01:36,18:24,Shot,Tip-In,3.0,-4.0,Danton Heinen,Shooter,Boston Bruins,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:10:25Z,1,01:44,18:16,Takeaway,n/a,-24.0,9.0,Tyson Jost,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:10:32Z,1,01:52,18:08,Hit,n/a,-96.0,-19.0,Connor Clifton,Hitter,Boston Bruins,Tyson Jost,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:11:08Z,1,02:27,17:33,Giveaway,n/a,-34.0,-26.0,Samuel Girard,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:11:15Z,1,02:35,17:25,Hit,n/a,66.0,-37.0,Nikita Zadorov,Hitter,Colorado Avalanche,Sean Kuraly,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:11:24Z,1,02:41,17:19,Shot,Wrist Shot,50.0,-37.0,Sean Kuraly,Shooter,Boston Bruins,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T01:11:48Z,1,02:41,17:19,Faceoff,n/a,69.0,-22.0,Gabriel Landeskog,Winner,Colorado Avalanche,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
