Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-11T00:39:09Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Tyler Seguin,Winner,Dallas Stars,Mikael Backlund,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:40:22Z,1,00:13,19:47,Shot,Snap Shot,63.0,29.0,Mikael Backlund,Shooter,Calgary Flames,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:40:41Z,1,00:30,19:30,Giveaway,n/a,28.0,-5.0,Andrew Mangiapane,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:40:45Z,1,00:32,19:28,Blocked Shot,n/a,-74.0,-21.0,Rasmus Andersson,Blocker,Calgary Flames,Alexander Radulov,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:41:18Z,1,00:41,19:19,Missed Shot,n/a,-83.0,11.0,Jamie Benn,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:41:34Z,1,01:01,18:59,Shot,Wrist Shot,58.0,-23.0,Elias Lindholm,Shooter,Calgary Flames,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:41:50Z,1,01:17,18:43,Shot,Wrist Shot,35.0,-2.0,Travis Hamonic,Shooter,Calgary Flames,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:41:50Z,1,01:18,18:42,Shot,Wrist Shot,79.0,-5.0,Sean Monahan,Shooter,Calgary Flames,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:42:00Z,1,01:21,18:39,Faceoff,n/a,69.0,-22.0,Radek Faksa,Winner,Dallas Stars,Derek Ryan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:42:27Z,1,01:49,18:11,Hit,n/a,-62.0,-39.0,Joel L'Esperance,Hitter,Dallas Stars,Milan Lucic,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:42:46Z,1,02:08,17:52,Missed Shot,n/a,31.0,-30.0,Rasmus Andersson,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:42:53Z,1,02:09,17:51,Hit,n/a,43.0,40.0,Joel Hanley,Hitter,Dallas Stars,Milan Lucic,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:43:12Z,1,02:34,17:26,Shot,Wrist Shot,-59.0,-40.0,Esa Lindell,Shooter,Dallas Stars,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:43:31Z,1,02:53,17:07,Giveaway,n/a,-81.0,-20.0,Travis Hamonic,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:44:04Z,1,03:26,16:34,Shot,Wrist Shot,74.0,5.0,Mikael Backlund,Shooter,Calgary Flames,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:44:14Z,1,03:36,16:24,Shot,Snap Shot,-41.0,-16.0,Jamie Benn,Shooter,Dallas Stars,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:44:30Z,1,03:52,16:08,Hit,n/a,14.0,-39.0,Mikael Backlund,Hitter,Calgary Flames,Jamie Oleksiak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:44:43Z,1,04:05,15:55,Giveaway,n/a,43.0,40.0,Miro Heiskanen,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:44:48Z,1,04:10,15:50,Blocked Shot,n/a,75.0,0.0,Miro Heiskanen,Blocker,Dallas Stars,Johnny Gaudreau,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:45:05Z,1,04:27,15:33,Shot,Slap Shot,39.0,15.0,Johnny Gaudreau,Shooter,Calgary Flames,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:45:26Z,1,04:48,15:12,Missed Shot,n/a,-63.0,-32.0,John Klingberg,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:45:33Z,1,04:54,15:06,Giveaway,n/a,-61.0,-38.0,Rhett Gardner,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:46:19Z,1,05:02,14:58,Faceoff,n/a,-20.0,-22.0,Derek Ryan,Winner,Calgary Flames,Justin Dowling,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-11T00:46:53Z,1,05:39,14:21,Blocked Shot,n/a,-73.0,15.0,Michael Stone,Blocker,Calgary Flames,Jamie Oleksiak,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
