Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-12T23:15:55Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,David Kampf,Winner,Chicago Blackhawks,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:16:23Z,1,00:17,19:43,Faceoff,n/a,-69.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,David Kampf,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:17:09Z,1,00:46,19:14,Giveaway,n/a,72.0,39.0,Blake Wheeler,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:17:31Z,1,01:08,18:52,Shot,Wrist Shot,72.0,23.0,Andrew Copp,Shooter,Winnipeg Jets,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:17:51Z,1,01:29,18:31,Shot,Slap Shot,44.0,-7.0,Neal Pionk,Shooter,Winnipeg Jets,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:17:58Z,1,01:36,18:24,Shot,Snap Shot,-56.0,29.0,Jonathan Toews,Shooter,Chicago Blackhawks,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:04Z,1,01:41,18:19,Hit,n/a,6.0,-37.0,Calvin de Haan,Hitter,Chicago Blackhawks,Nikolaj Ehlers,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:21Z,1,01:59,18:01,Giveaway,n/a,-90.0,39.0,Carl Dahlstrom,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:23Z,1,02:01,17:59,Shot,Wrist Shot,-37.0,-39.0,Calvin de Haan,Shooter,Chicago Blackhawks,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:32Z,1,02:10,17:50,Missed Shot,n/a,60.0,-28.0,Mark Letestu,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:35Z,1,02:12,17:48,Hit,n/a,10.0,39.0,Adam Lowry,Hitter,Winnipeg Jets,Andrew Shaw,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:02Z,1,02:39,17:21,Shot,Wrist Shot,-39.0,13.0,Duncan Keith,Shooter,Chicago Blackhawks,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:03Z,1,02:40,17:20,Giveaway,n/a,-52.0,38.0,Mathieu Perreault,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:20:45Z,1,02:41,17:19,Giveaway,n/a,-94.0,-7.0,Connor Hellebuyck,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:33Z,1,03:10,16:50,Giveaway,n/a,78.0,36.0,Brent Seabrook,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:42Z,1,03:17,16:43,Hit,n/a,95.0,-9.0,Brent Seabrook,Hitter,Chicago Blackhawks,Jack Roslovic,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:50Z,1,03:18,16:42,Penalty,Tripping,39.0,-17.0,Zack Smith,PenaltyOn,Chicago Blackhawks,Mathieu Perreault,DrewBy,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:20:09Z,1,03:18,16:42,Faceoff,n/a,69.0,-22.0,Jonathan Toews,Winner,Chicago Blackhawks,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:20:24Z,1,03:30,16:30,Takeaway,n/a,-79.0,14.0,Jonathan Toews,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:20:58Z,1,04:02,15:58,Goal,Wrist Shot,-76.0,-6.0,Brandon Saad,Scorer,Chicago Blackhawks,Ryan Carpenter,Assist,Chicago Blackhawks,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a
2019-10-12T23:21:38Z,1,04:02,15:58,Faceoff,n/a,0.0,0.0,Jonathan Toews,Winner,Chicago Blackhawks,Andrew Copp,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:49Z,1,04:15,15:45,Takeaway,n/a,-21.0,37.0,Drake Caggiula,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
