Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-12T23:15:14Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan O'Reilly,Winner,St. Louis Blues,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:15:32Z,1,00:14,19:46,Hit,n/a,-79.0,-38.0,Brendan Gallagher,Hitter,Montréal Canadiens,Alex Pietrangelo,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:15:59Z,1,00:22,19:38,Faceoff,n/a,-69.0,-22.0,Max Domi,Winner,Montréal Canadiens,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:16:13Z,1,00:31,19:29,Missed Shot,n/a,-81.0,0.0,Jordan Weal,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:16:16Z,1,00:34,19:26,Hit,n/a,-22.0,37.0,Shea Weber,Hitter,Montréal Canadiens,Sammy Blais,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:16:44Z,1,01:02,18:58,Giveaway,n/a,-56.0,35.0,Jay Bouwmeester,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:16:52Z,1,01:10,18:50,Giveaway,n/a,-47.0,41.0,Brayden Schenn,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:16:57Z,1,01:15,18:45,Takeaway,n/a,-32.0,22.0,Brayden Schenn,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:17:30Z,1,01:25,18:35,Faceoff,n/a,0.0,0.0,Ivan Barbashev,Winner,St. Louis Blues,Jesperi Kotkaniemi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:17:39Z,1,01:33,18:27,Hit,n/a,5.0,-39.0,Ben Chiarot,Hitter,Montréal Canadiens,Alexander Steen,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:14Z,1,02:03,17:57,Penalty,Hi-sticking,76.0,-36.0,Ben Chiarot,PenaltyOn,Montréal Canadiens,Oskar Sundqvist,DrewBy,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:47Z,1,02:03,17:57,Faceoff,n/a,69.0,22.0,Brayden Schenn,Winner,St. Louis Blues,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:18:56Z,1,02:16,17:44,Shot,Wrist Shot,32.0,-17.0,Vince Dunn,Shooter,St. Louis Blues,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:07Z,1,02:17,17:43,Faceoff,n/a,69.0,-22.0,Brayden Schenn,Winner,St. Louis Blues,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:22Z,1,02:28,17:32,Takeaway,n/a,52.0,-17.0,Artturi Lehkonen,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:19:28Z,1,02:34,17:26,Blocked Shot,n/a,-76.0,-20.0,Vince Dunn,Blocker,St. Louis Blues,Phillip Danault,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:20:11Z,1,03:18,16:42,Missed Shot,n/a,65.0,22.0,Alex Pietrangelo,Shooter,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:20:31Z,1,03:37,16:23,Shot,Wrist Shot,-66.0,-12.0,Artturi Lehkonen,Shooter,Montréal Canadiens,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:20:39Z,1,03:46,16:14,Hit,n/a,54.0,-36.0,Jeff Petry,Hitter,Montréal Canadiens,David Perron,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:00Z,1,04:07,15:53,Takeaway,n/a,94.0,23.0,Shea Weber,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:03Z,1,04:09,15:51,Giveaway,n/a,94.0,-15.0,Shea Weber,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:11Z,1,04:16,15:44,Shot,Wrist Shot,-29.0,-31.0,Ben Chiarot,Shooter,Montréal Canadiens,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:43Z,1,04:17,15:43,Faceoff,n/a,-69.0,-22.0,Brayden Schenn,Winner,St. Louis Blues,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:49Z,1,04:23,15:37,Giveaway,n/a,-97.0,-25.0,Jay Bouwmeester,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:49Z,1,04:26,15:34,Missed Shot,n/a,-29.0,41.0,Christian Folin,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:21:59Z,1,04:37,15:23,Shot,Wrist Shot,-67.0,4.0,Brendan Gallagher,Shooter,Montréal Canadiens,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:22:17Z,1,04:53,15:07,Shot,Wrist Shot,-25.0,13.0,Brendan Gallagher,Shooter,Montréal Canadiens,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:23:00Z,1,04:54,15:06,Faceoff,n/a,-69.0,22.0,Jesperi Kotkaniemi,Winner,Montréal Canadiens,Oskar Sundqvist,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:23:07Z,1,05:00,15:00,Blocked Shot,n/a,-75.0,17.0,Alexander Steen,Blocker,St. Louis Blues,Ben Chiarot,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:23:16Z,1,05:09,14:51,Hit,n/a,10.0,-39.0,Jesperi Kotkaniemi,Hitter,Montréal Canadiens,Alexander Steen,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:24:00Z,1,05:26,14:34,Faceoff,n/a,-20.0,-22.0,Nate Thompson,Winner,Montréal Canadiens,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:24:24Z,1,05:45,14:15,Faceoff,n/a,-69.0,-22.0,Nate Thompson,Winner,Montréal Canadiens,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:24:54Z,1,05:53,14:07,Blocked Shot,n/a,-76.0,-14.0,Justin Faulk,Blocker,St. Louis Blues,Victor Mete,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:25:08Z,1,06:08,13:52,Giveaway,n/a,-57.0,-39.0,Vince Dunn,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:25:17Z,1,06:17,13:43,Hit,n/a,-97.0,0.0,Brayden Schenn,Hitter,St. Louis Blues,Nick Suzuki,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:25:33Z,1,06:18,13:42,Penalty,Hi-sticking,-74.0,14.0,Vince Dunn,PenaltyOn,St. Louis Blues,Paul Byron,DrewBy,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:27:45Z,1,06:18,13:42,Faceoff,n/a,-69.0,-22.0,Max Domi,Winner,Montréal Canadiens,Ryan O'Reilly,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:27:58Z,1,06:43,13:17,Takeaway,n/a,8.0,-25.0,Alexander Steen,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:28:31Z,1,07:15,12:45,Missed Shot,n/a,-78.0,21.0,Max Domi,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:28:46Z,1,07:28,12:32,Blocked Shot,n/a,-73.0,-16.0,Carl Gunnarsson,Blocker,St. Louis Blues,Nick Suzuki,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:28:58Z,1,07:39,12:21,Takeaway,n/a,-57.0,39.0,Alex Pietrangelo,PlayerID,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:29:24Z,1,08:09,11:51,Blocked Shot,n/a,-71.0,-15.0,Alexander Steen,Blocker,St. Louis Blues,Shea Weber,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:29:53Z,1,08:38,11:22,Shot,Wrist Shot,-51.0,-18.0,Ben Chiarot,Shooter,Montréal Canadiens,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:30:00Z,1,08:45,11:15,Hit,n/a,-88.0,-36.0,Phillip Danault,Hitter,Montréal Canadiens,Sammy Blais,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T23:30:38Z,1,08:46,11:14,Hit,n/a,98.0,35.0,Paul Byron,Hitter,Montréal Canadiens,David Perron,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
