Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-12T17:08:22Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:09:05Z,1,00:09,19:51,Giveaway,n/a,69.0,-37.0,Tony DeAngelo,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:09:13Z,1,00:17,19:43,Takeaway,n/a,31.0,-7.0,Mika Zibanejad,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:09:18Z,1,00:22,19:38,Shot,Snap Shot,-59.0,14.0,Mika Zibanejad,Shooter,New York Rangers,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:10:06Z,1,00:57,19:03,Faceoff,n/a,0.0,0.0,Ryan Strome,Winner,New York Rangers,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:10:29Z,1,01:11,18:49,Takeaway,n/a,-82.0,-20.0,Ryan Nugent-Hopkins,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:10:41Z,1,01:22,18:38,Giveaway,n/a,-50.0,-38.0,Ryan Strome,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:10:59Z,1,01:40,18:20,Hit,n/a,37.0,38.0,Kris Russell,Hitter,Edmonton Oilers,Jesper Fast,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:11:12Z,1,01:54,18:06,Hit,n/a,-82.0,39.0,Brendan Lemieux,Hitter,New York Rangers,Matt Benning,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:11:25Z,1,02:01,17:59,Faceoff,n/a,-69.0,-22.0,Brett Howden,Winner,New York Rangers,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:12:17Z,1,02:27,17:33,Takeaway,n/a,23.0,8.0,Brendan Lemieux,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:12:31Z,1,02:41,17:19,Shot,Wrist Shot,79.0,32.0,Joakim Nygard,Shooter,Edmonton Oilers,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:12:47Z,1,02:57,17:03,Hit,n/a,-19.0,36.0,Lias Andersson,Hitter,New York Rangers,Markus Granlund,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:13:25Z,1,03:35,16:25,Shot,Wrist Shot,18.0,-36.0,Riley Sheahan,Shooter,Edmonton Oilers,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:13:44Z,1,03:35,16:25,Faceoff,n/a,69.0,-22.0,Mika Zibanejad,Winner,New York Rangers,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:14:13Z,1,03:46,16:14,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Connor McDavid,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:14:47Z,1,04:00,16:00,Giveaway,n/a,-45.0,-38.0,Artemi Panarin,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:14:53Z,1,04:06,15:54,Hit,n/a,95.0,-22.0,Zack Kassian,Hitter,Edmonton Oilers,Marc Staal,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:15:26Z,1,04:40,15:20,Missed Shot,n/a,85.0,-26.0,Zack Kassian,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:15:35Z,1,04:48,15:12,Missed Shot,n/a,79.0,-25.0,Zack Kassian,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:15:42Z,1,04:49,15:11,Blocked Shot,n/a,31.0,1.0,Pavel Buchnevich,Blocker,New York Rangers,Matt Benning,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:16:12Z,1,04:51,15:09,Faceoff,n/a,69.0,22.0,Brett Howden,Winner,New York Rangers,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:16:48Z,1,05:08,14:52,Penalty,Hooking,70.0,-30.0,James Neal,PenaltyOn,Edmonton Oilers,Brendan Lemieux,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:17:05Z,1,05:08,14:52,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Riley Sheahan,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:17:24Z,1,05:19,14:41,Blocked Shot,n/a,-77.0,13.0,Darnell Nurse,Blocker,Edmonton Oilers,Pavel Buchnevich,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:17:38Z,1,05:19,14:41,Faceoff,n/a,-69.0,22.0,Riley Sheahan,Winner,Edmonton Oilers,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:17:44Z,1,05:23,14:37,Hit,n/a,-94.0,36.0,Pavel Buchnevich,Hitter,New York Rangers,Darnell Nurse,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:17:52Z,1,05:31,14:29,Shot,Tip-In,-81.0,7.0,Mika Zibanejad,Shooter,New York Rangers,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:18:20Z,1,05:59,14:01,Hit,n/a,-48.0,38.0,Pavel Buchnevich,Hitter,New York Rangers,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:18:46Z,1,06:25,13:35,Missed Shot,n/a,-67.0,-5.0,Chris Kreider,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:19:00Z,1,06:27,13:33,Shot,Wrist Shot,-61.0,21.0,Artemi Panarin,Shooter,New York Rangers,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:18:57Z,1,06:29,13:31,Penalty,Hi-sticking,-75.0,4.0,Kris Russell,PenaltyOn,Edmonton Oilers,Pavel Buchnevich,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:19:35Z,1,06:29,13:31,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:19:44Z,1,06:36,13:24,Missed Shot,n/a,-48.0,-12.0,Artemi Panarin,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:20:06Z,1,06:58,13:02,Shot,Wrist Shot,-82.0,20.0,Pavel Buchnevich,Shooter,New York Rangers,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:20:15Z,1,07:07,12:53,Missed Shot,n/a,-86.0,-7.0,Mika Zibanejad,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:20:24Z,1,07:16,12:44,Missed Shot,n/a,-68.0,-19.0,Artemi Panarin,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:20:41Z,1,07:34,12:26,Hit,n/a,-91.0,31.0,Darnell Nurse,Hitter,Edmonton Oilers,Pavel Buchnevich,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:21:12Z,1,08:04,11:56,Blocked Shot,n/a,-77.0,-14.0,Matt Benning,Blocker,Edmonton Oilers,Mika Zibanejad,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:21:42Z,1,08:34,11:26,Shot,Tip-In,-83.0,-2.0,Brendan Lemieux,Shooter,New York Rangers,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:24:07Z,1,08:34,11:26,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Leon Draisaitl,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:24:42Z,1,09:03,10:57,Hit,n/a,91.0,36.0,Zack Kassian,Hitter,Edmonton Oilers,Tony DeAngelo,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:25:15Z,1,09:36,10:24,Blocked Shot,n/a,58.0,-33.0,Marc Staal,Blocker,New York Rangers,Markus Granlund,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:25:21Z,1,09:42,10:18,Giveaway,n/a,95.0,-16.0,Alex Chiasson,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:25:30Z,1,09:51,10:09,Hit,n/a,-95.0,10.0,Brendan Lemieux,Hitter,New York Rangers,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:25:50Z,1,10:11,09:49,Missed Shot,n/a,-57.0,5.0,Brendan Smith,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:28:37Z,1,10:32,09:28,Faceoff,n/a,69.0,-22.0,Leon Draisaitl,Winner,Edmonton Oilers,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:28:59Z,1,10:48,09:12,Shot,Slap Shot,31.0,38.0,Darnell Nurse,Shooter,Edmonton Oilers,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:29:06Z,1,10:48,09:12,Faceoff,n/a,69.0,22.0,Leon Draisaitl,Winner,Edmonton Oilers,Jesper Fast,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:30:03Z,1,11:25,08:35,Giveaway,n/a,33.0,-37.0,Darnell Nurse,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:30:35Z,1,11:57,08:03,Shot,Slap Shot,50.0,36.0,Oscar Klefbom,Shooter,Edmonton Oilers,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:30:50Z,1,12:09,07:51,Blocked Shot,n/a,77.0,3.0,Jacob Trouba,Blocker,New York Rangers,Oscar Klefbom,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:30:54Z,1,12:16,07:44,Blocked Shot,n/a,68.0,2.0,Jacob Trouba,Blocker,New York Rangers,Josh Archibald,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:30:58Z,1,12:20,07:40,Blocked Shot,n/a,36.0,29.0,Chris Kreider,Blocker,New York Rangers,Oscar Klefbom,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:30:58Z,1,12:22,07:38,Missed Shot,n/a,81.0,4.0,Josh Archibald,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:31:24Z,1,12:46,07:14,Takeaway,n/a,-4.0,-30.0,Markus Granlund,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:32:14Z,1,13:12,06:48,Faceoff,n/a,0.0,0.0,Lias Andersson,Winner,New York Rangers,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:32:33Z,1,13:26,06:34,Takeaway,n/a,-46.0,38.0,Lias Andersson,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:33:30Z,1,14:23,05:37,Hit,n/a,62.0,-37.0,Marc Staal,Hitter,New York Rangers,Leon Draisaitl,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:33:58Z,1,14:51,05:09,Shot,Snap Shot,89.0,-12.0,Connor McDavid,Shooter,Edmonton Oilers,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:34:08Z,1,15:01,04:59,Blocked Shot,n/a,63.0,-14.0,Mika Zibanejad,Blocker,New York Rangers,Connor McDavid,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:34:14Z,1,15:07,04:53,Takeaway,n/a,97.0,4.0,Connor McDavid,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-12T17:34:22Z,1,15:15,04:45,Missed Shot,n/a,76.0,2.0,Zack Kassian,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
