Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-14T17:09:15Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:10:00Z,1,00:22,19:38,Missed Shot,n/a,-74.0,-12.0,Rickard Rakell,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:10:05Z,1,00:27,19:33,Hit,n/a,-73.0,35.0,Brad Marchand,Hitter,Boston Bruins,Adam Henrique,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:10:35Z,1,00:47,19:13,Faceoff,n/a,69.0,22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:11:25Z,1,01:19,18:41,Missed Shot,n/a,89.0,-25.0,Chris Wagner,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:11:40Z,1,01:35,18:25,Hit,n/a,64.0,34.0,Korbinian Holzer,Hitter,Anaheim Ducks,Sean Kuraly,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:11:52Z,1,01:37,18:23,Faceoff,n/a,69.0,-22.0,David Krejci,Winner,Boston Bruins,Derek Grant,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:12:31Z,1,01:57,18:03,Blocked Shot,n/a,63.0,-24.0,Korbinian Holzer,Blocker,Anaheim Ducks,Karson Kuhlman,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:12:55Z,1,01:57,18:03,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Sam Steel,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:13:16Z,1,02:12,17:48,Shot,Snap Shot,78.0,-19.0,David Pastrnak,Shooter,Boston Bruins,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:52Z,1,02:14,17:46,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:13:59Z,1,02:21,17:39,Shot,Slap Shot,31.0,-16.0,Charlie McAvoy,Shooter,Boston Bruins,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:19Z,1,02:41,17:19,Missed Shot,n/a,-49.0,31.0,Jakob Silfverberg,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:28Z,1,02:46,17:14,Shot,Backhand,-51.0,4.0,Adam Henrique,Shooter,Anaheim Ducks,Jaroslav Halak,Goalie,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:14:45Z,1,02:49,17:11,Faceoff,n/a,-69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Nick Ritchie,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:15:31Z,1,03:23,16:37,Hit,n/a,92.0,-14.0,Cam Fowler,Hitter,Anaheim Ducks,Brett Ritchie,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:15:36Z,1,03:27,16:33,Hit,n/a,-46.0,19.0,Steven Kampfer,Hitter,Boston Bruins,Michael Del Zotto,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:15:55Z,1,03:47,16:13,Shot,Wrist Shot,56.0,9.0,Brett Ritchie,Shooter,Boston Bruins,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:16:10Z,1,04:01,15:59,Blocked Shot,n/a,71.0,12.0,Cam Fowler,Blocker,Anaheim Ducks,Charlie Coyle,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:16:22Z,1,04:10,15:50,Shot,Snap Shot,78.0,2.0,Danton Heinen,Shooter,Boston Bruins,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:16:42Z,1,04:10,15:50,Penalty,Slashing,78.0,15.0,Michael Del Zotto,PenaltyOn,Anaheim Ducks,Charlie Coyle,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:17:10Z,1,04:10,15:50,Faceoff,n/a,69.0,-22.0,Derek Grant,Winner,Anaheim Ducks,Patrice Bergeron,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:17:10Z,1,04:18,15:42,Goal,Slap Shot,66.0,19.0,David Pastrnak,Scorer,Boston Bruins,Patrice Bergeron,Assist,Boston Bruins,Torey Krug,Assist,Boston Bruins,John Gibson,Goalie,Anaheim Ducks
2019-10-14T17:17:47Z,1,04:18,15:42,Faceoff,n/a,0.0,0.0,Adam Henrique,Winner,Anaheim Ducks,Sean Kuraly,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:18:20Z,1,04:32,15:28,Faceoff,n/a,-69.0,-22.0,Sean Kuraly,Winner,Boston Bruins,Sam Steel,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:18:55Z,1,04:58,15:02,Hit,n/a,38.0,29.0,Korbinian Holzer,Hitter,Anaheim Ducks,Chris Wagner,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:18:59Z,1,05:03,14:57,Hit,n/a,93.0,17.0,Chris Wagner,Hitter,Boston Bruins,Jacob Larsson,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:19:10Z,1,05:14,14:46,Hit,n/a,-36.0,-36.0,Michael Del Zotto,Hitter,Anaheim Ducks,Karson Kuhlman,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:19:19Z,1,05:23,14:37,Giveaway,n/a,62.0,35.0,Ryan Getzlaf,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:19:38Z,1,05:42,14:18,Hit,n/a,-15.0,-39.0,Max Comtois,Hitter,Anaheim Ducks,Brandon Carlo,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:19:44Z,1,05:48,14:12,Giveaway,n/a,33.0,-34.0,Max Comtois,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:20:28Z,1,06:30,13:30,Shot,Wrist Shot,67.0,-39.0,Steven Kampfer,Shooter,Boston Bruins,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:22:39Z,1,06:30,13:30,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:23:05Z,1,06:43,13:17,Missed Shot,n/a,38.0,23.0,Zdeno Chara,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-14T17:23:58Z,1,07:35,12:25,Hit,n/a,-84.0,9.0,Charlie McAvoy,Hitter,Boston Bruins,Rickard Rakell,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
