Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-16T02:38:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Anze Kopitar,Winner,Los Angeles Kings,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:39:46Z,1,00:16,19:44,Hit,n/a,98.0,-25.0,Ben Hutton,Hitter,Los Angeles Kings,Brock McGinn,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:40:17Z,1,00:45,19:15,Blocked Shot,n/a,54.0,-19.0,Alec Martinez,Blocker,Los Angeles Kings,Teuvo Teravainen,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:40:32Z,1,01:02,18:58,Blocked Shot,n/a,51.0,11.0,Sean Walker,Blocker,Los Angeles Kings,Sebastian Aho,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:40:43Z,1,01:16,18:44,Blocked Shot,n/a,75.0,2.0,Sean Walker,Blocker,Los Angeles Kings,Sebastian Aho,Shooter,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:41:24Z,1,01:24,18:36,Faceoff,n/a,20.0,22.0,Erik Haula,Winner,Carolina Hurricanes,Michael Amadio,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:41:44Z,1,01:42,18:18,Penalty,Slashing,81.0,-30.0,Ryan Dzingel,PenaltyOn,Carolina Hurricanes,Ilya Kovalchuk,DrewBy,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:42:23Z,1,01:42,18:18,Faceoff,n/a,-69.0,-22.0,Erik Haula,Winner,Carolina Hurricanes,Anze Kopitar,Loser,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:42:33Z,1,01:55,18:05,Shot,Slap Shot,-51.0,-31.0,Anze Kopitar,Shooter,Los Angeles Kings,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:42:59Z,1,02:22,17:38,Missed Shot,n/a,-48.0,-3.0,Dustin Brown,Shooter,Los Angeles Kings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
