Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-16T23:10:29Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sidney Crosby,Winner,Pittsburgh Penguins,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:11:13Z,1,00:15,19:45,Shot,Wrist Shot,-69.0,15.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:11:26Z,1,00:28,19:32,Shot,Wrist Shot,67.0,21.0,Sidney Crosby,Shooter,Pittsburgh Penguins,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:11:33Z,1,00:35,19:25,Blocked Shot,n/a,78.0,0.0,Gabriel Landeskog,Blocker,Colorado Avalanche,Kris Letang,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:11:45Z,1,00:38,19:22,Shot,Wrist Shot,43.0,-15.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:12:02Z,1,00:49,19:11,Faceoff,n/a,20.0,22.0,Teddy Blueger,Winner,Pittsburgh Penguins,Nazem Kadri,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:12:38Z,1,01:08,18:52,Missed Shot,n/a,58.0,-12.0,Brandon Tanev,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:12:43Z,1,01:12,18:48,Hit,n/a,90.0,35.0,Zach Aston-Reese,Hitter,Pittsburgh Penguins,Ian Cole,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:13:21Z,1,01:41,18:19,Faceoff,n/a,69.0,-22.0,Dominik Kahun,Winner,Pittsburgh Penguins,Tyson Jost,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:14:03Z,1,01:57,18:03,Hit,n/a,88.0,37.0,Ryan Graves,Hitter,Colorado Avalanche,Sam Lafferty,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:14:26Z,1,02:02,17:58,Faceoff,n/a,69.0,22.0,J.T. Compher,Winner,Colorado Avalanche,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:14:44Z,1,02:11,17:49,Hit,n/a,25.0,-40.0,Marcus Pettersson,Hitter,Pittsburgh Penguins,Colin Wilson,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:15:04Z,1,02:22,17:38,Faceoff,n/a,-69.0,-22.0,Mikko Rantanen,Winner,Colorado Avalanche,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:15:43Z,1,02:38,17:22,Missed Shot,n/a,76.0,-8.0,Dominik Simon,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:15:56Z,1,02:51,17:09,Blocked Shot,n/a,79.0,5.0,Erik Johnson,Blocker,Colorado Avalanche,Jake Guentzel,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:16:08Z,1,02:57,17:03,Shot,Wrist Shot,85.0,-3.0,Sidney Crosby,Shooter,Pittsburgh Penguins,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T23:16:23Z,1,03:16,16:44,Goal,Snap Shot,-68.0,4.0,Matt Calvert,Scorer,Colorado Avalanche,Matt Nieto,Assist,Colorado Avalanche,Ian Cole,Assist,Colorado Avalanche,Matt Murray,Goalie,Pittsburgh Penguins
2019-10-16T23:17:03Z,1,03:16,16:44,Faceoff,n/a,0.0,0.0,Teddy Blueger,Winner,Pittsburgh Penguins,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
