Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-16T02:07:27Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Johansen,Winner,Nashville Predators,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:08:04Z,1,00:16,19:44,Blocked Shot,n/a,75.0,1.0,Jon Merrill,Blocker,Vegas Golden Knights,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:08:16Z,1,00:27,19:33,Missed Shot,n/a,40.0,35.0,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:08:33Z,1,00:31,19:29,Faceoff,n/a,-20.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Mikael Granlund,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:09:40Z,1,01:13,18:47,Faceoff,n/a,-20.0,-22.0,Cody Eakin,Winner,Vegas Golden Knights,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:10:34Z,1,02:00,18:00,Shot,Tip-In,-30.0,3.0,Cody Eakin,Shooter,Vegas Golden Knights,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:10:38Z,1,02:05,17:55,Hit,n/a,-67.0,39.0,Cody Eakin,Hitter,Vegas Golden Knights,Ryan Ellis,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:10:44Z,1,02:10,17:50,Missed Shot,n/a,81.0,24.0,Rocco Grimaldi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:10:54Z,1,02:14,17:46,Goal,Tip-In,70.0,-6.0,Kyle Turris,Scorer,Nashville Predators,Ryan Ellis,Assist,Nashville Predators,Rocco Grimaldi,Assist,Nashville Predators,Marc-Andre Fleury,Goalie,Vegas Golden Knights
2019-10-16T02:11:34Z,1,02:14,17:46,Faceoff,n/a,0.0,0.0,Tomas Nosek,Winner,Vegas Golden Knights,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:12:14Z,1,02:54,17:06,Hit,n/a,60.0,40.0,William Carrier,Hitter,Vegas Golden Knights,Mattias Ekholm,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:12:22Z,1,03:01,16:59,Shot,Slap Shot,40.0,-24.0,Ryan Johansen,Shooter,Nashville Predators,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:12:38Z,1,03:19,16:41,Giveaway,n/a,-90.0,29.0,Jonathan Marchessault,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:12:58Z,1,03:34,16:26,Penalty,Tripping,86.0,-15.0,Brayden McNabb,PenaltyOn,Vegas Golden Knights,Craig Smith,DrewBy,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:13:28Z,1,03:34,16:26,Faceoff,n/a,69.0,22.0,Matt Duchene,Winner,Nashville Predators,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:13:39Z,1,03:42,16:18,Blocked Shot,n/a,60.0,-9.0,Nick Holden,Blocker,Vegas Golden Knights,Ryan Johansen,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:13:46Z,1,03:49,16:11,Shot,Snap Shot,60.0,20.0,Filip Forsberg,Shooter,Nashville Predators,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:14:10Z,1,04:00,16:00,Faceoff,n/a,20.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-16T02:15:21Z,1,04:54,15:06,Blocked Shot,n/a,58.0,29.0,Shea Theodore,Blocker,Vegas Golden Knights,Mikael Granlund,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
