Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-18T00:07:04Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikko Koivu,Winner,Minnesota Wild,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:08:26Z,1,00:12,19:48,Hit,n/a,99.0,-9.0,Jason Zucker,Hitter,Minnesota Wild,Victor Mete,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:08:36Z,1,00:22,19:38,Blocked Shot,n/a,-81.0,-3.0,Jonas Brodin,Blocker,Minnesota Wild,Brendan Gallagher,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:08:48Z,1,00:33,19:27,Shot,Wrist Shot,-89.0,30.0,Brendan Gallagher,Shooter,Montréal Canadiens,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:09:01Z,1,00:34,19:26,Blocked Shot,n/a,-59.0,3.0,Jason Zucker,Blocker,Minnesota Wild,Shea Weber,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:09:16Z,1,00:37,19:23,Faceoff,n/a,20.0,22.0,Max Domi,Winner,Montréal Canadiens,Eric Staal,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:10:01Z,1,01:13,18:47,Takeaway,n/a,26.0,21.0,Jeff Petry,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:10:04Z,1,01:24,18:36,Shot,Wrist Shot,-62.0,-28.0,Jonathan Drouin,Shooter,Montréal Canadiens,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:10:16Z,1,01:25,18:35,Faceoff,n/a,-69.0,-22.0,Joel Eriksson Ek,Winner,Minnesota Wild,Jesperi Kotkaniemi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:10:54Z,1,01:40,18:20,Hit,n/a,-35.0,42.0,Jesperi Kotkaniemi,Hitter,Montréal Canadiens,Joel Eriksson Ek,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:10:49Z,1,01:50,18:10,Missed Shot,n/a,-12.0,-3.0,Cale Fleury,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:11:16Z,1,02:13,17:47,Shot,Wrist Shot,-21.0,28.0,Gerald Mayhew,Shooter,Minnesota Wild,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:11:26Z,1,02:30,17:30,Shot,Wrist Shot,54.0,-22.0,Gerald Mayhew,Shooter,Minnesota Wild,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:11:59Z,1,03:00,17:00,Shot,Slap Shot,-31.0,2.0,Jeff Petry,Shooter,Montréal Canadiens,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:12:33Z,1,03:17,16:43,Penalty,Hi-sticking,-29.0,23.0,Zach Parise,PenaltyOn,Minnesota Wild,Brendan Gallagher,DrewBy,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:13:28Z,1,03:17,16:43,Faceoff,n/a,-69.0,-22.0,Nick Suzuki,Winner,Montréal Canadiens,Luke Kunin,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:14:17Z,1,03:59,16:01,Faceoff,n/a,-20.0,-22.0,Ryan Hartman,Winner,Minnesota Wild,Jesperi Kotkaniemi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:14:20Z,1,04:04,15:56,Shot,Wrist Shot,-65.0,-19.0,Brendan Gallagher,Shooter,Montréal Canadiens,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:14:24Z,1,04:08,15:52,Takeaway,n/a,-99.0,-9.0,Matt Dumba,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:14:42Z,1,04:25,15:35,Giveaway,n/a,-28.0,35.0,Jonas Brodin,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:14:54Z,1,04:39,15:21,Missed Shot,n/a,31.0,27.0,Jordan Greenway,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:15:07Z,1,04:50,15:10,Takeaway,n/a,6.0,30.0,Luke Kunin,PlayerID,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:15:22Z,1,05:07,14:53,Shot,Backhand,-69.0,38.0,Artturi Lehkonen,Shooter,Montréal Canadiens,Alex Stalock,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-17T23:16:04Z,1,05:48,14:12,Hit,n/a,69.0,42.0,Cale Fleury,Hitter,Montréal Canadiens,Nick Seeler,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
