Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-19T23:17:38Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:18:43Z,1,00:15,19:45,Faceoff,n/a,20.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:19:02Z,1,00:23,19:37,Hit,n/a,72.0,-41.0,David Pastrnak,Hitter,Boston Bruins,Morgan Rielly,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:19:07Z,1,00:28,19:32,Giveaway,n/a,92.0,-23.0,David Pastrnak,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:19:28Z,1,00:49,19:11,Hit,n/a,-97.0,-14.0,Charlie McAvoy,Hitter,Boston Bruins,Auston Matthews,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:19:38Z,1,00:59,19:01,Shot,Wrist Shot,34.0,-34.0,Karson Kuhlman,Shooter,Boston Bruins,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:19:46Z,1,01:07,18:53,Shot,Wrist Shot,66.0,26.0,Karson Kuhlman,Shooter,Boston Bruins,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:19:54Z,1,01:15,18:45,Shot,Wrist Shot,31.0,23.0,Torey Krug,Shooter,Boston Bruins,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:20:01Z,1,01:22,18:38,Shot,Wrist Shot,33.0,-27.0,Karson Kuhlman,Shooter,Boston Bruins,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:20:22Z,1,01:43,18:17,Hit,n/a,-95.0,-14.0,Trevor Moore,Hitter,Toronto Maple Leafs,Matt Grzelcyk,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:20:37Z,1,01:58,18:02,Hit,n/a,-45.0,-40.0,Matt Grzelcyk,Hitter,Boston Bruins,Kasperi Kapanen,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:21:11Z,1,02:06,17:54,Faceoff,n/a,0.0,0.0,Sean Kuraly,Winner,Boston Bruins,Nicholas Shore,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:21:25Z,1,02:15,17:45,Hit,n/a,75.0,-38.0,Jake Muzzin,Hitter,Toronto Maple Leafs,David Backes,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-19T23:21:43Z,1,02:33,17:27,Hit,n/a,-96.0,-2.0,Dmytro Timashov,Hitter,Toronto Maple Leafs,Connor Clifton,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
