Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-20T23:07:45Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Kirby Dach,Winner,Chicago Blackhawks,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:08:50Z,1,00:12,19:48,Hit,n/a,-97.0,10.0,Jonas Siegenthaler,Hitter,Washington Capitals,Kirby Dach,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:08:58Z,1,00:17,19:43,Hit,n/a,-82.0,35.0,Nicklas Backstrom,Hitter,Washington Capitals,Patrick Kane,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:09:02Z,1,00:24,19:36,Shot,Wrist Shot,28.0,30.0,Nicklas Backstrom,Shooter,Washington Capitals,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:09:17Z,1,00:39,19:21,Hit,n/a,-9.0,-30.0,T.J. Oshie,Hitter,Washington Capitals,Dylan Strome,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:09:43Z,1,01:06,18:54,Hit,n/a,88.0,19.0,Tom Wilson,Hitter,Washington Capitals,Olli Maatta,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:09:53Z,1,01:15,18:45,Missed Shot,n/a,-49.0,-29.0,Jonathan Toews,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:10:20Z,1,01:42,18:18,Giveaway,n/a,-96.0,2.0,Braden Holtby,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:10:27Z,1,01:49,18:11,Blocked Shot,n/a,-58.0,-6.0,David Kampf,Blocker,Chicago Blackhawks,Garnet Hathaway,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:10:55Z,1,02:18,17:42,Hit,n/a,-73.0,-38.0,Nic Dowd,Hitter,Washington Capitals,Ryan Carpenter,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:10:57Z,1,02:19,17:41,Shot,Wrist Shot,-54.0,5.0,Brent Seabrook,Shooter,Chicago Blackhawks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:11:26Z,1,02:19,17:41,Faceoff,n/a,-69.0,22.0,Nicklas Backstrom,Winner,Washington Capitals,Dylan Strome,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:11:49Z,1,02:29,17:31,Takeaway,n/a,-32.0,26.0,Dylan Strome,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:12:05Z,1,02:31,17:29,Faceoff,n/a,-69.0,22.0,Nicklas Backstrom,Winner,Washington Capitals,Kirby Dach,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:13:11Z,1,03:30,16:30,Missed Shot,n/a,-76.0,4.0,Andrew Shaw,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:13:22Z,1,03:37,16:23,Blocked Shot,n/a,-75.0,-7.0,Tom Wilson,Blocker,Washington Capitals,Olli Maatta,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:13:32Z,1,03:37,16:23,Shot,Wrist Shot,-37.0,10.0,Brent Seabrook,Shooter,Chicago Blackhawks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:22:14Z,1,03:37,16:23,Faceoff,n/a,-69.0,22.0,David Kampf,Winner,Chicago Blackhawks,Jakub Vrana,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:14:12Z,1,03:45,16:15,Shot,Wrist Shot,68.0,-29.0,Garnet Hathaway,Shooter,Washington Capitals,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:14:28Z,1,03:45,16:15,Faceoff,n/a,69.0,-22.0,David Kampf,Winner,Chicago Blackhawks,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:14:45Z,1,03:54,16:06,Hit,n/a,-18.0,37.0,Radko Gudas,Hitter,Washington Capitals,Brandon Saad,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:14:51Z,1,04:00,16:00,Shot,Wrist Shot,-73.0,-27.0,Brandon Saad,Shooter,Chicago Blackhawks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:15:01Z,1,04:10,15:50,Blocked Shot,n/a,-84.0,8.0,Michal Kempny,Blocker,Washington Capitals,Erik Gustafsson,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:15:03Z,1,04:12,15:48,Hit,n/a,-70.0,-33.0,Dominik Kubalik,Hitter,Chicago Blackhawks,Garnet Hathaway,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:15:22Z,1,04:15,15:45,Faceoff,n/a,-69.0,-22.0,Dylan Strome,Winner,Chicago Blackhawks,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:15:44Z,1,04:28,15:32,Hit,n/a,47.0,37.0,Patrick Kane,Hitter,Chicago Blackhawks,Jakub Vrana,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:16:00Z,1,04:42,15:18,Shot,Backhand,-74.0,7.0,Patrick Kane,Shooter,Chicago Blackhawks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:16:21Z,1,04:42,15:18,Faceoff,n/a,-69.0,22.0,Ryan Carpenter,Winner,Chicago Blackhawks,Nic Dowd,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:16:51Z,1,05:00,15:00,Shot,Wrist Shot,56.0,6.0,Brendan Leipsic,Shooter,Washington Capitals,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:17:11Z,1,05:00,15:00,Faceoff,n/a,69.0,22.0,Ryan Carpenter,Winner,Chicago Blackhawks,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:18:03Z,1,05:39,14:21,Shot,Wrist Shot,-60.0,-4.0,Alex DeBrincat,Shooter,Chicago Blackhawks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:18:10Z,1,05:47,14:13,Shot,Wrist Shot,28.0,31.0,Alex Ovechkin,Shooter,Washington Capitals,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:18:44Z,1,06:20,13:40,Shot,Snap Shot,54.0,-14.0,Nic Dowd,Shooter,Washington Capitals,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:19:12Z,1,06:49,13:11,Giveaway,n/a,98.0,4.0,Corey Crawford,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:19:22Z,1,06:51,13:09,Hit,n/a,65.0,38.0,Brent Seabrook,Hitter,Chicago Blackhawks,Tom Wilson,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:19:37Z,1,07:13,12:47,Blocked Shot,n/a,48.0,-26.0,David Kampf,Blocker,Chicago Blackhawks,Nick Jensen,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:20:16Z,1,07:53,12:07,Hit,n/a,-91.0,30.0,Garnet Hathaway,Hitter,Washington Capitals,Kirby Dach,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:20:44Z,1,08:21,11:39,Takeaway,n/a,30.0,30.0,Connor Murphy,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:20:52Z,1,08:29,11:31,Shot,Wrist Shot,-5.0,-29.0,Radko Gudas,Shooter,Washington Capitals,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:21:22Z,1,08:58,11:02,Shot,Wrist Shot,-27.0,-25.0,Alex Nylander,Shooter,Chicago Blackhawks,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:23:28Z,1,08:58,11:02,Faceoff,n/a,-69.0,-22.0,Jonathan Toews,Winner,Chicago Blackhawks,Garnet Hathaway,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:24:15Z,1,09:17,10:43,Penalty,Holding,-92.0,-23.0,Andrew Shaw,PenaltyOn,Chicago Blackhawks,Nick Jensen,DrewBy,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:24:46Z,1,09:17,10:43,Faceoff,n/a,69.0,22.0,Ryan Carpenter,Winner,Chicago Blackhawks,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:25:20Z,1,09:22,10:38,Takeaway,n/a,95.0,16.0,Evgeny Kuznetsov,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:25:05Z,1,09:25,10:35,Goal,Snap Shot,76.0,3.0,T.J. Oshie,Scorer,Washington Capitals,Evgeny Kuznetsov,Assist,Washington Capitals,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a
2019-10-20T23:25:48Z,1,09:25,10:35,Faceoff,n/a,0.0,0.0,David Kampf,Winner,Chicago Blackhawks,Carl Hagelin,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:26:07Z,1,09:34,10:26,Giveaway,n/a,97.0,10.0,Olli Maatta,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:26:15Z,1,09:42,10:18,Hit,n/a,95.0,7.0,Carl Hagelin,Hitter,Washington Capitals,Olli Maatta,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:27:14Z,1,10:28,09:32,Hit,n/a,-97.0,-1.0,Jonas Siegenthaler,Hitter,Washington Capitals,David Kampf,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:27:21Z,1,10:47,09:13,Hit,n/a,94.0,-15.0,Tom Wilson,Hitter,Washington Capitals,Erik Gustafsson,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:27:24Z,1,10:51,09:09,Blocked Shot,n/a,79.0,-9.0,Calvin de Haan,Blocker,Chicago Blackhawks,Nic Dowd,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
