Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-20T23:09:57Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Riley Sheahan,Winner,Edmonton Oilers,Bryan Little,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:10:58Z,1,00:36,19:24,Missed Shot,n/a,-39.0,-23.0,Nikolaj Ehlers,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:11:46Z,1,01:24,18:36,Shot,Slap Shot,56.0,1.0,Ethan Bear,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:12:05Z,1,01:43,18:17,Blocked Shot,n/a,-74.0,-3.0,Connor McDavid,Blocker,Edmonton Oilers,Ville Heinola,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:12:24Z,1,02:01,17:59,Giveaway,n/a,-77.0,39.0,Mike Smith,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:12:56Z,1,02:04,17:56,Faceoff,n/a,-69.0,22.0,David Gustafsson,Winner,Winnipeg Jets,Ryan Nugent-Hopkins,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:13:19Z,1,02:10,17:50,Hit,n/a,-80.0,-38.0,Gabriel Bourque,Hitter,Winnipeg Jets,Brandon Manning,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:13:22Z,1,02:27,17:33,Shot,Wrist Shot,68.0,-25.0,Ryan Nugent-Hopkins,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:13:45Z,1,02:28,17:32,Faceoff,n/a,69.0,-22.0,Markus Granlund,Winner,Edmonton Oilers,Mark Scheifele,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:14:03Z,1,02:35,17:25,Shot,Wrist Shot,82.0,-34.0,Patrick Russell,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:15:47Z,1,03:58,16:02,Faceoff,n/a,69.0,22.0,Riley Sheahan,Winner,Edmonton Oilers,Adam Lowry,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:16:09Z,1,04:08,15:52,Missed Shot,n/a,34.0,-25.0,Ethan Bear,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:16:10Z,1,04:12,15:48,Hit,n/a,63.0,40.0,Josh Archibald,Hitter,Edmonton Oilers,Adam Lowry,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:16:18Z,1,04:20,15:40,Hit,n/a,92.0,31.0,Jujhar Khaira,Hitter,Edmonton Oilers,Neal Pionk,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:16:44Z,1,04:46,15:14,Missed Shot,n/a,32.0,-22.0,Ethan Bear,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:17:14Z,1,05:12,14:48,Shot,Wrist Shot,51.0,-30.0,Matt Benning,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:17:39Z,1,05:13,14:47,Faceoff,n/a,69.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Alex Chiasson,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:18:16Z,1,05:31,14:29,Takeaway,n/a,40.0,35.0,Patrik Laine,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:18:31Z,1,05:48,14:12,Hit,n/a,97.0,19.0,Ryan Nugent-Hopkins,Hitter,Edmonton Oilers,Carl Dahlstrom,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:18:44Z,1,06:01,13:59,Giveaway,n/a,-44.0,37.0,Patrick Russell,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:19:45Z,1,07:01,12:59,Shot,Wrist Shot,70.0,-24.0,Ethan Bear,Shooter,Edmonton Oilers,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:20:16Z,1,07:31,12:29,Takeaway,n/a,43.0,-40.0,Kyle Connor,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:20:50Z,1,08:07,11:53,Shot,Slap Shot,-73.0,26.0,Bryan Little,Shooter,Winnipeg Jets,Mike Smith,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:21:01Z,1,08:18,11:42,Takeaway,n/a,-48.0,35.0,Nikolaj Ehlers,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:21:07Z,1,08:24,11:36,Missed Shot,n/a,-71.0,-14.0,Patrik Laine,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-20T23:21:34Z,1,08:51,11:09,Takeaway,n/a,-74.0,37.0,Blake Wheeler,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
