Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-21T23:08:07Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,William Karlsson,Winner,Vegas Golden Knights,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:10:13Z,1,01:19,18:41,Blocked Shot,n/a,-73.0,5.0,Max Pacioretty,Blocker,Vegas Golden Knights,Sean Couturier,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:10:42Z,1,01:50,18:10,Shot,Slap Shot,-35.0,-28.0,Robert Hagg,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:10:53Z,1,01:50,18:10,Faceoff,n/a,-69.0,-22.0,Cody Eakin,Winner,Vegas Golden Knights,Kevin Hayes,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:11:24Z,1,02:12,17:48,Hit,n/a,-88.0,31.0,Kevin Hayes,Hitter,Philadelphia Flyers,Jake Bischoff,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:11:42Z,1,02:15,17:45,Faceoff,n/a,-69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:12:09Z,1,02:30,17:30,Blocked Shot,n/a,-58.0,-30.0,Jake Bischoff,Blocker,Vegas Golden Knights,Jakub Voracek,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:12:19Z,1,02:36,17:24,Blocked Shot,n/a,-57.0,-2.0,Ryan Reaves,Blocker,Vegas Golden Knights,James van Riemsdyk,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:12:36Z,1,02:46,17:14,Penalty,Cross checking,-82.0,2.0,Jake Bischoff,PenaltyOn,Vegas Golden Knights,Claude Giroux,DrewBy,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:13:02Z,1,02:46,17:14,Faceoff,n/a,-69.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:13:11Z,1,02:52,17:08,Hit,n/a,-70.0,-40.0,Joel Farabee,Hitter,Philadelphia Flyers,William Karlsson,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:13:42Z,1,03:26,16:34,Shot,Wrist Shot,-47.0,26.0,James van Riemsdyk,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:14:04Z,1,03:27,16:33,Faceoff,n/a,-69.0,22.0,Sean Couturier,Winner,Philadelphia Flyers,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:14:14Z,1,03:34,16:26,Shot,Wrist Shot,-57.0,-17.0,Matt Niskanen,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:14:56Z,1,04:15,15:45,Goal,Wrist Shot,-65.0,13.0,Travis Konecny,Scorer,Philadelphia Flyers,Oskar Lindblom,Assist,Philadelphia Flyers,Shayne Gostisbehere,Assist,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights
2019-10-21T23:15:42Z,1,04:15,15:45,Faceoff,n/a,0.0,0.0,Kevin Hayes,Winner,Philadelphia Flyers,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:15:49Z,1,04:26,15:34,Hit,n/a,-97.0,25.0,Scott Laughton,Hitter,Philadelphia Flyers,Mark Stone,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:16:09Z,1,04:47,15:13,Hit,n/a,97.0,15.0,Justin Braun,Hitter,Philadelphia Flyers,Max Pacioretty,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:16:24Z,1,05:01,14:59,Hit,n/a,-99.0,-11.0,Jake Bischoff,Hitter,Vegas Golden Knights,Kevin Hayes,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:16:58Z,1,05:37,14:23,Hit,n/a,-25.0,-32.0,William Carrier,Hitter,Vegas Golden Knights,Robert Hagg,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:17:52Z,1,06:30,13:30,Hit,n/a,88.0,33.0,Claude Giroux,Hitter,Philadelphia Flyers,William Karlsson,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:18:08Z,1,06:46,13:14,Shot,Wrist Shot,-72.0,-31.0,James van Riemsdyk,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:20:01Z,1,06:46,13:14,Faceoff,n/a,-69.0,-22.0,Kevin Hayes,Winner,Philadelphia Flyers,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:21:16Z,1,07:38,12:22,Hit,n/a,59.0,-39.0,Scott Laughton,Hitter,Philadelphia Flyers,Cody Eakin,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:21:20Z,1,07:42,12:18,Shot,Wrist Shot,30.0,-28.0,Deryk Engelland,Shooter,Vegas Golden Knights,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:21:40Z,1,07:42,12:18,Faceoff,n/a,69.0,-22.0,Oskar Lindblom,Winner,Philadelphia Flyers,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:22:36Z,1,08:22,11:38,Blocked Shot,n/a,-60.0,17.0,Jake Bischoff,Blocker,Vegas Golden Knights,Travis Konecny,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:22:44Z,1,08:28,11:32,Giveaway,n/a,32.0,29.0,Justin Braun,PlayerID,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:22:59Z,1,08:30,11:30,Shot,Backhand,84.0,-12.0,Reilly Smith,Shooter,Vegas Golden Knights,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:23:12Z,1,08:32,11:28,Faceoff,n/a,69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:23:34Z,1,08:42,11:18,Shot,Wrist Shot,-53.0,23.0,Jakub Voracek,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:23:48Z,1,08:42,11:18,Faceoff,n/a,-69.0,22.0,Claude Giroux,Winner,Philadelphia Flyers,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:24:22Z,1,08:56,11:04,Shot,Wrist Shot,-81.0,-23.0,Travis Sanheim,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:24:45Z,1,09:02,10:58,Faceoff,n/a,-69.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Mikhail Vorobyev,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:24:55Z,1,09:07,10:53,Hit,n/a,-98.0,-2.0,Chris Stewart,Hitter,Philadelphia Flyers,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:25:09Z,1,09:14,10:46,Shot,Wrist Shot,-83.0,-11.0,Michael Raffl,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:25:07Z,1,09:18,10:42,Hit,n/a,-49.0,39.0,Jonathan Marchessault,Hitter,Vegas Golden Knights,Mikhail Vorobyev,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:25:45Z,1,09:56,10:04,Hit,n/a,89.0,34.0,William Carrier,Hitter,Vegas Golden Knights,Mikhail Vorobyev,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:25:48Z,1,09:59,10:01,Blocked Shot,n/a,83.0,14.0,Robert Hagg,Blocker,Philadelphia Flyers,Tomas Nosek,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:25:58Z,1,10:00,10:00,Penalty,Interference,96.0,-8.0,Ryan Reaves,PenaltyOn,Vegas Golden Knights,Shayne Gostisbehere,DrewBy,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:26:33Z,1,10:00,10:00,Faceoff,n/a,-69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:26:58Z,1,10:08,09:52,Faceoff,n/a,-69.0,22.0,Cody Eakin,Winner,Vegas Golden Knights,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:27:14Z,1,10:16,09:44,Shot,Wrist Shot,-66.0,-29.0,Deryk Engelland,Shooter,Vegas Golden Knights,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:27:41Z,1,10:44,09:16,Shot,Wrist Shot,-39.0,16.0,Claude Giroux,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:28:00Z,1,10:44,09:16,Faceoff,n/a,-69.0,22.0,Sean Couturier,Winner,Philadelphia Flyers,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:29:34Z,1,12:09,07:51,Shot,Wrist Shot,-56.0,-36.0,Travis Sanheim,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:29:41Z,1,12:16,07:44,Takeaway,n/a,-96.0,13.0,Cody Glass,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:29:48Z,1,12:23,07:37,Shot,Wrist Shot,68.0,-13.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:29:51Z,1,12:26,07:34,Hit,n/a,98.0,16.0,Cody Glass,Hitter,Vegas Golden Knights,Justin Braun,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:30:31Z,1,13:05,06:55,Shot,Wrist Shot,-20.0,-30.0,Mikhail Vorobyev,Shooter,Philadelphia Flyers,Oscar Dansk,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:32:19Z,1,13:05,06:55,Faceoff,n/a,-69.0,-22.0,Cody Eakin,Winner,Vegas Golden Knights,Mikhail Vorobyev,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
