Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-21T23:07:04Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nick Foligno,Winner,Columbus Blue Jackets,Auston Matthews,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:08:22Z,1,00:15,19:45,Faceoff,n/a,-69.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,Cam Atkinson,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:08:49Z,1,00:27,19:33,Hit,n/a,-78.0,40.0,Seth Jones,Hitter,Columbus Blue Jackets,Auston Matthews,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:09:01Z,1,00:39,19:21,Hit,n/a,-90.0,35.0,Zach Werenski,Hitter,Columbus Blue Jackets,Andreas Johnsson,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:09:22Z,1,01:00,19:00,Hit,n/a,-98.0,-17.0,Markus Nutivaara,Hitter,Columbus Blue Jackets,Ilya Mikheyev,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:09:47Z,1,01:24,18:36,Shot,Wrist Shot,-34.0,37.0,Tyson Barrie,Shooter,Toronto Maple Leafs,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:09:47Z,1,01:24,18:36,Hit,n/a,-38.0,-35.0,Ilya Mikheyev,Hitter,Toronto Maple Leafs,Oliver Bjorkstrand,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:09:57Z,1,01:34,18:26,Missed Shot,n/a,74.0,9.0,Ryan Murray,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:10:37Z,1,01:42,18:18,Faceoff,n/a,-69.0,22.0,Jason Spezza,Winner,Toronto Maple Leafs,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-21T23:10:44Z,1,01:55,18:05,Blocked Shot,n/a,-78.0,-3.0,Boone Jenner,Blocker,Columbus Blue Jackets,Morgan Rielly,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
