Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-22T23:07:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brad Richardson,Winner,Arizona Coyotes,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:08:12Z,1,00:06,19:54,Faceoff,n/a,0.0,0.0,Mika Zibanejad,Winner,New York Rangers,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:08:51Z,1,00:30,19:30,Takeaway,n/a,97.0,3.0,Michael Grabner,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:08:57Z,1,00:36,19:24,Missed Shot,n/a,37.0,-27.0,Jason Demers,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:10:10Z,1,01:49,18:11,Hit,n/a,-33.0,-40.0,Nick Schmaltz,Hitter,Arizona Coyotes,Marc Staal,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:10:23Z,1,02:02,17:58,Blocked Shot,n/a,-67.0,-13.0,Nick Schmaltz,Blocker,Arizona Coyotes,Marc Staal,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:11:03Z,1,02:39,17:21,Blocked Shot,n/a,57.0,0.0,Brett Howden,Blocker,New York Rangers,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:11:10Z,1,02:39,17:21,Penalty,Holding the stick,95.0,-24.0,Adam Fox,PenaltyOn,New York Rangers,Christian Fischer,DrewBy,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:11:34Z,1,02:39,17:21,Faceoff,n/a,69.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:11:49Z,1,02:52,17:08,Giveaway,n/a,46.0,-37.0,Clayton Keller,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:13:02Z,1,04:05,15:55,Blocked Shot,n/a,65.0,7.0,Jacob Trouba,Blocker,New York Rangers,Carl Soderberg,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:13:28Z,1,04:30,15:30,Shot,Slap Shot,42.0,39.0,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:13:44Z,1,04:31,15:29,Faceoff,n/a,69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:14:18Z,1,04:56,15:04,Shot,Wrist Shot,-61.0,-2.0,Chris Kreider,Shooter,New York Rangers,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:14:45Z,1,04:56,15:04,Faceoff,n/a,-69.0,-22.0,Ryan Strome,Winner,New York Rangers,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:15:07Z,1,05:09,14:51,Blocked Shot,n/a,-70.0,-13.0,Ilya Lyubushkin,Blocker,Arizona Coyotes,Ryan Strome,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:15:24Z,1,05:25,14:35,Giveaway,n/a,-72.0,38.0,Kyle Capobianco,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:15:29Z,1,05:26,14:34,Shot,Slap Shot,-80.0,8.0,Ryan Strome,Shooter,New York Rangers,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:15:48Z,1,05:37,14:23,Faceoff,n/a,-69.0,-22.0,Nick Schmaltz,Winner,Arizona Coyotes,Chris Kreider,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:17:06Z,1,06:17,13:43,Giveaway,n/a,-36.0,7.0,Kaapo Kakko,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:17:22Z,1,06:33,13:27,Takeaway,n/a,-3.0,-17.0,Clayton Keller,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:17:37Z,1,06:48,13:12,Missed Shot,n/a,72.0,5.0,Clayton Keller,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:17:38Z,1,06:49,13:11,Hit,n/a,94.0,-28.0,Mika Zibanejad,Hitter,New York Rangers,Derek Stepan,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:17:45Z,1,06:56,13:04,Shot,Wrist Shot,72.0,15.0,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:18:22Z,1,07:33,12:27,Hit,n/a,61.0,-39.0,Libor Hajek,Hitter,New York Rangers,Vinnie Hinostroza,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:18:54Z,1,08:05,11:55,Hit,n/a,76.0,39.0,Christian Fischer,Hitter,Arizona Coyotes,Lias Andersson,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:19:00Z,1,08:05,11:55,Shot,Snap Shot,69.0,32.0,Lawson Crouse,Shooter,Arizona Coyotes,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:19:56Z,1,08:07,11:53,Shot,Wrist Shot,82.0,2.0,Christian Fischer,Shooter,Arizona Coyotes,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:21:18Z,1,08:08,11:52,Faceoff,n/a,69.0,22.0,Ryan Strome,Winner,New York Rangers,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:21:52Z,1,08:31,11:29,Hit,n/a,-94.0,-26.0,Chris Kreider,Hitter,New York Rangers,Oliver Ekman-Larsson,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:22:00Z,1,08:39,11:21,Blocked Shot,n/a,78.0,4.0,Jacob Trouba,Blocker,New York Rangers,Conor Garland,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:22:12Z,1,08:51,11:09,Giveaway,n/a,-39.0,-8.0,Jakob Chychrun,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:22:31Z,1,09:09,10:51,Shot,Wrist Shot,75.0,-26.0,Derek Stepan,Shooter,Arizona Coyotes,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-22T23:22:46Z,1,09:10,10:50,Shot,Backhand,80.0,0.0,Clayton Keller,Shooter,Arizona Coyotes,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
