Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-24T23:07:20Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jack Eichel,Winner,Buffalo Sabres,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:08:01Z,1,00:09,19:51,Hit,n/a,-96.0,14.0,Kaapo Kakko,Hitter,New York Rangers,Jake McCabe,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:08:12Z,1,00:20,19:40,Giveaway,n/a,86.0,-17.0,Libor Hajek,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:08:37Z,1,00:30,19:30,Faceoff,n/a,-69.0,22.0,Jack Eichel,Winner,Buffalo Sabres,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:09:13Z,1,00:37,19:23,Faceoff,n/a,-20.0,-22.0,Ryan Strome,Winner,New York Rangers,Marcus Johansson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:09:43Z,1,01:04,18:56,Hit,n/a,-72.0,-39.0,Ryan Strome,Hitter,New York Rangers,Vladimir Sobotka,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:10:08Z,1,01:09,18:51,Faceoff,n/a,20.0,22.0,Casey Mittelstadt,Winner,Buffalo Sabres,Brett Howden,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:10:22Z,1,01:20,18:40,Giveaway,n/a,77.0,39.0,Jacob Trouba,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:10:28Z,1,01:26,18:34,Blocked Shot,n/a,50.0,-6.0,Brendan Lemieux,Blocker,New York Rangers,Colin Miller,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:11:04Z,1,01:54,18:06,Penalty,Too many men on the ice,-16.0,40.0,Artemi Panarin,PenaltyOn,Buffalo Sabres,Conor Sheary,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:11:20Z,1,01:54,18:06,Faceoff,n/a,-69.0,22.0,Mika Zibanejad,Winner,New York Rangers,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:11:41Z,1,02:02,17:58,Shot,Slap Shot,-60.0,22.0,Pavel Buchnevich,Shooter,New York Rangers,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:11:53Z,1,02:02,17:58,Faceoff,n/a,-69.0,22.0,Johan Larsson,Winner,Buffalo Sabres,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:12:36Z,1,02:40,17:20,Missed Shot,n/a,-64.0,22.0,Pavel Buchnevich,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:12:50Z,1,02:40,17:20,Faceoff,n/a,-69.0,22.0,Vladimir Sobotka,Winner,Buffalo Sabres,Mika Zibanejad,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-24T23:13:10Z,1,02:45,17:15,Hit,n/a,-86.0,35.0,Jake McCabe,Hitter,Buffalo Sabres,Pavel Buchnevich,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
