Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-25T00:37:54Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Tyler Seguin,Winner,Dallas Stars,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:39:14Z,1,00:20,19:40,Faceoff,n/a,-69.0,22.0,Tyler Seguin,Winner,Dallas Stars,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:39:41Z,1,00:28,19:32,Hit,n/a,-98.0,-8.0,Tyler Seguin,Hitter,Dallas Stars,Josh Manson,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:40:12Z,1,01:02,18:58,Hit,n/a,-59.0,41.0,Jamie Benn,Hitter,Dallas Stars,Sam Steel,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:40:38Z,1,01:28,18:32,Giveaway,n/a,9.0,-34.0,Esa Lindell,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:41:08Z,1,01:57,18:03,Giveaway,n/a,42.0,40.0,Alexander Radulov,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:41:19Z,1,02:09,17:51,Takeaway,n/a,78.0,39.0,Ondrej Kase,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:41:19Z,1,02:09,17:51,Shot,Snap Shot,45.0,35.0,Ondrej Kase,Shooter,Anaheim Ducks,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:41:37Z,1,02:21,17:39,Hit,n/a,47.0,-39.0,Ryan Getzlaf,Hitter,Anaheim Ducks,Jamie Oleksiak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:41:49Z,1,02:39,17:21,Hit,n/a,16.0,41.0,Andrew Cogliano,Hitter,Dallas Stars,Jacob Larsson,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:41:53Z,1,02:42,17:18,Goal,Backhand,-82.0,8.0,Denis Gurianov,Scorer,Dallas Stars,Andrew Cogliano,Assist,Dallas Stars,John Gibson,Goalie,Anaheim Ducks,n/a,n/a,n/a
2019-10-25T00:42:36Z,1,02:42,17:18,Faceoff,n/a,0.0,0.0,Adam Henrique,Winner,Anaheim Ducks,Tyler Seguin,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:43:25Z,1,03:09,16:51,Faceoff,n/a,69.0,22.0,Tyler Seguin,Winner,Dallas Stars,Max Comtois,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:44:16Z,1,03:28,16:32,Faceoff,n/a,-69.0,-22.0,Sam Steel,Winner,Anaheim Ducks,Roope Hintz,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:44:48Z,1,03:41,16:19,Hit,n/a,96.0,26.0,Taylor Fedun,Hitter,Dallas Stars,Max Comtois,Hittee,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:45:16Z,1,03:57,16:03,Faceoff,n/a,69.0,-22.0,Ryan Getzlaf,Winner,Anaheim Ducks,Roope Hintz,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:45:30Z,1,04:03,15:57,Shot,Wrist Shot,42.0,-24.0,Nick Ritchie,Shooter,Anaheim Ducks,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:45:45Z,1,04:17,15:43,Giveaway,n/a,60.0,40.0,Ryan Getzlaf,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:46:12Z,1,04:45,15:15,Missed Shot,n/a,35.0,-25.0,Korbinian Holzer,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:46:19Z,1,04:48,15:12,Missed Shot,n/a,66.0,7.0,Max Jones,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T00:46:28Z,1,05:01,14:59,Blocked Shot,n/a,-73.0,-3.0,Korbinian Holzer,Blocker,Anaheim Ducks,Radek Faksa,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
