Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-25T22:08:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:08:38Z,1,00:13,19:47,Shot,Wrist Shot,47.0,-30.0,Pierre-Edouard Bellemare,Shooter,Colorado Avalanche,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:08:46Z,1,00:22,19:38,Missed Shot,n/a,53.0,38.0,Matt Nieto,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:08:54Z,1,00:26,19:34,Giveaway,n/a,49.0,-37.0,Mark Stone,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:08:55Z,1,00:28,19:32,Goal,Snap Shot,64.0,8.0,Pierre-Edouard Bellemare,Scorer,Colorado Avalanche,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:09:28Z,1,00:28,19:32,Faceoff,n/a,0.0,0.0,William Karlsson,Winner,Vegas Golden Knights,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:09:50Z,1,00:39,19:21,Faceoff,n/a,69.0,22.0,Gabriel Landeskog,Winner,Colorado Avalanche,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:10:11Z,1,00:43,19:17,Shot,Snap Shot,68.0,-11.0,Cale Makar,Shooter,Colorado Avalanche,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:10:16Z,1,00:44,19:16,Faceoff,n/a,69.0,-22.0,J.T. Compher,Winner,Colorado Avalanche,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:10:38Z,1,00:50,19:10,Blocked Shot,n/a,56.0,-20.0,Brayden McNabb,Blocker,Vegas Golden Knights,Gabriel Landeskog,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:10:47Z,1,01:00,19:00,Shot,Slap Shot,35.0,30.0,Ian Cole,Shooter,Colorado Avalanche,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:11:08Z,1,01:22,18:38,Hit,n/a,31.0,-40.0,Brayden McNabb,Hitter,Vegas Golden Knights,Tyson Jost,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-25T22:11:10Z,1,01:22,18:38,Shot,Wrist Shot,41.0,-28.0,Tyson Jost,Shooter,Colorado Avalanche,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
