Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-26T23:10:46Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Patrice Bergeron,Winner,Boston Bruins,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:13Z,1,00:09,19:51,Shot,Wrist Shot,46.0,-30.0,Patrice Bergeron,Shooter,Boston Bruins,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:17Z,1,00:09,19:51,Faceoff,n/a,69.0,-22.0,Patrice Bergeron,Winner,Boston Bruins,Brayden Schenn,Loser,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:40Z,1,00:20,19:40,Shot,Wrist Shot,33.0,-31.0,Charlie McAvoy,Shooter,Boston Bruins,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:44Z,1,00:24,19:36,Shot,Wrist Shot,85.0,-8.0,Patrice Bergeron,Shooter,Boston Bruins,Jordan Binnington,Goalie,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:12:01Z,1,00:32,19:28,Hit,n/a,29.0,38.0,Zdeno Chara,Hitter,Boston Bruins,Oskar Sundqvist,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:25Z,1,00:38,19:22,Faceoff,n/a,20.0,-22.0,Ryan O'Reilly,Winner,St. Louis Blues,Charlie Coyle,Loser,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:25Z,1,00:38,19:22,Penalty,Roughing,30.0,39.0,Brayden Schenn,PenaltyOn,St. Louis Blues,Zdeno Chara,DrewBy,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:25Z,1,00:38,19:22,Penalty,Roughing,23.0,41.0,Zdeno Chara,PenaltyOn,Boston Bruins,Brayden Schenn,DrewBy,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:58Z,1,01:24,18:36,Hit,n/a,-39.0,35.0,Charlie Coyle,Hitter,Boston Bruins,David Perron,Hittee,St. Louis Blues,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:14:04Z,1,01:30,18:30,Giveaway,n/a,90.0,9.0,David Pastrnak,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:14:11Z,1,01:37,18:23,Takeaway,n/a,-37.0,-23.0,Charlie McAvoy,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:14:47Z,1,02:09,17:51,Hit,n/a,35.0,38.0,Ivan Barbashev,Hitter,St. Louis Blues,Charlie McAvoy,Hittee,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:15Z,1,02:41,17:19,Giveaway,n/a,28.0,-26.0,Patrice Bergeron,PlayerID,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:53Z,1,03:17,16:43,Blocked Shot,n/a,58.0,-5.0,Vince Dunn,Blocker,St. Louis Blues,Joakim Nordstrom,Shooter,Boston Bruins,n/a,n/a,n/a,n/a,n/a,n/a
