Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-26T23:11:32Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Johansen,Winner,Nashville Predators,Anthony Cirelli,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:09:23Z,1,00:15,19:45,Takeaway,n/a,-14.0,7.0,Ryan Johansen,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:09:14Z,1,00:19,19:41,Giveaway,n/a,-10.0,10.0,Ryan McDonagh,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:09:17Z,1,00:21,19:39,Missed Shot,n/a,-63.0,-20.0,Calle Jarnkrok,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:09:40Z,1,00:36,19:24,Hit,n/a,85.0,31.0,Ryan Ellis,Hitter,Nashville Predators,Yanni Gourde,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:09:49Z,1,00:51,19:09,Shot,Wrist Shot,-48.0,11.0,Colton Sissons,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:32Z,1,00:52,19:08,Faceoff,n/a,-69.0,22.0,Cedric Paquette,Winner,Tampa Bay Lightning,Kyle Turris,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:10:52Z,1,01:26,18:34,Hit,n/a,40.0,36.0,Matt Irwin,Hitter,Nashville Predators,Brayden Point,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:03Z,1,01:35,18:25,Missed Shot,n/a,71.0,9.0,Brayden Point,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:11Z,1,01:45,18:15,Hit,n/a,44.0,-31.0,Dan Hamhuis,Hitter,Nashville Predators,Brayden Point,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:13Z,1,01:46,18:14,Shot,Slap Shot,47.0,14.0,Victor Hedman,Shooter,Tampa Bay Lightning,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:36Z,1,02:10,17:50,Giveaway,n/a,36.0,-30.0,Victor Hedman,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:47Z,1,02:20,17:40,Hit,n/a,47.0,-29.0,Matt Irwin,Hitter,Nashville Predators,Mathieu Joseph,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:11:54Z,1,02:26,17:34,Shot,Wrist Shot,-60.0,-21.0,Mattias Ekholm,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:12:15Z,1,02:27,17:33,Faceoff,n/a,-69.0,-22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:12:42Z,1,02:51,17:09,Giveaway,n/a,-49.0,-35.0,Mikhail Sergachev,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:12:44Z,1,02:51,17:09,Missed Shot,n/a,-71.0,-12.0,Mattias Ekholm,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:12:59Z,1,03:06,16:54,Shot,Wrist Shot,61.0,14.0,Yanni Gourde,Shooter,Tampa Bay Lightning,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:04Z,1,03:13,16:47,Hit,n/a,35.0,-3.0,Alex Killorn,Hitter,Tampa Bay Lightning,Ryan Johansen,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:14Z,1,03:19,16:41,Missed Shot,n/a,46.0,-13.0,Ryan McDonagh,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:14Z,1,03:19,16:41,Takeaway,n/a,-48.0,7.0,Ryan McDonagh,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:13:43Z,1,03:47,16:13,Shot,Wrist Shot,-65.0,-13.0,Nick Bonino,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:14:06Z,1,03:48,16:12,Faceoff,n/a,-69.0,-22.0,Mikael Granlund,Winner,Nashville Predators,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:14:24Z,1,03:59,16:01,Blocked Shot,n/a,-73.0,-13.0,Brayden Point,Blocker,Tampa Bay Lightning,Mattias Ekholm,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:14:28Z,1,04:00,16:00,Takeaway,n/a,-61.0,2.0,Ondrej Palat,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:14:45Z,1,04:19,15:41,Shot,Tip-In,79.0,3.0,Brayden Point,Shooter,Tampa Bay Lightning,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:04Z,1,04:38,15:22,Shot,Slap Shot,-42.0,-23.0,Dan Hamhuis,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:10Z,1,04:45,15:15,Giveaway,n/a,-36.0,-2.0,Braydon Coburn,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:13Z,1,04:54,15:06,Shot,Backhand,-72.0,-6.0,Austin Watson,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:26Z,1,05:00,15:00,Missed Shot,n/a,-38.0,1.0,Matt Irwin,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:45Z,1,05:20,14:40,Hit,n/a,90.0,-27.0,Matt Irwin,Hitter,Nashville Predators,Pat Maroon,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:15:55Z,1,05:27,14:33,Shot,Wrist Shot,-73.0,29.0,Craig Smith,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:16:10Z,1,05:28,14:32,Penalty,Holding,-38.0,30.0,Luke Witkowski,PenaltyOn,Tampa Bay Lightning,Miikka Salomaki,DrewBy,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:16:35Z,1,05:28,14:32,Faceoff,n/a,-69.0,-22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Mikael Granlund,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:17:03Z,1,05:53,14:07,Missed Shot,n/a,-35.0,16.0,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:18:06Z,1,06:56,13:04,Missed Shot,n/a,44.0,25.0,Mathieu Joseph,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:18:23Z,1,07:13,12:47,Shot,Slap Shot,-71.0,-23.0,Mattias Ekholm,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:18:35Z,1,07:25,12:35,Shot,Wrist Shot,61.0,-15.0,Steven Stamkos,Shooter,Tampa Bay Lightning,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:18:39Z,1,07:30,12:30,Takeaway,n/a,41.0,-16.0,Tyler Johnson,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:20:52Z,1,07:39,12:21,Faceoff,n/a,20.0,-22.0,Ryan Johansen,Winner,Nashville Predators,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:21:36Z,1,07:53,12:07,Faceoff,n/a,-69.0,22.0,Ryan Johansen,Winner,Nashville Predators,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:22:11Z,1,08:16,11:44,Shot,Wrist Shot,80.0,4.0,Brayden Point,Shooter,Tampa Bay Lightning,Juuse Saros,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:22:17Z,1,08:23,11:37,Takeaway,n/a,98.0,-2.0,Roman Josi,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:22:33Z,1,08:39,11:21,Takeaway,n/a,8.0,-32.0,Nick Bonino,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:22:39Z,1,08:43,11:17,Shot,Wrist Shot,-77.0,22.0,Craig Smith,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:23:01Z,1,09:05,10:55,Shot,Wrist Shot,-71.0,-20.0,Anthony Richard,Shooter,Nashville Predators,Curtis McElhinney,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-26T23:23:32Z,1,09:05,10:55,Faceoff,n/a,-69.0,-22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
