Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-27T00:07:33Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Tyler Seguin,Winner,Dallas Stars,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:09:03Z,1,00:24,19:36,Hit,n/a,-15.0,-26.0,Esa Lindell,Hitter,Dallas Stars,Dominik Simon,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:09:10Z,1,00:32,19:28,Hit,n/a,0.0,25.0,Jake Guentzel,Hitter,Pittsburgh Penguins,Andrej Sekera,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:10:05Z,1,01:27,18:33,Hit,n/a,93.0,-28.0,Patric Hornqvist,Hitter,Pittsburgh Penguins,Jamie Oleksiak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:10:22Z,1,01:44,18:16,Shot,Wrist Shot,-13.0,-29.0,John Marino,Shooter,Pittsburgh Penguins,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:10:53Z,1,01:45,18:15,Faceoff,n/a,69.0,-22.0,Sam Lafferty,Winner,Pittsburgh Penguins,Justin Dowling,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:11:22Z,1,02:09,17:51,Giveaway,n/a,-1.0,40.0,Jason Dickinson,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:11:28Z,1,02:15,17:45,Hit,n/a,90.0,-33.0,Sam Lafferty,Hitter,Pittsburgh Penguins,Jamie Oleksiak,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:11:41Z,1,02:26,17:34,Blocked Shot,n/a,-58.0,-4.0,Jake Guentzel,Blocker,Pittsburgh Penguins,Jason Dickinson,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:12:03Z,1,02:27,17:33,Faceoff,n/a,-69.0,-22.0,Tyler Seguin,Winner,Dallas Stars,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:12:13Z,1,02:30,17:30,Blocked Shot,n/a,-48.0,-10.0,Dominik Simon,Blocker,Pittsburgh Penguins,John Klingberg,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:12:24Z,1,02:31,17:29,Faceoff,n/a,-69.0,-22.0,Mattias Janmark,Winner,Dallas Stars,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:12:44Z,1,02:37,17:23,Blocked Shot,n/a,-63.0,-26.0,Marcus Pettersson,Blocker,Pittsburgh Penguins,Miro Heiskanen,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:13:05Z,1,02:58,17:02,Giveaway,n/a,34.0,39.0,John Klingberg,PlayerID,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:13:35Z,1,03:06,16:54,Faceoff,n/a,69.0,22.0,Tyler Seguin,Winner,Dallas Stars,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:13:52Z,1,03:15,16:45,Blocked Shot,n/a,53.0,-19.0,Tyler Seguin,Blocker,Dallas Stars,Brandon Tanev,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:14:20Z,1,03:43,16:17,Giveaway,n/a,-77.0,34.0,Zach Aston-Reese,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:14:22Z,1,03:45,16:15,Shot,Wrist Shot,66.0,22.0,Teddy Blueger,Shooter,Pittsburgh Penguins,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:14:32Z,1,03:55,16:05,Shot,Wrist Shot,-69.0,-36.0,Alexander Radulov,Shooter,Dallas Stars,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:14:50Z,1,03:55,16:05,Faceoff,n/a,-69.0,-22.0,Nick Bjugstad,Winner,Pittsburgh Penguins,Roope Hintz,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:15:04Z,1,04:01,15:59,Hit,n/a,-98.0,9.0,Corey Perry,Hitter,Dallas Stars,Bryan Rust,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:15:22Z,1,04:19,15:41,Blocked Shot,n/a,-65.0,-3.0,Patric Hornqvist,Blocker,Pittsburgh Penguins,Corey Perry,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:15:29Z,1,04:26,15:34,Hit,n/a,-98.0,18.0,Jamie Benn,Hitter,Dallas Stars,Jack Johnson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:15:42Z,1,04:36,15:24,Hit,n/a,-98.0,-4.0,Jack Johnson,Hitter,Pittsburgh Penguins,Corey Perry,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:15:49Z,1,04:46,15:14,Blocked Shot,n/a,-60.0,19.0,Bryan Rust,Blocker,Pittsburgh Penguins,Andrej Sekera,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:16:06Z,1,04:53,15:07,Missed Shot,n/a,-76.0,4.0,Roope Hintz,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:16:19Z,1,04:54,15:06,Faceoff,n/a,-69.0,22.0,Joe Pavelski,Winner,Dallas Stars,Jared McCann,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:16:29Z,1,04:57,15:03,Blocked Shot,n/a,-53.0,-22.0,Sam Lafferty,Blocker,Pittsburgh Penguins,John Klingberg,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:16:43Z,1,04:58,15:02,Faceoff,n/a,-69.0,-22.0,Justin Dowling,Winner,Dallas Stars,Sam Lafferty,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:16:58Z,1,05:07,14:53,Blocked Shot,n/a,-84.0,7.0,Marcus Pettersson,Blocker,Pittsburgh Penguins,Miro Heiskanen,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:17:12Z,1,05:21,14:39,Missed Shot,n/a,38.0,-23.0,Justin Schultz,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:17:48Z,1,05:37,14:23,Faceoff,n/a,-69.0,-22.0,Tyler Seguin,Winner,Dallas Stars,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:17:48Z,1,05:40,14:20,Blocked Shot,n/a,-75.0,5.0,Marcus Pettersson,Blocker,Pittsburgh Penguins,Denis Gurianov,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:18:23Z,1,06:07,13:53,Shot,Wrist Shot,-56.0,21.0,Denis Gurianov,Shooter,Dallas Stars,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:18:50Z,1,06:35,13:25,Shot,Wrist Shot,15.0,-2.0,Patric Hornqvist,Shooter,Pittsburgh Penguins,Ben Bishop,Goalie,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:19:13Z,1,06:57,13:03,Blocked Shot,n/a,70.0,10.0,Jamie Oleksiak,Blocker,Dallas Stars,Bryan Rust,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:21:18Z,1,06:58,13:02,Faceoff,n/a,20.0,22.0,Tyler Seguin,Winner,Dallas Stars,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:22:11Z,1,07:42,12:18,Missed Shot,n/a,-83.0,7.0,Denis Gurianov,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:22:37Z,1,08:04,11:56,Missed Shot,n/a,79.0,-2.0,Zach Aston-Reese,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-27T00:23:03Z,1,08:05,11:55,Faceoff,n/a,69.0,-22.0,Radek Faksa,Winner,Dallas Stars,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
