Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-28T23:07:40Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Carl Soderberg,Winner,Arizona Coyotes,Jack Eichel,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:08:39Z,1,00:19,19:41,Shot,Deflected,81.0,0.0,Victor Olofsson,Shooter,Buffalo Sabres,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:08:49Z,1,00:29,19:31,Hit,n/a,17.0,-34.0,Christian Fischer,Hitter,Arizona Coyotes,Jack Eichel,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:08:52Z,1,00:31,19:29,Missed Shot,n/a,32.0,36.0,John Gilmour,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:08:57Z,1,00:37,19:23,Takeaway,n/a,-1.0,30.0,Christian Dvorak,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:09:04Z,1,00:44,19:16,Giveaway,n/a,-54.0,-35.0,Rasmus Ristolainen,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:09:23Z,1,01:03,18:57,Shot,Wrist Shot,63.0,-4.0,Jeff Skinner,Shooter,Buffalo Sabres,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:09:34Z,1,01:14,18:46,Giveaway,n/a,-19.0,-4.0,Marcus Johansson,PlayerID,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:09:38Z,1,01:18,18:42,Shot,Wrist Shot,-49.0,-39.0,Vinnie Hinostroza,Shooter,Arizona Coyotes,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:09:50Z,1,01:30,18:30,Hit,n/a,-94.0,-20.0,Michael Grabner,Hitter,Arizona Coyotes,Rasmus Ristolainen,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:10:06Z,1,01:40,18:20,Shot,Snap Shot,-37.0,-34.0,Derek Stepan,Shooter,Arizona Coyotes,Carter Hutton,Goalie,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:10:30Z,1,02:09,17:51,Blocked Shot,n/a,59.0,-16.0,Nick Schmaltz,Blocker,Arizona Coyotes,Henri Jokiharju,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:11:08Z,1,02:10,17:50,Faceoff,n/a,-69.0,22.0,Johan Larsson,Winner,Buffalo Sabres,Christian Dvorak,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:12:05Z,1,03:12,16:48,Hit,n/a,93.0,-20.0,Jakob Chychrun,Hitter,Arizona Coyotes,Conor Sheary,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:12:22Z,1,03:24,16:36,Missed Shot,n/a,68.0,10.0,Conor Sheary,Shooter,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:12:31Z,1,03:28,16:32,Penalty,Tripping,88.0,21.0,Lawson Crouse,PenaltyOn,Arizona Coyotes,Evan Rodrigues,DrewBy,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-28T23:13:00Z,1,03:28,16:32,Faceoff,n/a,69.0,-22.0,Sam Reinhart,Winner,Buffalo Sabres,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
