Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-29T23:45:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Strome,Winner,New York Rangers,Brayden Point,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:45:52Z,1,00:14,19:46,Hit,n/a,-92.0,-32.0,Jesper Fast,Hitter,New York Rangers,Mikhail Sergachev,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:46:02Z,1,00:23,19:37,Hit,n/a,-84.0,-38.0,Jesper Fast,Hitter,New York Rangers,Mikhail Sergachev,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:46:20Z,1,00:41,19:19,Shot,Wrist Shot,35.0,32.0,Nikita Kucherov,Shooter,Tampa Bay Lightning,Alexandar Georgiev,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:46:43Z,1,00:41,19:19,Faceoff,n/a,69.0,22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:46:51Z,1,00:45,19:15,Giveaway,n/a,39.0,23.0,Tyler Johnson,PlayerID,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:46:58Z,1,00:48,19:12,Faceoff,n/a,-20.0,22.0,Steven Stamkos,Winner,Tampa Bay Lightning,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:47:21Z,1,00:56,19:04,Hit,n/a,-12.0,-41.0,Chris Kreider,Hitter,New York Rangers,Erik Cernak,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:47:31Z,1,00:59,19:01,Hit,n/a,-91.0,-32.0,Erik Cernak,Hitter,Tampa Bay Lightning,Chris Kreider,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:47:55Z,1,01:01,18:59,Faceoff,n/a,-20.0,-22.0,Brett Howden,Winner,New York Rangers,Yanni Gourde,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:48:01Z,1,01:07,18:53,Missed Shot,n/a,-35.0,36.0,Tony DeAngelo,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:48:08Z,1,01:11,18:49,Shot,Slap Shot,-38.0,-33.0,Brady Skjei,Shooter,New York Rangers,Andrei Vasilevskiy,Goalie,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:48:16Z,1,01:17,18:43,Hit,n/a,34.0,-40.0,Brett Howden,Hitter,New York Rangers,Mathieu Joseph,Hittee,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:48:21Z,1,01:27,18:33,Hit,n/a,-4.0,-33.0,Braydon Coburn,Hitter,Tampa Bay Lightning,Brendan Lemieux,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:49:03Z,1,01:56,18:04,Penalty,Fighting,58.0,3.0,Micheal Haley,PenaltyOn,New York Rangers,Pat Maroon,DrewBy,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:49:24Z,1,01:56,18:04,Penalty,Fighting,46.0,-2.0,Pat Maroon,PenaltyOn,Tampa Bay Lightning,Micheal Haley,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:50:27Z,1,01:56,18:04,Faceoff,n/a,69.0,22.0,Cedric Paquette,Winner,Tampa Bay Lightning,Brendan Lemieux,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:50:36Z,1,02:00,18:00,Blocked Shot,n/a,38.0,29.0,Brendan Smith,Blocker,New York Rangers,Mikhail Sergachev,Shooter,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:51:01Z,1,02:13,17:47,Penalty,Boarding,49.0,-40.0,Luke Witkowski,PenaltyOn,Tampa Bay Lightning,Ryan Lindgren,DrewBy,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:53:40Z,1,02:13,17:47,Faceoff,n/a,-69.0,22.0,Ryan Strome,Winner,New York Rangers,Cedric Paquette,Loser,Tampa Bay Lightning,n/a,n/a,n/a,n/a,n/a,n/a
