Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-29T23:08:36Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sidney Crosby,Winner,Pittsburgh Penguins,Claude Giroux,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:09:11Z,1,00:18,19:42,Shot,Wrist Shot,75.0,27.0,Sidney Crosby,Shooter,Pittsburgh Penguins,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:09:18Z,1,00:22,19:38,Shot,Wrist Shot,62.0,-9.0,Dominik Simon,Shooter,Pittsburgh Penguins,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:09:25Z,1,00:31,19:29,Missed Shot,n/a,-60.0,-19.0,Claude Giroux,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:09:34Z,1,00:41,19:19,Shot,Snap Shot,17.0,-14.0,Sidney Crosby,Shooter,Pittsburgh Penguins,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:09:53Z,1,00:59,19:01,Blocked Shot,n/a,76.0,10.0,Sean Couturier,Blocker,Philadelphia Flyers,Teddy Blueger,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:09:55Z,1,01:02,18:58,Hit,n/a,67.0,-39.0,Oskar Lindblom,Hitter,Philadelphia Flyers,Justin Schultz,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:10:17Z,1,01:14,18:46,Hit,n/a,6.0,35.0,Sean Couturier,Hitter,Philadelphia Flyers,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:10:34Z,1,01:15,18:45,Faceoff,n/a,20.0,22.0,Michael Raffl,Winner,Philadelphia Flyers,Nick Bjugstad,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:10:43Z,1,01:21,18:39,Hit,n/a,-36.0,-41.0,Patric Hornqvist,Hitter,Pittsburgh Penguins,Robert Hagg,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:10:56Z,1,01:23,18:37,Hit,n/a,-58.0,40.0,Michael Raffl,Hitter,Philadelphia Flyers,Alex Galchenyuk,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:11:31Z,1,01:26,18:34,Faceoff,n/a,-69.0,22.0,Nick Bjugstad,Winner,Pittsburgh Penguins,Mikhail Vorobyev,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:12:16Z,1,01:33,18:27,Faceoff,n/a,-69.0,-22.0,Michael Raffl,Winner,Philadelphia Flyers,Nick Bjugstad,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:12:48Z,1,01:38,18:22,Faceoff,n/a,-69.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Nick Bjugstad,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:13:02Z,1,01:44,18:16,Blocked Shot,n/a,-63.0,-10.0,Nick Bjugstad,Blocker,Pittsburgh Penguins,Robert Hagg,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:13:10Z,1,01:53,18:07,Blocked Shot,n/a,-63.0,19.0,Brian Dumoulin,Blocker,Pittsburgh Penguins,James van Riemsdyk,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:13:22Z,1,02:02,17:58,Missed Shot,n/a,69.0,-16.0,Nick Bjugstad,Shooter,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:14:17Z,1,02:59,17:01,Hit,n/a,-29.0,-41.0,Jake Guentzel,Hitter,Pittsburgh Penguins,Travis Konecny,Hittee,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:14:37Z,1,03:19,16:41,Shot,Backhand,-72.0,9.0,Michael Raffl,Shooter,Philadelphia Flyers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:14:43Z,1,03:26,16:34,Blocked Shot,n/a,-77.0,-10.0,Sidney Crosby,Blocker,Pittsburgh Penguins,Michael Raffl,Shooter,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:15:37Z,1,03:54,16:06,Faceoff,n/a,0.0,0.0,Teddy Blueger,Winner,Pittsburgh Penguins,Mikhail Vorobyev,Loser,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:16:15Z,1,04:06,15:54,Faceoff,n/a,0.0,0.0,Tyler Pitlick,Winner,Philadelphia Flyers,Nick Bjugstad,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:17:24Z,1,05:01,14:59,Shot,Wrist Shot,74.0,-11.0,Bryan Rust,Shooter,Pittsburgh Penguins,Brian Elliott,Goalie,Philadelphia Flyers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:17:33Z,1,05:08,14:52,Shot,Wrist Shot,-38.0,22.0,Claude Giroux,Shooter,Philadelphia Flyers,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:17:52Z,1,05:10,14:50,Faceoff,n/a,-69.0,22.0,Jakub Voracek,Winner,Philadelphia Flyers,Teddy Blueger,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T23:18:54Z,1,05:18,14:42,Faceoff,n/a,-20.0,-22.0,Claude Giroux,Winner,Philadelphia Flyers,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
