Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-29T02:08:04Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jonathan Huberdeau,Winner,Florida Panthers,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:08:27Z,1,00:12,19:48,Shot,Deflected,78.0,-10.0,Aleksander Barkov,Shooter,Florida Panthers,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:08:54Z,1,00:40,19:20,Shot,Wrist Shot,52.0,-21.0,Dryden Hunt,Shooter,Florida Panthers,Thatcher Demko,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:09:11Z,1,00:53,19:07,Blocked Shot,n/a,-48.0,18.0,Dryden Hunt,Blocker,Florida Panthers,Troy Stecher,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:09:31Z,1,00:53,19:07,Faceoff,n/a,-69.0,22.0,Brian Boyle,Winner,Florida Panthers,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:10:08Z,1,01:14,18:46,Goal,Wrist Shot,-69.0,4.0,Brandon Sutter,Scorer,Vancouver Canucks,Micheal Ferland,Assist,Vancouver Canucks,Josh Leivo,Assist,Vancouver Canucks,Sam Montembeault,Goalie,Florida Panthers
2019-10-29T02:10:54Z,1,01:14,18:46,Faceoff,n/a,0.0,0.0,Denis Malgin,Winner,Florida Panthers,J.T. Miller,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:11:16Z,1,01:38,18:22,Blocked Shot,n/a,71.0,0.0,Elias Pettersson,Blocker,Vancouver Canucks,Frank Vatrano,Shooter,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:11:53Z,1,02:06,17:54,Penalty,Holding,34.0,-39.0,Aleksander Barkov,PenaltyOn,Florida Panthers,Elias Pettersson,DrewBy,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-29T02:13:02Z,1,02:06,17:54,Faceoff,n/a,-69.0,22.0,Noel Acciari,Winner,Florida Panthers,Brandon Sutter,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
