Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-10-31T02:08:12Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Phillip Danault,Winner,Montréal Canadiens,Carl Soderberg,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:09:17Z,1,00:19,19:41,Blocked Shot,n/a,-51.0,30.0,Shea Weber,Blocker,Montréal Canadiens,Oliver Ekman-Larsson,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:09:17Z,1,00:20,19:40,Blocked Shot,n/a,-70.0,11.0,Jason Demers,Blocker,Arizona Coyotes,Tomas Tatar,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:09:18Z,1,00:22,19:38,Goal,Wrist Shot,-84.0,5.0,Brendan Gallagher,Scorer,Montréal Canadiens,Tomas Tatar,Assist,Montréal Canadiens,Shea Weber,Assist,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes
2019-10-31T02:10:03Z,1,00:22,19:38,Faceoff,n/a,0.0,0.0,Christian Dvorak,Winner,Arizona Coyotes,Nate Thompson,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:10:27Z,1,00:44,19:16,Hit,n/a,-89.0,-33.0,Nate Thompson,Hitter,Montréal Canadiens,Aaron Ness,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:10:32Z,1,00:50,19:10,Shot,Wrist Shot,40.0,-25.0,Phil Kessel,Shooter,Arizona Coyotes,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:10:49Z,1,00:53,19:07,Hit,n/a,38.0,39.0,Nate Thompson,Hitter,Montréal Canadiens,Clayton Keller,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:10:42Z,1,00:55,19:05,Shot,Wrist Shot,85.0,-6.0,Christian Dvorak,Shooter,Arizona Coyotes,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:11:12Z,1,00:56,19:04,Faceoff,n/a,69.0,-22.0,Max Domi,Winner,Montréal Canadiens,Barrett Hayton,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:11:23Z,1,00:59,19:01,Shot,Tip-In,73.0,-4.0,Barrett Hayton,Shooter,Arizona Coyotes,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:11:30Z,1,01:00,19:00,Faceoff,n/a,69.0,-22.0,Nick Schmaltz,Winner,Arizona Coyotes,Max Domi,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:11:35Z,1,01:07,18:53,Shot,Wrist Shot,42.0,-24.0,Alex Goligoski,Shooter,Arizona Coyotes,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:12:17Z,1,01:33,18:27,Faceoff,n/a,-69.0,-22.0,Jesperi Kotkaniemi,Winner,Montréal Canadiens,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:12:28Z,1,01:41,18:19,Missed Shot,n/a,-45.0,-32.0,Mike Reilly,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:12:48Z,1,02:00,18:00,Hit,n/a,-55.0,30.0,Cale Fleury,Hitter,Montréal Canadiens,Michael Grabner,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:12:54Z,1,02:06,17:54,Blocked Shot,n/a,-69.0,-10.0,Alex Goligoski,Blocker,Arizona Coyotes,Artturi Lehkonen,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:13:08Z,1,02:20,17:40,Hit,n/a,38.0,40.0,Cale Fleury,Hitter,Montréal Canadiens,Derek Stepan,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:13:16Z,1,02:28,17:32,Takeaway,n/a,43.0,22.0,Phillip Danault,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:13:21Z,1,02:33,17:27,Blocked Shot,n/a,62.0,-11.0,Mike Reilly,Blocker,Montréal Canadiens,Lawson Crouse,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:13:32Z,1,02:43,17:17,Shot,Wrap-around,89.0,7.0,Christian Fischer,Shooter,Arizona Coyotes,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:13:38Z,1,02:44,17:16,Shot,Wrist Shot,80.0,0.0,Carl Soderberg,Shooter,Arizona Coyotes,Carey Price,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:14:07Z,1,03:02,16:58,Faceoff,n/a,-20.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Nick Suzuki,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:14:40Z,1,03:20,16:40,Giveaway,n/a,35.0,25.0,Christian Dvorak,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:14:51Z,1,03:32,16:28,Giveaway,n/a,-34.0,-32.0,Ilya Lyubushkin,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:14:54Z,1,03:35,16:25,Shot,Wrist Shot,-53.0,-6.0,Max Domi,Shooter,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:15:10Z,1,03:51,16:09,Shot,Wrist Shot,-39.0,-32.0,Jeff Petry,Shooter,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:15:26Z,1,04:00,16:00,Penalty,Tripping,-83.0,-28.0,Ilya Lyubushkin,PenaltyOn,Arizona Coyotes,Jonathan Drouin,DrewBy,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:16:04Z,1,04:00,16:00,Faceoff,n/a,-69.0,22.0,Nick Suzuki,Winner,Montréal Canadiens,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:16:26Z,1,04:30,15:30,Shot,Slap Shot,-55.0,-34.0,Jeff Petry,Shooter,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:16:31Z,1,04:34,15:26,Hit,n/a,-97.0,-10.0,Joel Armia,Hitter,Montréal Canadiens,Oliver Ekman-Larsson,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:16:38Z,1,04:41,15:19,Shot,Tip-In,-76.0,0.0,Nick Suzuki,Shooter,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:16:43Z,1,04:45,15:15,Hit,n/a,-80.0,-39.0,Nick Suzuki,Hitter,Montréal Canadiens,Derek Stepan,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:17:10Z,1,05:13,14:47,Shot,Slap Shot,-42.0,-20.0,Shea Weber,Shooter,Montréal Canadiens,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:17:17Z,1,05:21,14:39,Hit,n/a,-96.0,19.0,Alex Goligoski,Hitter,Arizona Coyotes,Nick Cousins,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:17:24Z,1,05:27,14:33,Giveaway,n/a,-28.0,34.0,Jonathan Drouin,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:17:59Z,1,06:03,13:57,Blocked Shot,n/a,-80.0,-24.0,Jason Demers,Blocker,Arizona Coyotes,Nate Thompson,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-10-31T02:18:22Z,1,06:25,13:35,Hit,n/a,-96.0,-9.0,Oliver Ekman-Larsson,Hitter,Arizona Coyotes,Paul Byron,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
