Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-01T23:39:03Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sebastian Aho,Winner,Carolina Hurricanes,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:39:40Z,1,00:21,19:39,Blocked Shot,n/a,73.0,15.0,Andrei Svechnikov,Blocker,Carolina Hurricanes,Andreas Athanasiou,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:39:49Z,1,00:27,19:33,Giveaway,n/a,68.0,40.0,Andrei Svechnikov,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:39:51Z,1,00:29,19:31,Shot,Snap Shot,49.0,40.0,Patrik Nemeth,Shooter,Detroit Red Wings,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:40:04Z,1,00:30,19:30,Faceoff,n/a,69.0,22.0,Jordan Staal,Winner,Carolina Hurricanes,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:40:24Z,1,00:40,19:20,Shot,Wrist Shot,63.0,38.0,Darren Helm,Shooter,Detroit Red Wings,Petr Mrazek,Goalie,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:40:24Z,1,00:42,19:18,Hit,n/a,82.0,39.0,Darren Helm,Hitter,Detroit Red Wings,Jordan Staal,Hittee,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:40:51Z,1,00:48,19:12,Faceoff,n/a,-69.0,-22.0,Erik Haula,Winner,Carolina Hurricanes,Frans Nielsen,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:41:22Z,1,01:08,18:52,Penalty,Hi-sticking,-25.0,15.0,Erik Haula,PenaltyOn,Carolina Hurricanes,Taro Hirose,DrewBy,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:41:57Z,1,01:08,18:52,Faceoff,n/a,69.0,22.0,Tyler Bertuzzi,Winner,Detroit Red Wings,Jordan Staal,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:42:48Z,1,01:56,18:04,Takeaway,n/a,32.0,-32.0,Jordan Staal,PlayerID,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:42:52Z,1,02:02,17:58,Shot,Backhand,-69.0,9.0,Jordan Staal,Shooter,Carolina Hurricanes,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:43:41Z,1,02:51,17:09,Blocked Shot,n/a,81.0,12.0,Brian Gibbons,Blocker,Carolina Hurricanes,Andreas Athanasiou,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:44:17Z,1,02:58,17:02,Faceoff,n/a,69.0,-22.0,Valtteri Filppula,Winner,Detroit Red Wings,Lucas Wallmark,Loser,Carolina Hurricanes,n/a,n/a,n/a,n/a,n/a,n/a
