Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-01T02:07:50Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Phillip Danault,Winner,Montréal Canadiens,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:09:02Z,1,00:37,19:23,Missed Shot,n/a,-58.0,20.0,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:09:22Z,1,00:57,19:03,Takeaway,n/a,98.0,2.0,Jon Merrill,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:09:42Z,1,01:17,18:43,Hit,n/a,-90.0,34.0,Jeff Petry,Hitter,Montréal Canadiens,Reilly Smith,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:09:51Z,1,01:26,18:34,Hit,n/a,99.0,-14.0,Nick Holden,Hitter,Vegas Golden Knights,Artturi Lehkonen,Hittee,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:09:54Z,1,01:29,18:31,Hit,n/a,90.0,29.0,Nick Suzuki,Hitter,Montréal Canadiens,Deryk Engelland,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:10:17Z,1,01:52,18:08,Giveaway,n/a,29.0,40.0,Nick Holden,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:10:19Z,1,01:54,18:06,Shot,Snap Shot,85.0,-5.0,Nick Cousins,Shooter,Montréal Canadiens,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:10:23Z,1,01:58,18:02,Takeaway,n/a,35.0,-38.0,Nate Thompson,PlayerID,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:10:31Z,1,02:06,17:54,Blocked Shot,n/a,46.0,-23.0,Cody Eakin,Blocker,Vegas Golden Knights,Cale Fleury,Shooter,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:10:51Z,1,02:26,17:34,Hit,n/a,96.0,16.0,Jordan Weal,Hitter,Montréal Canadiens,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:10:59Z,1,02:34,17:26,Shot,Wrist Shot,55.0,-3.0,Shea Weber,Shooter,Montréal Canadiens,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:11:11Z,1,02:35,17:25,Goal,Wrist Shot,83.0,-7.0,Phillip Danault,Scorer,Montréal Canadiens,Shea Weber,Assist,Montréal Canadiens,Tomas Tatar,Assist,Montréal Canadiens,Marc-Andre Fleury,Goalie,Vegas Golden Knights
2019-11-01T02:11:36Z,1,02:35,17:25,Faceoff,n/a,0.0,0.0,Paul Stastny,Winner,Vegas Golden Knights,Phillip Danault,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:11:52Z,1,02:47,17:13,Takeaway,n/a,-97.0,6.0,Paul Stastny,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:12:01Z,1,02:55,17:05,Shot,Wrist Shot,-31.0,-17.0,Brayden McNabb,Shooter,Vegas Golden Knights,Keith Kinkaid,Goalie,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T02:12:27Z,1,02:56,17:04,Faceoff,n/a,-69.0,-22.0,Tomas Nosek,Winner,Vegas Golden Knights,Nate Thompson,Loser,Montréal Canadiens,n/a,n/a,n/a,n/a,n/a,n/a
