Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-01T23:09:09Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Lars Eller,Winner,Washington Capitals,Johan Larsson,Loser,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:16:10Z,1,00:11,19:49,Hit,n/a,-87.0,-31.0,Rasmus Ristolainen,Hitter,Buffalo Sabres,Lars Eller,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:49:02Z,1,00:13,19:47,Hit,n/a,-91.0,-30.0,Garnet Hathaway,Hitter,Washington Capitals,Johan Larsson,Hittee,Buffalo Sabres,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:09:57Z,1,00:17,19:43,Missed Shot,n/a,-32.0,-26.0,Carl Hagelin,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:10:16Z,1,00:18,19:42,Faceoff,n/a,-69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:10:42Z,1,00:22,19:38,Faceoff,n/a,-69.0,-22.0,Jack Eichel,Winner,Buffalo Sabres,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:11:08Z,1,00:38,19:22,Giveaway,n/a,98.0,7.0,John Carlson,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:11:16Z,1,00:46,19:14,Giveaway,n/a,8.0,8.0,Nicklas Backstrom,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:11:29Z,1,00:55,19:05,Shot,Wrist Shot,75.0,-4.0,Jack Eichel,Shooter,Buffalo Sabres,Braden Holtby,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-01T23:11:49Z,1,00:56,19:04,Faceoff,n/a,69.0,-22.0,Marcus Johansson,Winner,Buffalo Sabres,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
