Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-02T01:08:27Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jamie Benn,Winner,Dallas Stars,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:08:59Z,1,00:11,19:49,Hit,n/a,92.0,-30.0,Nathan MacKinnon,Hitter,Colorado Avalanche,Tyler Seguin,Hittee,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:09:00Z,1,00:13,19:47,Hit,n/a,98.0,-14.0,Jamie Benn,Hitter,Dallas Stars,Nathan MacKinnon,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:09:17Z,1,00:28,19:32,Hit,n/a,-34.0,38.0,Jamie Benn,Hitter,Dallas Stars,Erik Johnson,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:09:37Z,1,00:28,19:32,Faceoff,n/a,-20.0,22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Roope Hintz,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:09:48Z,1,00:37,19:23,Blocked Shot,n/a,69.0,15.0,Cale Makar,Blocker,Colorado Avalanche,Denis Gurianov,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:09:56Z,1,00:37,19:23,Faceoff,n/a,69.0,22.0,Joe Pavelski,Winner,Dallas Stars,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:10:30Z,1,00:39,19:21,Shot,Wrist Shot,56.0,11.0,Roope Hintz,Shooter,Dallas Stars,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:10:37Z,1,00:40,19:20,Faceoff,n/a,69.0,22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Roope Hintz,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-02T01:11:11Z,1,00:48,19:12,Faceoff,n/a,69.0,-22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Tyler Seguin,Loser,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
