Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-04T01:07:48Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Jonathan Toews,Winner,Chicago Blackhawks,Ryan Getzlaf,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:08:54Z,1,00:10,19:50,Shot,Wrist Shot,-46.0,29.0,Alex Nylander,Shooter,Chicago Blackhawks,Ryan Miller,Goalie,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:09:27Z,1,00:43,19:17,Missed Shot,n/a,38.0,10.0,Jakob Silfverberg,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:09:58Z,1,01:14,18:46,Giveaway,n/a,46.0,-29.0,Rickard Rakell,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:10:44Z,1,01:40,18:20,Faceoff,n/a,69.0,22.0,Derek Grant,Winner,Anaheim Ducks,Dylan Strome,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:10:23Z,1,01:42,18:18,Shot,Snap Shot,19.0,14.0,Hampus Lindholm,Shooter,Anaheim Ducks,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:10:56Z,1,01:47,18:13,Missed Shot,n/a,54.0,-13.0,Carter Rowney,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:11:39Z,1,01:54,18:06,Faceoff,n/a,-69.0,22.0,Adam Henrique,Winner,Anaheim Ducks,Dylan Strome,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:12:17Z,1,02:35,17:25,Giveaway,n/a,20.0,-36.0,Adam Henrique,PlayerID,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:12:41Z,1,02:51,17:09,Faceoff,n/a,69.0,22.0,David Kampf,Winner,Chicago Blackhawks,Max Comtois,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:13:58Z,1,03:42,16:18,Missed Shot,n/a,35.0,27.0,Jacob Larsson,Shooter,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:14:22Z,1,04:06,15:54,Shot,Wrist Shot,61.0,0.0,Ryan Getzlaf,Shooter,Anaheim Ducks,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:14:36Z,1,04:20,15:40,Shot,Wrist Shot,60.0,23.0,Troy Terry,Shooter,Anaheim Ducks,Robin Lehner,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:15:36Z,1,05:03,14:57,Faceoff,n/a,69.0,22.0,Jonathan Toews,Winner,Chicago Blackhawks,Adam Henrique,Loser,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:16:07Z,1,05:16,14:44,Penalty,Tripping,82.0,-33.0,Erik Gustafsson,PenaltyOn,Chicago Blackhawks,Rickard Rakell,DrewBy,Anaheim Ducks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T01:16:37Z,1,05:16,14:44,Faceoff,n/a,69.0,22.0,Adam Henrique,Winner,Anaheim Ducks,Ryan Carpenter,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
