Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-04T00:11:51Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Mikael Backlund,Winner,Calgary Flames,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:13:31Z,1,00:23,19:37,Giveaway,n/a,-88.0,30.0,Mark Giordano,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:14:19Z,1,00:57,19:03,Faceoff,n/a,69.0,22.0,Evgeny Kuznetsov,Winner,Washington Capitals,Sean Monahan,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:14:50Z,1,01:18,18:42,Blocked Shot,n/a,-60.0,-23.0,Noah Hanifin,Blocker,Calgary Flames,Jakub Vrana,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:15:28Z,1,01:19,18:41,Faceoff,n/a,-69.0,-22.0,Derek Ryan,Winner,Calgary Flames,Lars Eller,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:15:21Z,1,01:24,18:36,Hit,n/a,-96.0,8.0,Garnet Hathaway,Hitter,Washington Capitals,Oliver Kylington,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:15:59Z,1,02:02,17:58,Shot,Wrist Shot,-81.0,-15.0,Garnet Hathaway,Shooter,Washington Capitals,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:16:08Z,1,02:11,17:49,Giveaway,n/a,94.0,21.0,Nick Jensen,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:16:19Z,1,02:14,17:46,Blocked Shot,n/a,75.0,4.0,Garnet Hathaway,Blocker,Washington Capitals,Mark Giordano,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:16:58Z,1,02:16,17:44,Faceoff,n/a,69.0,22.0,Chandler Stephenson,Winner,Washington Capitals,Mark Jankowski,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:16:59Z,1,02:30,17:30,Giveaway,n/a,83.0,-35.0,Jonas Siegenthaler,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:17:04Z,1,02:33,17:27,Shot,Wrist Shot,68.0,-36.0,Tobias Rieder,Shooter,Calgary Flames,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:17:39Z,1,02:34,17:26,Faceoff,n/a,69.0,-22.0,Mikael Backlund,Winner,Calgary Flames,Evgeny Kuznetsov,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:17:43Z,1,02:46,17:14,Hit,n/a,99.0,5.0,Andrew Mangiapane,Hitter,Calgary Flames,Radko Gudas,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:17:47Z,1,02:49,17:11,Blocked Shot,n/a,69.0,12.0,Tom Wilson,Blocker,Washington Capitals,Mikael Backlund,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:17:57Z,1,02:58,17:02,Shot,Wrist Shot,-67.0,20.0,Jakub Vrana,Shooter,Washington Capitals,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:18:20Z,1,02:59,17:01,Faceoff,n/a,-69.0,22.0,Sean Monahan,Winner,Calgary Flames,Nicklas Backstrom,Loser,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:18:34Z,1,03:05,16:55,Hit,n/a,-93.0,23.0,Alex Ovechkin,Hitter,Washington Capitals,Mark Giordano,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:18:39Z,1,03:10,16:50,Takeaway,n/a,-7.0,11.0,John Carlson,PlayerID,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:19:27Z,1,03:57,16:03,Missed Shot,n/a,76.0,2.0,Sam Bennett,Shooter,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:20:40Z,1,04:08,15:52,Hit,n/a,-95.0,20.0,Oliver Kylington,Hitter,Calgary Flames,Evgeny Kuznetsov,Hittee,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:19:45Z,1,04:14,15:46,Blocked Shot,n/a,-68.0,7.0,Derek Ryan,Blocker,Calgary Flames,Tom Wilson,Shooter,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:20:05Z,1,04:15,15:45,Faceoff,n/a,-69.0,22.0,Lars Eller,Winner,Washington Capitals,Mark Jankowski,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:20:20Z,1,04:20,15:40,Shot,Snap Shot,-40.0,19.0,Nick Jensen,Shooter,Washington Capitals,Cam Talbot,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:20:21Z,1,04:22,15:38,Hit,n/a,-90.0,31.0,Garnet Hathaway,Hitter,Washington Capitals,Noah Hanifin,Hittee,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-04T00:20:46Z,1,04:46,15:14,Shot,Wrist Shot,21.0,-28.0,Travis Hamonic,Shooter,Calgary Flames,Ilya Samsonov,Goalie,Washington Capitals,n/a,n/a,n/a,n/a,n/a,n/a
