Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-05T02:09:24Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:09:46Z,1,00:03,19:57,Faceoff,n/a,0.0,0.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:10:47Z,1,01:00,19:00,Missed Shot,n/a,-79.0,19.0,Christian Fischer,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:11:15Z,1,01:27,18:33,Missed Shot,n/a,-87.0,7.0,Christian Fischer,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:11:24Z,1,01:31,18:29,Goal,Wrist Shot,82.0,2.0,Connor McDavid,Scorer,Edmonton Oilers,Leon Draisaitl,Assist,Edmonton Oilers,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a
2019-11-05T02:12:15Z,1,01:31,18:29,Faceoff,n/a,0.0,0.0,Christian Dvorak,Winner,Arizona Coyotes,Colby Cave,Loser,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:12:15Z,1,01:46,18:14,Takeaway,n/a,96.0,-8.0,Patrick Russell,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:12:17Z,1,01:51,18:09,Blocked Shot,n/a,69.0,8.0,Christian Dvorak,Blocker,Arizona Coyotes,Colby Cave,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:12:40Z,1,02:14,17:46,Hit,n/a,76.0,-36.0,Colby Cave,Hitter,Edmonton Oilers,Aaron Ness,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:12:43Z,1,02:17,17:43,Blocked Shot,n/a,63.0,-13.0,Jordan Oesterle,Blocker,Arizona Coyotes,Sam Gagner,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:13:06Z,1,02:37,17:23,Hit,n/a,33.0,33.0,Jujhar Khaira,Hitter,Edmonton Oilers,Clayton Keller,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:13:28Z,1,02:42,17:18,Blocked Shot,n/a,-76.0,11.0,Oscar Klefbom,Blocker,Edmonton Oilers,Jakob Chychrun,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:13:42Z,1,03:16,16:44,Missed Shot,n/a,-54.0,36.0,Jakob Chychrun,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:13:54Z,1,03:27,16:33,Takeaway,n/a,18.0,-5.0,Michael Grabner,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:14:02Z,1,03:30,16:30,Goal,Wrist Shot,-63.0,-31.0,Michael Grabner,Scorer,Arizona Coyotes,Mikko Koskinen,Goalie,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-05T02:14:41Z,1,03:30,16:30,Faceoff,n/a,0.0,0.0,Ryan Nugent-Hopkins,Winner,Edmonton Oilers,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
