Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-06T00:08:01Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:09:33Z,1,00:19,19:41,Faceoff,n/a,0.0,0.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:09:35Z,1,00:27,19:33,Shot,Wrist Shot,63.0,14.0,Gustav Nyquist,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:09:40Z,1,00:30,19:30,Blocked Shot,n/a,76.0,5.0,Nate Schmidt,Blocker,Vegas Golden Knights,Gustav Nyquist,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:10:00Z,1,00:52,19:08,Shot,Snap Shot,-51.0,-27.0,Reilly Smith,Shooter,Vegas Golden Knights,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:10:34Z,1,01:26,18:34,Shot,Wrist Shot,-42.0,23.0,Nick Holden,Shooter,Vegas Golden Knights,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:11:12Z,1,01:27,18:33,Faceoff,n/a,-69.0,22.0,Paul Stastny,Winner,Vegas Golden Knights,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:11:00Z,1,01:30,18:30,Shot,Wrist Shot,-39.0,20.0,Shea Theodore,Shooter,Vegas Golden Knights,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:11:10Z,1,01:31,18:29,Shot,Wrist Shot,-84.0,5.0,Paul Stastny,Shooter,Vegas Golden Knights,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:11:22Z,1,01:52,18:08,Missed Shot,n/a,-38.0,-9.0,Nicolas Hague,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:11:44Z,1,01:58,18:02,Penalty,Hooking,-93.0,28.0,Josh Anderson,PenaltyOn,Columbus Blue Jackets,Paul Stastny,DrewBy,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:41Z,1,01:58,18:02,Faceoff,n/a,-69.0,-22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:41Z,1,02:35,17:25,Giveaway,n/a,-37.0,-38.0,William Karlsson,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:47Z,1,02:41,17:19,Blocked Shot,n/a,-73.0,8.0,David Savard,Blocker,Columbus Blue Jackets,Jonathan Marchessault,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:56Z,1,02:50,17:10,Blocked Shot,n/a,-77.0,-1.0,David Savard,Blocker,Columbus Blue Jackets,Cody Eakin,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:59Z,1,02:53,17:07,Hit,n/a,-44.0,39.0,Nick Foligno,Hitter,Columbus Blue Jackets,Jonathan Marchessault,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:14:00Z,1,03:26,16:34,Faceoff,n/a,-20.0,-22.0,Paul Stastny,Winner,Vegas Golden Knights,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:14:40Z,1,04:13,15:47,Shot,Wrist Shot,76.0,9.0,Sonny Milano,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:15:10Z,1,04:41,15:19,Blocked Shot,n/a,-57.0,1.0,Pierre-Luc Dubois,Blocker,Columbus Blue Jackets,William Karlsson,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:15:40Z,1,04:42,15:18,Faceoff,n/a,-69.0,22.0,Gustav Nyquist,Winner,Columbus Blue Jackets,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:16:00Z,1,04:51,15:09,Missed Shot,n/a,-49.0,-16.0,Jonathan Marchessault,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:16:44Z,1,05:34,14:26,Hit,n/a,-65.0,1.0,Markus Nutivaara,Hitter,Columbus Blue Jackets,Cody Glass,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:17:08Z,1,05:52,14:08,Hit,n/a,31.0,-14.0,Nicolas Hague,Hitter,Vegas Golden Knights,Cam Atkinson,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:17:20Z,1,06:10,13:50,Shot,Wrist Shot,18.0,34.0,Sonny Milano,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:19:14Z,1,06:11,13:49,Faceoff,n/a,69.0,22.0,Paul Stastny,Winner,Vegas Golden Knights,Boone Jenner,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:20:30Z,1,06:35,13:25,Faceoff,n/a,-20.0,22.0,Paul Stastny,Winner,Vegas Golden Knights,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:21:33Z,1,07:36,12:24,Hit,n/a,-92.0,31.0,William Carrier,Hitter,Vegas Golden Knights,Dean Kukan,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:21:44Z,1,07:44,12:16,Penalty,Slashing,-22.0,37.0,Ryan Reaves,PenaltyOn,Vegas Golden Knights,Dean Kukan,DrewBy,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:22:20Z,1,07:44,12:16,Faceoff,n/a,69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:22:29Z,1,07:50,12:10,Shot,Snap Shot,52.0,-20.0,Cam Atkinson,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:22:37Z,1,07:58,12:02,Shot,Wrist Shot,56.0,-16.0,Cam Atkinson,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:23:10Z,1,08:31,11:29,Shot,Wrist Shot,62.0,28.0,Emil Bemstrom,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:23:36Z,1,08:57,11:03,Giveaway,n/a,87.0,34.0,Pierre-Luc Dubois,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:23:48Z,1,09:09,10:51,Takeaway,n/a,55.0,41.0,Tomas Nosek,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:24:15Z,1,09:34,10:26,Missed Shot,n/a,62.0,16.0,Oliver Bjorkstrand,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:25:12Z,1,10:33,09:27,Blocked Shot,n/a,57.0,19.0,Max Pacioretty,Blocker,Vegas Golden Knights,Vladislav Gavrikov,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:27:16Z,1,10:39,09:21,Faceoff,n/a,-20.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:28:24Z,1,11:15,08:45,Shot,Tip-In,70.0,1.0,Zach Werenski,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:28:34Z,1,11:23,08:37,Shot,Wrist Shot,-68.0,-19.0,William Karlsson,Shooter,Vegas Golden Knights,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:28:56Z,1,11:24,08:36,Faceoff,n/a,-69.0,-22.0,Boone Jenner,Winner,Columbus Blue Jackets,Paul Stastny,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:14Z,1,11:39,08:21,Hit,n/a,-85.0,36.0,Vladislav Gavrikov,Hitter,Columbus Blue Jackets,Max Pacioretty,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:21Z,1,11:46,08:14,Blocked Shot,n/a,-66.0,-28.0,Boone Jenner,Blocker,Columbus Blue Jackets,Jon Merrill,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:27Z,1,11:50,08:10,Shot,Slap Shot,-45.0,26.0,Nick Holden,Shooter,Vegas Golden Knights,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:33Z,1,11:58,08:02,Hit,n/a,-79.0,40.0,Nick Foligno,Hitter,Columbus Blue Jackets,Paul Stastny,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:33Z,1,11:59,08:01,Missed Shot,n/a,-70.0,-15.0,Jon Merrill,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:42Z,1,12:07,07:53,Giveaway,n/a,35.0,-28.0,Josh Anderson,PlayerID,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:30:01Z,1,12:26,07:34,Hit,n/a,16.0,-39.0,Josh Anderson,Hitter,Columbus Blue Jackets,Brayden McNabb,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:31:12Z,1,13:37,06:23,Hit,n/a,92.0,32.0,Pierre-Luc Dubois,Hitter,Columbus Blue Jackets,Ryan Reaves,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:31:16Z,1,13:41,06:19,Shot,Slap Shot,52.0,14.0,Emil Bemstrom,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:31:35Z,1,14:00,06:00,Shot,Snap Shot,46.0,13.0,Kole Sherwood,Shooter,Columbus Blue Jackets,Marc-Andre Fleury,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:33:51Z,1,14:02,05:58,Faceoff,n/a,69.0,22.0,Cam Atkinson,Winner,Columbus Blue Jackets,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:34:39Z,1,14:35,05:25,Hit,n/a,98.0,-19.0,William Karlsson,Hitter,Vegas Golden Knights,Sonny Milano,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:35:54Z,1,15:21,04:39,Faceoff,n/a,-20.0,-22.0,Cody Eakin,Winner,Vegas Golden Knights,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:36:37Z,1,16:02,03:58,Hit,n/a,-98.0,-19.0,Zach Werenski,Hitter,Columbus Blue Jackets,Tomas Nosek,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:37:17Z,1,16:43,03:17,Takeaway,n/a,8.0,-34.0,William Karlsson,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:37:29Z,1,16:56,03:04,Blocked Shot,n/a,-60.0,1.0,Riley Nash,Blocker,Columbus Blue Jackets,Jonathan Marchessault,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:38:11Z,1,17:38,02:22,Shot,Wrist Shot,-51.0,-31.0,Max Pacioretty,Shooter,Vegas Golden Knights,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:38:31Z,1,17:38,02:22,Faceoff,n/a,-69.0,-22.0,Alexander Wennberg,Winner,Columbus Blue Jackets,Nicolas Roy,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:39:01Z,1,17:45,02:15,Faceoff,n/a,-69.0,22.0,Nicolas Roy,Winner,Vegas Golden Knights,Alexander Wennberg,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:39:21Z,1,17:50,02:10,Missed Shot,n/a,-66.0,1.0,Nicolas Roy,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:39:35Z,1,18:04,01:56,Hit,n/a,96.0,-20.0,Kole Sherwood,Hitter,Columbus Blue Jackets,Nick Holden,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:39:47Z,1,18:17,01:43,Hit,n/a,21.0,-38.0,David Savard,Hitter,Columbus Blue Jackets,Ryan Reaves,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:39:58Z,1,18:17,01:43,Hit,n/a,-98.0,3.0,William Carrier,Hitter,Vegas Golden Knights,Seth Jones,Hittee,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
