Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-06T02:10:23Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Sean Monahan,Winner,Calgary Flames,Derek Stepan,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:10:47Z,1,00:16,19:44,Missed Shot,n/a,10.0,-4.0,Michael Grabner,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:11:03Z,1,00:17,19:43,Faceoff,n/a,69.0,-22.0,Christian Dvorak,Winner,Arizona Coyotes,Andrew Mangiapane,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:11:29Z,1,00:25,19:35,Hit,n/a,98.0,-3.0,Noah Hanifin,Hitter,Calgary Flames,Barrett Hayton,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:12:01Z,1,00:38,19:22,Faceoff,n/a,20.0,-22.0,Sam Bennett,Winner,Calgary Flames,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:12:28Z,1,00:47,19:13,Faceoff,n/a,69.0,-22.0,Sam Bennett,Winner,Calgary Flames,Nick Schmaltz,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:13:06Z,1,01:04,18:56,Shot,Wrist Shot,-82.0,-25.0,Sam Bennett,Shooter,Calgary Flames,Antti Raanta,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:13:11Z,1,01:07,18:53,Giveaway,n/a,-96.0,-9.0,Jason Demers,PlayerID,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:13:25Z,1,01:20,18:40,Penalty,Tripping,43.0,36.0,TJ Brodie,PenaltyOn,Calgary Flames,Conor Garland,DrewBy,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:13:55Z,1,01:20,18:40,Faceoff,n/a,69.0,22.0,Christian Dvorak,Winner,Arizona Coyotes,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:14:04Z,1,01:27,18:33,Blocked Shot,n/a,60.0,14.0,Elias Lindholm,Blocker,Calgary Flames,Phil Kessel,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:14:46Z,1,02:09,17:51,Shot,Tip-In,82.0,9.0,Christian Dvorak,Shooter,Arizona Coyotes,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:15:08Z,1,02:30,17:30,Shot,Wrist Shot,53.0,20.0,Jakob Chychrun,Shooter,Arizona Coyotes,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:15:24Z,1,02:30,17:30,Faceoff,n/a,69.0,22.0,Carl Soderberg,Winner,Arizona Coyotes,Elias Lindholm,Loser,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:15:42Z,1,02:37,17:23,Shot,Slap Shot,33.0,22.0,Alex Goligoski,Shooter,Arizona Coyotes,David Rittich,Goalie,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:15:53Z,1,02:48,17:12,Blocked Shot,n/a,54.0,8.0,Elias Lindholm,Blocker,Calgary Flames,Alex Goligoski,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T02:16:23Z,1,03:18,16:42,Giveaway,n/a,97.0,25.0,Travis Hamonic,PlayerID,Calgary Flames,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
