Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-06T01:37:56Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Joe Pavelski,Winner,Dallas Stars,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:38:55Z,1,00:13,19:47,Giveaway,n/a,-77.0,1.0,Samuel Girard,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:38:55Z,1,00:17,19:43,Giveaway,n/a,-84.0,-19.0,Samuel Girard,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:38:55Z,1,00:19,19:41,Goal,Snap Shot,-73.0,15.0,Jason Dickinson,Scorer,Dallas Stars,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:40:16Z,1,00:19,19:41,Penalty,Missing key [PD_151],-13.0,41.0,Vladislav Kamenev,PenaltyOn,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:41:38Z,1,00:19,19:41,Faceoff,n/a,0.0,0.0,Joe Pavelski,Winner,Dallas Stars,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:41:59Z,1,00:49,19:11,Shot,Wrist Shot,-75.0,23.0,Denis Gurianov,Shooter,Dallas Stars,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:42:30Z,1,01:21,18:39,Blocked Shot,n/a,-68.0,-14.0,Erik Johnson,Blocker,Colorado Avalanche,Joe Pavelski,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:42:49Z,1,01:39,18:21,Shot,Wrist Shot,-72.0,0.0,Alexander Radulov,Shooter,Dallas Stars,Philipp Grubauer,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:43:00Z,1,01:50,18:10,Missed Shot,n/a,-62.0,-18.0,Tyler Seguin,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:43:09Z,1,01:59,18:01,Blocked Shot,n/a,-75.0,9.0,Nikita Zadorov,Blocker,Colorado Avalanche,Alexander Radulov,Shooter,Dallas Stars,n/a,n/a,n/a,n/a,n/a,n/a
