Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-06T00:07:08Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:08:21Z,1,00:10,19:50,Hit,n/a,84.0,-32.0,Michael Dal Colle,Hitter,New York Islanders,Cody Goloubef,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:08:32Z,1,00:21,19:39,Giveaway,n/a,2.0,-36.0,Brady Tkachuk,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:08:46Z,1,00:33,19:27,Hit,n/a,12.0,23.0,Artem Anisimov,Hitter,Ottawa Senators,Michael Dal Colle,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:09:00Z,1,00:49,19:11,Giveaway,n/a,98.0,-2.0,Craig Anderson,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:09:21Z,1,01:11,18:49,Giveaway,n/a,54.0,24.0,Anders Lee,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:09:54Z,1,01:41,18:19,Shot,Slap Shot,-42.0,25.0,Dylan DeMelo,Shooter,Ottawa Senators,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:10:09Z,1,01:41,18:19,Faceoff,n/a,-69.0,22.0,J.C. Beaudin,Winner,Ottawa Senators,Cole Bardreau,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:10:41Z,1,02:01,17:59,Hit,n/a,18.0,38.0,Cole Bardreau,Hitter,New York Islanders,Dylan DeMelo,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:11:25Z,1,02:45,17:15,Hit,n/a,-76.0,38.0,Ryan Pulock,Hitter,New York Islanders,Tyler Ennis,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:11:49Z,1,03:09,16:51,Takeaway,n/a,-30.0,-11.0,Brady Tkachuk,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:27Z,1,03:47,16:13,Missed Shot,n/a,37.0,-27.0,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:36Z,1,03:56,16:04,Blocked Shot,n/a,74.0,8.0,Nikita Zaitsev,Blocker,Ottawa Senators,Anders Lee,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:12:51Z,1,03:57,16:03,Blocked Shot,n/a,64.0,-11.0,Brady Tkachuk,Blocker,Ottawa Senators,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:16:29Z,1,04:01,15:59,Faceoff,n/a,20.0,22.0,Casey Cizikas,Winner,New York Islanders,Artem Anisimov,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:13:19Z,1,04:15,15:45,Hit,n/a,90.0,27.0,Michael Dal Colle,Hitter,New York Islanders,Dylan DeMelo,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:13:24Z,1,04:20,15:40,Hit,n/a,-8.0,-27.0,Cal Clutterbuck,Hitter,New York Islanders,Mark Borowiecki,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:16:29Z,1,04:21,15:39,Shot,Wrist Shot,-40.0,-26.0,Connor Brown,Shooter,Ottawa Senators,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:13:56Z,1,04:22,15:38,Faceoff,n/a,-69.0,-22.0,Brock Nelson,Winner,New York Islanders,Chris Tierney,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:14:10Z,1,04:33,15:27,Giveaway,n/a,-31.0,-37.0,Brock Nelson,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:14:14Z,1,04:37,15:23,Giveaway,n/a,-56.0,-24.0,Tyler Ennis,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:14:33Z,1,04:56,15:04,Missed Shot,n/a,-65.0,0.0,Tyler Ennis,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:14:53Z,1,05:16,14:44,Hit,n/a,1.0,-39.0,J.C. Beaudin,Hitter,Ottawa Senators,Oliver Wahlstrom,Hittee,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:14:59Z,1,05:22,14:38,Takeaway,n/a,53.0,-40.0,Oliver Wahlstrom,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:15:45Z,1,06:01,13:59,Penalty,Hooking,65.0,16.0,Artem Anisimov,PenaltyOn,Ottawa Senators,Mathew Barzal,DrewBy,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:17:41Z,1,06:01,13:59,Faceoff,n/a,69.0,-22.0,Chris Tierney,Winner,Ottawa Senators,Josh Bailey,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:18:33Z,1,06:35,13:25,Giveaway,n/a,76.0,-41.0,Anthony Beauvillier,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:19:23Z,1,07:26,12:34,Shot,Slap Shot,49.0,20.0,Ryan Pulock,Shooter,New York Islanders,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:19:46Z,1,07:29,12:31,Faceoff,n/a,69.0,22.0,Jean-Gabriel Pageau,Winner,Ottawa Senators,Derick Brassard,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:20:21Z,1,07:44,12:16,Giveaway,n/a,-96.0,12.0,Ryan Pulock,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:20:22Z,1,07:44,12:16,Goal,Wrist Shot,-73.0,3.0,Jean-Gabriel Pageau,Scorer,Ottawa Senators,Vladislav Namestnikov,Assist,Ottawa Senators,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a
2019-11-06T00:20:59Z,1,07:44,12:16,Faceoff,n/a,0.0,0.0,Casey Cizikas,Winner,New York Islanders,Chris Tierney,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:21:34Z,1,08:17,11:43,Hit,n/a,94.0,20.0,Cal Clutterbuck,Hitter,New York Islanders,Cody Goloubef,Hittee,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:21:45Z,1,08:22,11:38,Shot,Wrist Shot,42.0,16.0,Devon Toews,Shooter,New York Islanders,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:21:59Z,1,08:23,11:37,Goal,Backhand,80.0,0.0,Cal Clutterbuck,Scorer,New York Islanders,Casey Cizikas,Assist,New York Islanders,Devon Toews,Assist,New York Islanders,Craig Anderson,Goalie,Ottawa Senators
2019-11-06T00:22:24Z,1,08:23,11:37,Faceoff,n/a,0.0,0.0,Mathew Barzal,Winner,New York Islanders,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:23:13Z,1,08:59,11:01,Missed Shot,n/a,-53.0,-30.0,Brady Tkachuk,Shooter,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:24:11Z,1,09:38,10:22,Faceoff,n/a,69.0,22.0,Artem Anisimov,Winner,Ottawa Senators,Brock Nelson,Loser,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:24:33Z,1,09:44,10:16,Shot,Backhand,80.0,-1.0,Anthony Beauvillier,Shooter,New York Islanders,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:24:45Z,1,09:44,10:16,Faceoff,n/a,69.0,22.0,Brock Nelson,Winner,New York Islanders,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:25:07Z,1,09:54,10:06,Giveaway,n/a,-19.0,-1.0,Scott Mayfield,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:25:12Z,1,10:00,10:00,Giveaway,n/a,-24.0,22.0,Nick Paul,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:25:28Z,1,10:15,09:45,Giveaway,n/a,82.0,25.0,Dylan DeMelo,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:25:33Z,1,10:21,09:39,Missed Shot,n/a,76.0,-4.0,Brock Nelson,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:25:43Z,1,10:30,09:30,Blocked Shot,n/a,55.0,-17.0,Nick Paul,Blocker,Ottawa Senators,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:25:55Z,1,10:35,09:25,Blocked Shot,n/a,72.0,-5.0,Mark Borowiecki,Blocker,Ottawa Senators,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:26:16Z,1,10:35,09:25,Faceoff,n/a,69.0,-22.0,Cole Bardreau,Winner,New York Islanders,Nick Paul,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:26:18Z,1,10:43,09:17,Missed Shot,n/a,74.0,0.0,Ross Johnston,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:28:29Z,1,10:46,09:14,Faceoff,n/a,20.0,22.0,Casey Cizikas,Winner,New York Islanders,Jean-Gabriel Pageau,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:28:54Z,1,11:04,08:56,Blocked Shot,n/a,84.0,-10.0,Cody Goloubef,Blocker,Ottawa Senators,Casey Cizikas,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:15Z,1,11:25,08:35,Shot,Tip-In,77.0,-2.0,Michael Dal Colle,Shooter,New York Islanders,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:28Z,1,11:38,08:22,Blocked Shot,n/a,81.0,8.0,Chris Tierney,Blocker,Ottawa Senators,Michael Dal Colle,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:41Z,1,11:52,08:08,Shot,Wrist Shot,-78.0,0.0,Chris Tierney,Shooter,Ottawa Senators,Thomas Greiss,Goalie,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:29:57Z,1,12:07,07:53,Blocked Shot,n/a,57.0,26.0,Connor Brown,Blocker,Ottawa Senators,Josh Bailey,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:30:11Z,1,12:22,07:38,Giveaway,n/a,27.0,39.0,Josh Bailey,PlayerID,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:30:43Z,1,12:53,07:07,Blocked Shot,n/a,68.0,-3.0,Mark Borowiecki,Blocker,Ottawa Senators,Anthony Beauvillier,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:31:12Z,1,12:56,07:04,Faceoff,n/a,-20.0,22.0,Casey Cizikas,Winner,New York Islanders,Brady Tkachuk,Loser,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:31:33Z,1,13:08,06:52,Giveaway,n/a,80.0,-10.0,Cody Goloubef,PlayerID,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:31:36Z,1,13:11,06:49,Shot,Slap Shot,44.0,26.0,Casey Cizikas,Shooter,New York Islanders,Craig Anderson,Goalie,Ottawa Senators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T00:31:46Z,1,13:21,06:39,Missed Shot,n/a,68.0,-6.0,Scott Mayfield,Shooter,New York Islanders,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
