Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-06T01:08:21Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Adam Lowry,Winner,Winnipeg Jets,Travis Zajac,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:08:28Z,1,00:06,19:54,Hit,n/a,-19.0,40.0,Miles Wood,Hitter,New Jersey Devils,Luca Sbisa,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:08:34Z,1,00:12,19:48,Giveaway,n/a,-63.0,18.0,Andy Greene,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:08:44Z,1,00:20,19:40,Giveaway,n/a,94.0,25.0,Luca Sbisa,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:08:54Z,1,00:32,19:28,Hit,n/a,21.0,-40.0,Anthony Bitetto,Hitter,Winnipeg Jets,Blake Coleman,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:09:20Z,1,00:57,19:03,Blocked Shot,n/a,53.0,24.0,Josh Morrissey,Blocker,Winnipeg Jets,Taylor Hall,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:09:36Z,1,00:58,19:02,Faceoff,n/a,69.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:10:00Z,1,01:07,18:53,Takeaway,n/a,25.0,8.0,Kyle Palmieri,PlayerID,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:10:34Z,1,01:24,18:36,Faceoff,n/a,69.0,22.0,Mark Scheifele,Winner,Winnipeg Jets,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:10:50Z,1,01:28,18:32,Blocked Shot,n/a,41.0,-6.0,Mark Scheifele,Blocker,Winnipeg Jets,Jack Hughes,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:11:27Z,1,02:12,17:48,Shot,Wrist Shot,-66.0,-2.0,Patrik Laine,Shooter,Winnipeg Jets,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:11:35Z,1,02:17,17:43,Shot,Wrist Shot,-59.0,-4.0,Patrik Laine,Shooter,Winnipeg Jets,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:11:54Z,1,02:40,17:20,Hit,n/a,98.0,3.0,Anthony Bitetto,Hitter,Winnipeg Jets,Miles Wood,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:12:47Z,1,03:32,16:28,Shot,Wrist Shot,-68.0,16.0,Jack Roslovic,Shooter,Winnipeg Jets,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:12:59Z,1,03:33,16:27,Faceoff,n/a,-69.0,22.0,Travis Zajac,Winner,New Jersey Devils,Andrew Copp,Loser,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:14:18Z,1,04:24,15:36,Hit,n/a,-98.0,-8.0,Sami Vatanen,Hitter,New Jersey Devils,Blake Wheeler,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:14:26Z,1,04:27,15:33,Missed Shot,n/a,-35.0,-26.0,Josh Morrissey,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:14:36Z,1,04:28,15:32,Faceoff,n/a,-69.0,-22.0,Mark Scheifele,Winner,Winnipeg Jets,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:15:12Z,1,04:42,15:18,Shot,Wrist Shot,74.0,-16.0,Taylor Hall,Shooter,New Jersey Devils,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:15:19Z,1,04:43,15:17,Shot,Wrist Shot,78.0,-6.0,Taylor Hall,Shooter,New Jersey Devils,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:15:27Z,1,04:44,15:16,Goal,Backhand,72.0,1.0,Nico Hischier,Scorer,New Jersey Devils,Taylor Hall,Assist,New Jersey Devils,Sami Vatanen,Assist,New Jersey Devils,Connor Hellebuyck,Goalie,Winnipeg Jets
2019-11-06T01:16:00Z,1,04:44,15:16,Faceoff,n/a,0.0,0.0,David Gustafsson,Winner,Winnipeg Jets,Kevin Rooney,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:16:04Z,1,04:51,15:09,Hit,n/a,47.0,-40.0,Anthony Bitetto,Hitter,Winnipeg Jets,Wayne Simmonds,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:16:22Z,1,05:09,14:51,Blocked Shot,n/a,-68.0,-1.0,Will Butcher,Blocker,New Jersey Devils,Mathieu Perreault,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:16:32Z,1,05:18,14:42,Hit,n/a,-96.0,-24.0,Gabriel Bourque,Hitter,Winnipeg Jets,Kevin Rooney,Hittee,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:16:39Z,1,05:26,14:34,Blocked Shot,n/a,-68.0,-6.0,Matt Tennyson,Blocker,New Jersey Devils,Luca Sbisa,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:16:47Z,1,05:33,14:27,Blocked Shot,n/a,-66.0,4.0,Miles Wood,Blocker,New Jersey Devils,Anthony Bitetto,Shooter,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:16:56Z,1,05:37,14:23,Shot,Wrist Shot,-49.0,4.0,Mathieu Perreault,Shooter,Winnipeg Jets,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:17:04Z,1,05:42,14:18,Shot,Wrist Shot,62.0,-4.0,Wayne Simmonds,Shooter,New Jersey Devils,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:17:12Z,1,05:43,14:17,Faceoff,n/a,69.0,-22.0,Bryan Little,Winner,Winnipeg Jets,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:18:37Z,1,07:02,12:58,Giveaway,n/a,32.0,-36.0,Nathan Beaulieu,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:18:49Z,1,07:14,12:46,Missed Shot,n/a,41.0,15.0,Taylor Hall,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:19:09Z,1,07:34,12:26,Hit,n/a,-33.0,-41.0,Matt Tennyson,Hitter,New Jersey Devils,Dmitry Kulikov,Hittee,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:19:16Z,1,07:42,12:18,Shot,Slap Shot,-37.0,-19.0,Dmitry Kulikov,Shooter,Winnipeg Jets,Mackenzie Blackwood,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:19:50Z,1,08:12,11:48,Missed Shot,n/a,79.0,-12.0,Andy Greene,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:19:59Z,1,08:14,11:46,Penalty,Holding,88.0,-5.0,Jack Roslovic,PenaltyOn,Winnipeg Jets,Andy Greene,DrewBy,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:22:06Z,1,08:14,11:46,Faceoff,n/a,69.0,22.0,Adam Lowry,Winner,Winnipeg Jets,Jack Hughes,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:22:41Z,1,08:43,11:17,Blocked Shot,n/a,57.0,-1.0,Andrew Copp,Blocker,Winnipeg Jets,Sami Vatanen,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:23:15Z,1,09:15,10:45,Shot,Tip-In,71.0,-4.0,Wayne Simmonds,Shooter,New Jersey Devils,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:23:15Z,1,09:17,10:43,Missed Shot,n/a,80.0,3.0,Wayne Simmonds,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:23:37Z,1,09:39,10:21,Shot,Slap Shot,50.0,-31.0,P.K. Subban,Shooter,New Jersey Devils,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:24:02Z,1,10:04,09:56,Giveaway,n/a,31.0,41.0,Neal Pionk,PlayerID,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-06T01:24:11Z,1,10:13,09:47,Shot,Wrist Shot,48.0,-9.0,Nikita Gusev,Shooter,New Jersey Devils,Connor Hellebuyck,Goalie,Winnipeg Jets,n/a,n/a,n/a,n/a,n/a,n/a
