Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-07T01:09:48Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Dylan Larkin,Winner,Detroit Red Wings,Ryan Strome,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:10:38Z,1,00:14,19:46,Blocked Shot,n/a,71.0,-11.0,Jacob Trouba,Blocker,New York Rangers,Tyler Bertuzzi,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:10:48Z,1,00:25,19:35,Hit,n/a,-95.0,-21.0,Patrik Nemeth,Hitter,Detroit Red Wings,Jesper Fast,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:11:37Z,1,01:14,18:46,Hit,n/a,50.0,-39.0,Marc Staal,Hitter,New York Rangers,Valtteri Filppula,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:12:15Z,1,01:51,18:09,Hit,n/a,-97.0,-17.0,Pavel Buchnevich,Hitter,New York Rangers,Joe Hicketts,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:12:49Z,1,02:25,17:35,Hit,n/a,98.0,3.0,Justin Abdelkader,Hitter,Detroit Red Wings,Tony DeAngelo,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:12:56Z,1,02:31,17:29,Shot,Wrist Shot,40.0,-3.0,Brendan Perlini,Shooter,Detroit Red Wings,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:13:17Z,1,02:32,17:28,Faceoff,n/a,69.0,-22.0,Greg McKegg,Winner,New York Rangers,Justin Abdelkader,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:13:48Z,1,02:50,17:10,Hit,n/a,-32.0,-12.0,Justin Abdelkader,Hitter,Detroit Red Wings,Brady Skjei,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:13:59Z,1,03:01,16:59,Hit,n/a,-97.0,11.0,Dennis Cholowski,Hitter,Detroit Red Wings,Greg McKegg,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:14:09Z,1,03:08,16:52,Hit,n/a,-44.0,-40.0,Dylan McIlrath,Hitter,Detroit Red Wings,Micheal Haley,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:14:11Z,1,03:10,16:50,Blocked Shot,n/a,58.0,-8.0,Libor Hajek,Blocker,New York Rangers,Brendan Perlini,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:14:28Z,1,03:11,16:49,Faceoff,n/a,69.0,-22.0,Ryan Strome,Winner,New York Rangers,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:14:59Z,1,03:37,16:23,Blocked Shot,n/a,58.0,17.0,Jesper Fast,Blocker,New York Rangers,Patrik Nemeth,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:15:52Z,1,04:03,15:57,Faceoff,n/a,-69.0,22.0,Filip Chytil,Winner,New York Rangers,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:16:03Z,1,04:06,15:54,Shot,Wrist Shot,-39.0,39.0,Tony DeAngelo,Shooter,New York Rangers,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:16:10Z,1,04:07,15:53,Faceoff,n/a,-69.0,22.0,Valtteri Filppula,Winner,Detroit Red Wings,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:16:40Z,1,04:30,15:30,Giveaway,n/a,-68.0,39.0,Pavel Buchnevich,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:16:47Z,1,04:36,15:24,Missed Shot,n/a,48.0,-38.0,Darren Helm,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:17:05Z,1,04:36,15:24,Faceoff,n/a,69.0,-22.0,Brett Howden,Winner,New York Rangers,Justin Abdelkader,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:17:28Z,1,04:46,15:14,Hit,n/a,97.0,11.0,Brendan Perlini,Hitter,Detroit Red Wings,Adam Fox,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:17:39Z,1,05:00,15:00,Missed Shot,n/a,-81.0,-8.0,Brett Howden,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:17:44Z,1,05:06,14:54,Missed Shot,n/a,-76.0,9.0,Brendan Lemieux,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:17:55Z,1,05:17,14:43,Shot,Wrist Shot,-46.0,-27.0,Marc Staal,Shooter,New York Rangers,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:18:21Z,1,05:43,14:17,Hit,n/a,-71.0,-38.0,Alex Biega,Hitter,Detroit Red Wings,Adam Fox,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:18:31Z,1,05:52,14:08,Missed Shot,n/a,-78.0,6.0,Micheal Haley,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:18:44Z,1,05:53,14:07,Shot,Wrist Shot,-64.0,-32.0,Libor Hajek,Shooter,New York Rangers,Jimmy Howard,Goalie,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:19:07Z,1,05:54,14:06,Faceoff,n/a,-69.0,-22.0,Ryan Strome,Winner,New York Rangers,Dylan Larkin,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:19:37Z,1,06:18,13:42,Missed Shot,n/a,61.0,-23.0,Anthony Mantha,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:21:39Z,1,06:18,13:42,Faceoff,n/a,69.0,-22.0,Filip Chytil,Winner,New York Rangers,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:23:32Z,1,07:50,12:10,Hit,n/a,97.0,12.0,Brady Skjei,Hitter,New York Rangers,Justin Abdelkader,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:24:00Z,1,08:04,11:56,Faceoff,n/a,69.0,22.0,Dylan Larkin,Winner,Detroit Red Wings,Brett Howden,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:24:17Z,1,08:12,11:48,Hit,n/a,57.0,-39.0,Brendan Lemieux,Hitter,New York Rangers,Tyler Bertuzzi,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:24:23Z,1,08:19,11:41,Shot,Wrist Shot,28.0,-1.0,Filip Hronek,Shooter,Detroit Red Wings,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:24:29Z,1,08:25,11:35,Missed Shot,n/a,65.0,18.0,Anthony Mantha,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:24:31Z,1,08:26,11:34,Hit,n/a,34.0,-39.0,Brendan Lemieux,Hitter,New York Rangers,Patrik Nemeth,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:24:43Z,1,08:39,11:21,Shot,Backhand,88.0,-10.0,Dylan Larkin,Shooter,Detroit Red Wings,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:25:23Z,1,09:18,10:42,Giveaway,n/a,15.0,-33.0,Artemi Panarin,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:25:41Z,1,09:36,10:24,Shot,Wrist Shot,81.0,-24.0,Darren Helm,Shooter,Detroit Red Wings,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:26:15Z,1,10:10,09:50,Hit,n/a,-97.0,-11.0,Brendan Smith,Hitter,New York Rangers,Madison Bowey,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:26:23Z,1,10:15,09:45,Hit,n/a,-81.0,-36.0,Greg McKegg,Hitter,New York Rangers,Madison Bowey,Hittee,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:26:32Z,1,10:25,09:35,Blocked Shot,n/a,70.0,-25.0,Marc Staal,Blocker,New York Rangers,Adam Erne,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:26:52Z,1,10:48,09:12,Giveaway,n/a,63.0,-32.0,Brady Skjei,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:26:57Z,1,10:52,09:08,Missed Shot,n/a,68.0,-10.0,Brendan Perlini,Shooter,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:27:03Z,1,10:58,09:02,Takeaway,n/a,69.0,40.0,Filip Chytil,PlayerID,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:27:11Z,1,11:04,08:56,Blocked Shot,n/a,-58.0,-17.0,Dylan McIlrath,Blocker,Detroit Red Wings,Chris Kreider,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-07T01:29:22Z,1,11:04,08:56,Faceoff,n/a,-69.0,-22.0,Filip Chytil,Winner,New York Rangers,Valtteri Filppula,Loser,Detroit Red Wings,n/a,n/a,n/a,n/a,n/a,n/a
