Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-08T01:39:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brandon Sutter,Winner,Vancouver Canucks,Dylan Strome,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:39:31Z,1,00:11,19:49,Giveaway,n/a,81.0,-34.0,Calvin de Haan,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:39:58Z,1,00:38,19:22,Takeaway,n/a,-41.0,-39.0,Jake Virtanen,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:40:39Z,1,01:19,18:41,Missed Shot,n/a,77.0,28.0,Loui Eriksson,Shooter,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:40:56Z,1,01:36,18:24,Hit,n/a,56.0,3.0,Brandon Saad,Hitter,Chicago Blackhawks,Elias Pettersson,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:41:04Z,1,01:45,18:15,Hit,n/a,-96.0,-7.0,Ryan Carpenter,Hitter,Chicago Blackhawks,Jordie Benn,Hittee,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:41:27Z,1,02:07,17:53,Shot,Wrist Shot,74.0,24.0,Bo Horvat,Shooter,Vancouver Canucks,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:41:37Z,1,02:17,17:43,Giveaway,n/a,-95.0,-16.0,Quinn Hughes,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:41:45Z,1,02:22,17:38,Shot,Wrist Shot,-85.0,26.0,Adam Boqvist,Shooter,Chicago Blackhawks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:42:09Z,1,02:23,17:37,Faceoff,n/a,-69.0,22.0,Kirby Dach,Winner,Chicago Blackhawks,Bo Horvat,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:42:30Z,1,02:36,17:24,Hit,n/a,90.0,-28.0,Jake Virtanen,Hitter,Vancouver Canucks,Olli Maatta,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:42:45Z,1,02:51,17:09,Giveaway,n/a,88.0,-33.0,Olli Maatta,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:42:52Z,1,02:59,17:01,Shot,Snap Shot,-59.0,-30.0,Drake Caggiula,Shooter,Chicago Blackhawks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:43:19Z,1,02:59,17:01,Faceoff,n/a,-69.0,-22.0,Dylan Strome,Winner,Chicago Blackhawks,Jay Beagle,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:43:30Z,1,03:06,16:54,Shot,Wrist Shot,-47.0,11.0,Patrick Kane,Shooter,Chicago Blackhawks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:43:34Z,1,03:11,16:49,Giveaway,n/a,-62.0,-39.0,Jay Beagle,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:43:38Z,1,03:14,16:46,Shot,Wrist Shot,-83.0,-19.0,Patrick Kane,Shooter,Chicago Blackhawks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:43:54Z,1,03:14,16:46,Faceoff,n/a,-69.0,-22.0,Dylan Strome,Winner,Chicago Blackhawks,J.T. Miller,Loser,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:44:19Z,1,03:21,16:39,Shot,Slap Shot,-32.0,0.0,Erik Gustafsson,Shooter,Chicago Blackhawks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:44:36Z,1,03:38,16:22,Blocked Shot,n/a,-78.0,-5.0,Alexander Edler,Blocker,Vancouver Canucks,Alex DeBrincat,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:44:39Z,1,03:41,16:19,Takeaway,n/a,-4.0,-29.0,Duncan Keith,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:44:47Z,1,03:49,16:11,Giveaway,n/a,-97.0,-21.0,Alexander Edler,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:45:02Z,1,04:03,15:57,Shot,Slap Shot,33.0,-15.0,Christopher Tanev,Shooter,Vancouver Canucks,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:45:05Z,1,04:07,15:53,Hit,n/a,33.0,41.0,J.T. Miller,Hitter,Vancouver Canucks,Zack Smith,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:45:28Z,1,04:30,15:30,Shot,Slap Shot,-31.0,-36.0,Calvin de Haan,Shooter,Chicago Blackhawks,Jacob Markstrom,Goalie,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:46:20Z,1,05:22,14:38,Takeaway,n/a,6.0,-7.0,Alex Nylander,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:46:24Z,1,05:26,14:34,Blocked Shot,n/a,-68.0,4.0,Jordie Benn,Blocker,Vancouver Canucks,Alex Nylander,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:46:33Z,1,05:35,14:25,Shot,Wrist Shot,56.0,18.0,Elias Pettersson,Shooter,Vancouver Canucks,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:47:00Z,1,05:35,14:25,Faceoff,n/a,69.0,22.0,Bo Horvat,Winner,Vancouver Canucks,Andrew Shaw,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T01:47:18Z,1,05:48,14:12,Takeaway,n/a,64.0,1.0,Bo Horvat,PlayerID,Vancouver Canucks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
