Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-08T02:08:04Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:09:00Z,1,00:23,19:37,Shot,Snap Shot,-34.0,-37.0,Ryan Graves,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:09:18Z,1,00:35,19:25,Blocked Shot,n/a,-40.0,-32.0,Austin Watson,Blocker,Nashville Predators,Ryan Graves,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:09:17Z,1,00:40,19:20,Hit,n/a,-66.0,40.0,Pierre-Edouard Bellemare,Hitter,Colorado Avalanche,Austin Watson,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:09:31Z,1,00:49,19:11,Goal,Wrist Shot,-37.0,23.0,Cale Makar,Scorer,Colorado Avalanche,Matt Nieto,Assist,Colorado Avalanche,Ryan Graves,Assist,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators
2019-11-08T02:10:03Z,1,00:49,19:11,Faceoff,n/a,0.0,0.0,Nathan MacKinnon,Winner,Colorado Avalanche,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:10:48Z,1,01:31,18:29,Shot,Wrist Shot,-63.0,-8.0,J.T. Compher,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:10:53Z,1,01:34,18:26,Hit,n/a,-87.0,-33.0,J.T. Compher,Hitter,Colorado Avalanche,Dante Fabbro,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:11:18Z,1,01:41,18:19,Faceoff,n/a,-69.0,-22.0,Kyle Turris,Winner,Nashville Predators,Nazem Kadri,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:11:52Z,1,02:05,17:55,Hit,n/a,-98.0,13.0,Dan Hamhuis,Hitter,Nashville Predators,Cale Makar,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:12:17Z,1,02:31,17:29,Blocked Shot,n/a,80.0,-27.0,Samuel Girard,Blocker,Colorado Avalanche,Rocco Grimaldi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:12:18Z,1,02:31,17:29,Hit,n/a,98.0,-10.0,Samuel Girard,Hitter,Colorado Avalanche,Rocco Grimaldi,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:12:26Z,1,02:31,17:29,Faceoff,n/a,69.0,-22.0,Nick Bonino,Winner,Nashville Predators,Andre Burakovsky,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:13:05Z,1,02:38,17:22,Shot,Wrist Shot,37.0,-1.0,Roman Josi,Shooter,Nashville Predators,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:13:27Z,1,02:38,17:22,Faceoff,n/a,69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:13:49Z,1,02:50,17:10,Shot,Wrist Shot,-76.0,-7.0,Matt Calvert,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:14:02Z,1,03:03,16:57,Blocked Shot,n/a,-57.0,-7.0,Viktor Arvidsson,Blocker,Nashville Predators,Samuel Girard,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:14:10Z,1,03:09,16:51,Blocked Shot,n/a,36.0,31.0,Nathan MacKinnon,Blocker,Colorado Avalanche,Ryan Johansen,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:14:13Z,1,03:12,16:48,Shot,Wrist Shot,-69.0,5.0,Joonas Donskoi,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:14:27Z,1,03:12,16:48,Penalty,Hooking,17.0,35.0,Ryan Johansen,PenaltyOn,Nashville Predators,Nathan MacKinnon,DrewBy,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:15:03Z,1,03:12,16:48,Faceoff,n/a,-69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:14:59Z,1,03:22,16:38,Missed Shot,n/a,-67.0,0.0,Nazem Kadri,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:15:15Z,1,03:38,16:22,Shot,Wrist Shot,-84.0,-9.0,Joonas Donskoi,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:15:29Z,1,03:52,16:08,Shot,Wrist Shot,-54.0,-30.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:16:02Z,1,03:52,16:08,Faceoff,n/a,-69.0,-22.0,Calle Jarnkrok,Winner,Nashville Predators,Nazem Kadri,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:16:17Z,1,04:06,15:54,Penalty,Interference,-54.0,29.0,Nazem Kadri,PenaltyOn,Colorado Avalanche,Calle Jarnkrok,DrewBy,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:16:56Z,1,04:06,15:54,Faceoff,n/a,69.0,-22.0,Kyle Turris,Winner,Nashville Predators,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:17:03Z,1,04:11,15:49,Missed Shot,n/a,35.0,-37.0,Ryan Ellis,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:17:14Z,1,04:22,15:38,Missed Shot,n/a,-78.0,5.0,Matt Calvert,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:17:19Z,1,04:23,15:37,Hit,n/a,-78.0,4.0,Ryan Ellis,Hitter,Nashville Predators,Matt Calvert,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:17:28Z,1,04:36,15:24,Hit,n/a,89.0,33.0,Erik Johnson,Hitter,Colorado Avalanche,Kyle Turris,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:17:33Z,1,04:41,15:19,Shot,Wrist Shot,51.0,-23.0,Ryan Ellis,Shooter,Nashville Predators,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:17:53Z,1,05:01,14:59,Hit,n/a,-13.0,32.0,Ryan Graves,Hitter,Colorado Avalanche,Roman Josi,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:18:12Z,1,05:09,14:51,Giveaway,n/a,59.0,-19.0,Nikita Zadorov,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:18:04Z,1,05:10,14:50,Shot,Wrist Shot,50.0,-31.0,Mattias Ekholm,Shooter,Nashville Predators,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:18:32Z,1,05:10,14:50,Faceoff,n/a,69.0,-22.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:18:46Z,1,05:24,14:36,Missed Shot,n/a,38.0,-32.0,Roman Josi,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:19:23Z,1,06:05,13:55,Shot,Backhand,75.0,-4.0,Roman Josi,Shooter,Nashville Predators,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:19:46Z,1,06:05,13:55,Faceoff,n/a,69.0,-22.0,Tyson Jost,Winner,Colorado Avalanche,Nick Bonino,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:20:02Z,1,06:18,13:42,Blocked Shot,n/a,-74.0,12.0,Ryan Ellis,Blocker,Nashville Predators,Nazem Kadri,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:20:04Z,1,06:21,13:39,Shot,Wrap-around,-81.0,-11.0,Tyson Jost,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:20:18Z,1,06:34,13:26,Missed Shot,n/a,57.0,9.0,Nick Bonino,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:20:33Z,1,06:48,13:12,Hit,n/a,25.0,40.0,Rocco Grimaldi,Hitter,Nashville Predators,Tyson Jost,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:20:57Z,1,07:10,12:50,Hit,n/a,-97.0,8.0,Mikael Granlund,Hitter,Nashville Predators,Vladislav Kamenev,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:21:03Z,1,07:19,12:41,Hit,n/a,97.0,-2.0,Colton Sissons,Hitter,Nashville Predators,Andre Burakovsky,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:21:10Z,1,07:27,12:33,Takeaway,n/a,-34.0,-33.0,Vladislav Kamenev,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:21:13Z,1,07:27,12:33,Takeaway,n/a,28.0,-39.0,Vladislav Kamenev,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:21:17Z,1,07:34,12:26,Blocked Shot,n/a,-84.0,5.0,Austin Watson,Blocker,Nashville Predators,Vladislav Kamenev,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:21:39Z,1,07:56,12:04,Blocked Shot,n/a,-51.0,-26.0,Mikael Granlund,Blocker,Nashville Predators,Mark Barberio,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:22:07Z,1,08:21,11:39,Hit,n/a,-98.0,23.0,Ryan Ellis,Hitter,Nashville Predators,Matt Calvert,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:22:29Z,1,08:46,11:14,Giveaway,n/a,-8.0,-39.0,Nathan MacKinnon,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:22:39Z,1,08:55,11:05,Blocked Shot,n/a,68.0,10.0,Ryan Graves,Blocker,Colorado Avalanche,Mattias Ekholm,Shooter,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:22:47Z,1,09:03,10:57,Shot,Deflected,74.0,1.0,Calle Jarnkrok,Shooter,Nashville Predators,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:24:59Z,1,09:03,10:57,Faceoff,n/a,69.0,22.0,Matt Duchene,Winner,Nashville Predators,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:25:31Z,1,09:32,10:28,Takeaway,n/a,-40.0,39.0,Calle Jarnkrok,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:25:36Z,1,09:36,10:24,Hit,n/a,36.0,-39.0,Ryan Graves,Hitter,Colorado Avalanche,Matt Duchene,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:26:20Z,1,09:51,10:09,Faceoff,n/a,-69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Colton Sissons,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:26:35Z,1,10:03,09:57,Blocked Shot,n/a,-59.0,2.0,Roman Josi,Blocker,Nashville Predators,Nathan MacKinnon,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:26:43Z,1,10:11,09:49,Blocked Shot,n/a,-69.0,11.0,Mikael Granlund,Blocker,Nashville Predators,Nikita Zadorov,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:26:57Z,1,10:25,09:35,Hit,n/a,76.0,-40.0,Austin Watson,Hitter,Nashville Predators,Nikita Zadorov,Hittee,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:29:17Z,1,10:36,09:24,Faceoff,n/a,-20.0,22.0,Nick Bonino,Winner,Nashville Predators,Vladislav Kamenev,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:29:47Z,1,11:06,08:54,Takeaway,n/a,-30.0,-7.0,Craig Smith,PlayerID,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:30:14Z,1,11:33,08:27,Blocked Shot,n/a,-74.0,7.0,Dan Hamhuis,Blocker,Nashville Predators,Nathan MacKinnon,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:30:25Z,1,11:44,08:16,Blocked Shot,n/a,-78.0,1.0,Dan Hamhuis,Blocker,Nashville Predators,Cale Makar,Shooter,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:30:57Z,1,11:49,08:11,Faceoff,n/a,-69.0,-22.0,Nick Bonino,Winner,Nashville Predators,Nazem Kadri,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:31:05Z,1,11:58,08:02,Hit,n/a,20.0,42.0,Cale Makar,Hitter,Colorado Avalanche,Viktor Arvidsson,Hittee,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:31:18Z,1,12:02,07:58,Faceoff,n/a,69.0,22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:31:39Z,1,12:07,07:53,Giveaway,n/a,69.0,35.0,Ryan Graves,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:31:43Z,1,12:08,07:52,Goal,Snap Shot,36.0,32.0,Ryan Ellis,Scorer,Nashville Predators,Ryan Johansen,Assist,Nashville Predators,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a
2019-11-08T02:32:21Z,1,12:08,07:52,Faceoff,n/a,0.0,0.0,Pierre-Edouard Bellemare,Winner,Colorado Avalanche,Ryan Johansen,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:32:52Z,1,12:34,07:26,Shot,Wrist Shot,-42.0,13.0,Erik Johnson,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:33:13Z,1,12:34,07:26,Faceoff,n/a,-69.0,22.0,Matt Duchene,Winner,Nashville Predators,J.T. Compher,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:33:32Z,1,12:41,07:19,Faceoff,n/a,-69.0,-22.0,Nazem Kadri,Winner,Colorado Avalanche,Kyle Turris,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:34:50Z,1,13:12,06:48,Faceoff,n/a,-69.0,22.0,Nathan MacKinnon,Winner,Colorado Avalanche,Matt Duchene,Loser,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:35:15Z,1,13:30,06:30,Takeaway,n/a,-59.0,25.0,Joonas Donskoi,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:35:10Z,1,13:34,06:26,Shot,Wrist Shot,-65.0,-2.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T02:35:25Z,1,13:49,06:11,Shot,Backhand,-69.0,7.0,Nathan MacKinnon,Shooter,Colorado Avalanche,Pekka Rinne,Goalie,Nashville Predators,n/a,n/a,n/a,n/a,n/a,n/a
