Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-08T00:07:43Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Alexander Kerfoot,Winner,Toronto Maple Leafs,William Karlsson,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:08:15Z,1,00:10,19:50,Hit,n/a,64.0,-38.0,Cody Ceci,Hitter,Toronto Maple Leafs,Reilly Smith,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:08:26Z,1,00:18,19:42,Missed Shot,n/a,54.0,-23.0,Reilly Smith,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:08:38Z,1,00:18,19:42,Faceoff,n/a,69.0,-22.0,Alexander Kerfoot,Winner,Toronto Maple Leafs,Jonathan Marchessault,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:09:12Z,1,00:26,19:34,Penalty,Interference,-31.0,40.0,Nicolas Hague,PenaltyOn,Vegas Golden Knights,Kasperi Kapanen,DrewBy,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:09:38Z,1,00:26,19:34,Faceoff,n/a,-69.0,-22.0,John Tavares,Winner,Toronto Maple Leafs,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:09:51Z,1,00:43,19:17,Shot,Wrist Shot,-56.0,22.0,John Tavares,Shooter,Toronto Maple Leafs,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:10:54Z,1,00:43,19:17,Faceoff,n/a,-69.0,22.0,Cody Eakin,Winner,Vegas Golden Knights,John Tavares,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:10:36Z,1,01:13,18:47,Blocked Shot,n/a,-70.0,-19.0,Nate Schmidt,Blocker,Vegas Golden Knights,Andreas Johnsson,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:10:55Z,1,01:22,18:38,Missed Shot,n/a,51.0,37.0,Cody Eakin,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:11:07Z,1,01:39,18:21,Shot,Wrist Shot,-72.0,-18.0,Alexander Kerfoot,Shooter,Toronto Maple Leafs,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:11:16Z,1,01:39,18:21,Faceoff,n/a,-69.0,-22.0,William Karlsson,Winner,Vegas Golden Knights,Alexander Kerfoot,Loser,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:11:07Z,1,02:08,17:52,Shot,Tip-In,-80.0,3.0,Alexander Kerfoot,Shooter,Toronto Maple Leafs,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:11:07Z,1,02:09,17:51,Blocked Shot,n/a,-72.0,-5.0,Nick Holden,Blocker,Vegas Golden Knights,Alexander Kerfoot,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:11:51Z,1,02:10,17:50,Shot,Tip-In,-66.0,0.0,Alexander Kerfoot,Shooter,Toronto Maple Leafs,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:11:51Z,1,02:11,17:49,Missed Shot,n/a,-89.0,-7.0,Kasperi Kapanen,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:11:56Z,1,02:14,17:46,Hit,n/a,-96.0,-9.0,Reilly Smith,Hitter,Vegas Golden Knights,Kasperi Kapanen,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:12:06Z,1,02:25,17:35,Missed Shot,n/a,-69.0,15.0,William Nylander,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:12:21Z,1,02:33,17:27,Shot,Wrist Shot,-43.0,3.0,Kasperi Kapanen,Shooter,Toronto Maple Leafs,Malcolm Subban,Goalie,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:12:33Z,1,02:48,17:12,Blocked Shot,n/a,-67.0,4.0,William Karlsson,Blocker,Vegas Golden Knights,Jake Muzzin,Shooter,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:12:48Z,1,03:03,16:57,Hit,n/a,-57.0,40.0,William Karlsson,Hitter,Vegas Golden Knights,Dmytro Timashov,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:13:07Z,1,03:26,16:34,Giveaway,n/a,92.0,-13.0,Cody Ceci,PlayerID,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:13:11Z,1,03:30,16:30,Blocked Shot,n/a,48.0,-15.0,Dmytro Timashov,Blocker,Toronto Maple Leafs,Shea Theodore,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:13:23Z,1,03:41,16:19,Missed Shot,n/a,66.0,-21.0,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:13:31Z,1,03:50,16:10,Missed Shot,n/a,65.0,10.0,Max Pacioretty,Shooter,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:13:37Z,1,03:54,16:06,Shot,Wrist Shot,34.0,31.0,Nicolas Hague,Shooter,Vegas Golden Knights,Frederik Andersen,Goalie,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:13:58Z,1,03:54,16:06,Faceoff,n/a,69.0,22.0,William Nylander,Winner,Toronto Maple Leafs,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:14:11Z,1,04:02,15:58,Hit,n/a,-19.0,40.0,Brayden McNabb,Hitter,Vegas Golden Knights,Justin Holl,Hittee,Toronto Maple Leafs,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:14:21Z,1,04:12,15:48,Hit,n/a,-68.0,-38.0,Auston Matthews,Hitter,Toronto Maple Leafs,Nate Schmidt,Hittee,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:14:41Z,1,04:13,15:47,Faceoff,n/a,20.0,-22.0,Auston Matthews,Winner,Toronto Maple Leafs,Cody Eakin,Loser,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-08T00:15:10Z,1,04:38,15:22,Giveaway,n/a,-66.0,-26.0,Cody Eakin,PlayerID,Vegas Golden Knights,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
