Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-09T02:13:17Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Riley Sheahan,Winner,Edmonton Oilers,Nico Hischier,Loser,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:14:32Z,1,00:25,19:35,Blocked Shot,n/a,-48.0,26.0,Jujhar Khaira,Blocker,Edmonton Oilers,Sami Vatanen,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:15:03Z,1,00:56,19:04,Blocked Shot,n/a,-65.0,5.0,Oscar Klefbom,Blocker,Edmonton Oilers,Will Butcher,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:15:21Z,1,01:14,18:46,Blocked Shot,n/a,-58.0,-2.0,Connor McDavid,Blocker,Edmonton Oilers,Will Butcher,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:15:26Z,1,01:18,18:42,Hit,n/a,-78.0,-39.0,Travis Zajac,Hitter,New Jersey Devils,Oscar Klefbom,Hittee,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:15:47Z,1,01:40,18:20,Shot,Slap Shot,35.0,4.0,Kris Russell,Shooter,Edmonton Oilers,Cory Schneider,Goalie,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:15:56Z,1,01:49,18:11,Giveaway,n/a,-29.0,40.0,Kris Russell,PlayerID,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:21:51Z,1,01:52,18:08,Missed Shot,n/a,-84.0,7.0,Blake Coleman,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:16:12Z,1,02:02,17:58,Missed Shot,n/a,-75.0,-3.0,Nikita Gusev,Shooter,New Jersey Devils,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-09T02:16:35Z,1,02:24,17:36,Blocked Shot,n/a,68.0,-12.0,Damon Severson,Blocker,New Jersey Devils,Alex Chiasson,Shooter,Edmonton Oilers,n/a,n/a,n/a,n/a,n/a,n/a
