Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-10T01:09:10Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Christian Dvorak,Winner,Arizona Coyotes,Joel Eriksson Ek,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:10:08Z,1,00:12,19:48,Missed Shot,n/a,76.0,-34.0,Phil Kessel,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:11:09Z,1,01:12,18:48,Hit,n/a,96.0,-9.0,Lawson Crouse,Hitter,Arizona Coyotes,Ryan Suter,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:11:32Z,1,01:26,18:34,Faceoff,n/a,69.0,-22.0,Clayton Keller,Winner,Arizona Coyotes,Mikko Koivu,Loser,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:13:18Z,1,02:14,17:46,Faceoff,n/a,-20.0,22.0,Mats Zuccarello,Winner,Minnesota Wild,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:13:45Z,1,02:38,17:22,Missed Shot,n/a,-68.0,-8.0,Ryan Donato,Shooter,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:14:03Z,1,02:55,17:05,Hit,n/a,-71.0,40.0,Michael Grabner,Hitter,Arizona Coyotes,Matt Dumba,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:14:17Z,1,03:09,16:51,Hit,n/a,-92.0,29.0,Alex Goligoski,Hitter,Arizona Coyotes,Jonas Brodin,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:14:36Z,1,03:28,16:32,Shot,Wrist Shot,-52.0,0.0,Ryan Suter,Shooter,Minnesota Wild,Darcy Kuemper,Goalie,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:14:41Z,1,03:33,16:27,Hit,n/a,-92.0,24.0,Alex Goligoski,Hitter,Arizona Coyotes,Jared Spurgeon,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:15:12Z,1,04:04,15:56,Hit,n/a,67.0,-40.0,Lawson Crouse,Hitter,Arizona Coyotes,Nick Seeler,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:15:19Z,1,04:12,15:48,Hit,n/a,57.0,40.0,Christian Fischer,Hitter,Arizona Coyotes,Carson Soucy,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:15:28Z,1,04:12,15:48,Hit,n/a,78.0,-39.0,Lawson Crouse,Hitter,Arizona Coyotes,Nick Seeler,Hittee,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:16:03Z,1,04:54,15:06,Shot,Wrist Shot,72.0,1.0,Clayton Keller,Shooter,Arizona Coyotes,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:16:16Z,1,05:07,14:53,Blocked Shot,n/a,79.0,9.0,Jonas Brodin,Blocker,Minnesota Wild,Conor Garland,Shooter,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:16:49Z,1,05:07,14:53,Faceoff,n/a,-20.0,-22.0,Victor Rask,Winner,Minnesota Wild,Brad Richardson,Loser,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:17:02Z,1,05:23,14:37,Hit,n/a,-96.0,-17.0,Victor Rask,Hitter,Minnesota Wild,Aaron Ness,Hittee,Arizona Coyotes,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T01:17:15Z,1,05:28,14:32,Shot,Wrist Shot,72.0,-13.0,Brad Richardson,Shooter,Arizona Coyotes,Devan Dubnyk,Goalie,Minnesota Wild,n/a,n/a,n/a,n/a,n/a,n/a
