Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-10T02:08:01Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Nathan MacKinnon,Winner,Colorado Avalanche,Pierre-Luc Dubois,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:09:28Z,1,00:10,19:50,Faceoff,n/a,-20.0,-22.0,Pierre-Luc Dubois,Winner,Columbus Blue Jackets,Nathan MacKinnon,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:10:05Z,1,00:35,19:25,Takeaway,n/a,52.0,19.0,Nathan MacKinnon,PlayerID,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:10:34Z,1,01:03,18:57,Shot,Wrist Shot,-65.0,1.0,Nazem Kadri,Shooter,Colorado Avalanche,Joonas Korpisalo,Goalie,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:10:57Z,1,01:03,18:57,Faceoff,n/a,-69.0,22.0,J.T. Compher,Winner,Colorado Avalanche,Nick Foligno,Loser,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:11:08Z,1,01:18,18:42,Blocked Shot,n/a,77.0,12.0,Ryan Graves,Blocker,Colorado Avalanche,Cam Atkinson,Shooter,Columbus Blue Jackets,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:11:19Z,1,01:29,18:31,Shot,Wrist Shot,37.0,36.0,David Savard,Shooter,Columbus Blue Jackets,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:11:29Z,1,01:35,18:25,Shot,Snap Shot,65.0,5.0,Nick Foligno,Shooter,Columbus Blue Jackets,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:11:59Z,1,01:35,18:25,Faceoff,n/a,69.0,22.0,Boone Jenner,Winner,Columbus Blue Jackets,Pierre-Edouard Bellemare,Loser,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T02:12:09Z,1,01:39,18:21,Shot,Slap Shot,31.0,-1.0,Dean Kukan,Shooter,Columbus Blue Jackets,Pavel Francouz,Goalie,Colorado Avalanche,n/a,n/a,n/a,n/a,n/a,n/a
