Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-10T18:08:05Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Brian Boyle,Winner,Florida Panthers,Filip Chytil,Loser,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:08:58Z,1,00:13,19:47,Hit,n/a,97.0,6.0,Brett Connolly,Hitter,Florida Panthers,Adam Fox,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:09:15Z,1,00:30,19:30,Hit,n/a,30.0,-38.0,Chris Kreider,Hitter,New York Rangers,Anton Stralman,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:09:42Z,1,00:57,19:03,Hit,n/a,94.0,-28.0,Jonathan Huberdeau,Hitter,Florida Panthers,Libor Hajek,Hittee,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:10:10Z,1,01:25,18:35,Hit,n/a,94.0,26.0,Libor Hajek,Hitter,New York Rangers,Aleksander Barkov,Hittee,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:10:26Z,1,01:41,18:19,Missed Shot,n/a,-80.0,-13.0,Artemi Panarin,Shooter,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:10:56Z,1,02:10,17:50,Shot,Wrist Shot,-92.0,25.0,Vincent Trocheck,Shooter,Florida Panthers,Henrik Lundqvist,Goalie,New York Rangers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:11:32Z,1,02:10,17:50,Faceoff,n/a,69.0,-22.0,Brett Howden,Winner,New York Rangers,Vincent Trocheck,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:12:14Z,1,02:27,17:33,Faceoff,n/a,-20.0,-22.0,Lias Andersson,Winner,New York Rangers,Dominic Toninato,Loser,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T18:12:30Z,1,02:38,17:22,Shot,Slap Shot,-7.0,22.0,Adam Fox,Shooter,New York Rangers,Sam Montembeault,Goalie,Florida Panthers,n/a,n/a,n/a,n/a,n/a,n/a
