Date_Time,Period,Period_Time,Period_Time_Remaining,Event_Type,Event_Type_Secondary,x,y,Player_1,Player_1_Type,Player_1_Team,Player_2,Player_2_Type,Player_2_Team,Player_3,Player_3_Type,Player_3_Team,Player_4,Player_4_Type,Player_4_Team
2019-11-10T00:08:11Z,1,00:00,20:00,Faceoff,n/a,0.0,0.0,Teddy Blueger,Winner,Pittsburgh Penguins,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:09:30Z,1,00:11,19:49,Faceoff,n/a,20.0,22.0,Teddy Blueger,Winner,Pittsburgh Penguins,Jonathan Toews,Loser,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:09:57Z,1,00:21,19:39,Hit,n/a,97.0,-14.0,Slater Koekkoek,Hitter,Chicago Blackhawks,Brandon Tanev,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:10:06Z,1,00:33,19:27,Hit,n/a,36.0,-40.0,Brandon Tanev,Hitter,Pittsburgh Penguins,Jonathan Toews,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:10:22Z,1,00:39,19:21,Giveaway,n/a,-85.0,-34.0,John Marino,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:10:19Z,1,00:43,19:17,Blocked Shot,n/a,-69.0,7.0,Zach Aston-Reese,Blocker,Pittsburgh Penguins,Olli Maatta,Shooter,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:10:41Z,1,00:45,19:15,Faceoff,n/a,-69.0,22.0,Dylan Strome,Winner,Chicago Blackhawks,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:11:02Z,1,00:58,19:02,Takeaway,n/a,35.0,34.0,Erik Gustafsson,PlayerID,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:11:10Z,1,01:06,18:54,Hit,n/a,-86.0,35.0,Alex DeBrincat,Hitter,Chicago Blackhawks,Marcus Pettersson,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:11:22Z,1,01:18,18:42,Shot,Wrist Shot,81.0,0.0,Alex Galchenyuk,Shooter,Pittsburgh Penguins,Corey Crawford,Goalie,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:12:02Z,1,01:19,18:41,Faceoff,n/a,69.0,-22.0,David Kampf,Winner,Chicago Blackhawks,Evgeni Malkin,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:12:45Z,1,01:56,18:04,Giveaway,n/a,-93.0,23.0,John Marino,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:12:29Z,1,01:59,18:01,Shot,Snap Shot,-57.0,2.0,Andrew Shaw,Shooter,Chicago Blackhawks,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:12:55Z,1,02:24,17:36,Hit,n/a,-96.0,17.0,Zack Smith,Hitter,Chicago Blackhawks,Brian Dumoulin,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:13:12Z,1,02:41,17:19,Shot,Wrist Shot,-48.0,-34.0,Zack Smith,Shooter,Chicago Blackhawks,Matt Murray,Goalie,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:13:20Z,1,02:49,17:11,Hit,n/a,-95.0,-26.0,Zack Smith,Hitter,Chicago Blackhawks,John Marino,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:13:41Z,1,03:10,16:50,Hit,n/a,90.0,-32.0,Teddy Blueger,Hitter,Pittsburgh Penguins,Jonathan Toews,Hittee,Chicago Blackhawks,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:13:56Z,1,03:15,16:45,Takeaway,n/a,-47.0,9.0,Teddy Blueger,PlayerID,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:13:51Z,1,03:20,16:40,Hit,n/a,58.0,40.0,Erik Gustafsson,Hitter,Chicago Blackhawks,Zach Aston-Reese,Hittee,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
2019-11-10T00:14:17Z,1,03:28,16:32,Faceoff,n/a,69.0,22.0,Jonathan Toews,Winner,Chicago Blackhawks,Sidney Crosby,Loser,Pittsburgh Penguins,n/a,n/a,n/a,n/a,n/a,n/a
